time,P,G_i,T2m,WS10m
20050101:0030,407.31,,-4.7,4.07
20050101:0130,626.63,,-3.69,4.83
20050101:0230,769.07,,-2.61,4.9
20050101:0330,837.57,,-1.61,5.03
20050101:0430,833.87,,-0.8,4.97
20050101:0530,760.55,,-0.14,4.97
20050101:0630,613.82,,0.28,4.62
20050101:0730,399.21,,0.07,4.07
20050101:0830,142.48,,-0.22,3.52
20050101:0930,0.0,,-1.21,2.69
20050101:1030,0.0,,-2.1,2.55
20050101:1130,0.0,,-2.39,2.41
20050101:1230,0.0,,-2.68,2.21
20050101:1330,0.0,,-2.97,2.07
20050101:1430,0.0,,-2.94,1.93
20050101:1530,0.0,,-2.94,1.86
20050101:1630,0.0,,-3.17,1.86
20050101:1730,0.0,,-3.35,1.79
20050101:1830,0.0,,-3.55,1.66
20050101:1930,0.0,,-3.74,1.52
20050101:2030,0.0,,-4.13,1.45
20050101:2130,0.0,,-4.31,1.31
20050101:2230,0.0,,-4.43,1.24
20050101:2330,140.65,,-4.62,1.38
20050102:0030,393.21,,-3.39,1.24
20050102:0130,600.18,,-1.21,1.93
20050102:0230,733.03,,0.6,2.28
20050102:0330,797.38,,2.07,2.55
20050102:0430,794.85,,3.23,2.69
20050102:0530,724.97,,4.13,2.62
20050102:0630,585.53,,4.69,2.0
20050102:0730,386.0,,4.96,2.55
20050102:0830,139.87,,4.61,2.0
20050102:0930,0.0,,3.42,2.21
20050102:1030,0.0,,1.99,2.34
20050102:1130,0.0,,1.16,2.48
20050102:1230,0.0,,0.73,2.62
20050102:1330,0.0,,0.62,2.83
20050102:1430,0.0,,0.65,2.97
20050102:1530,0.0,,0.65,2.9
20050102:1630,0.0,,0.49,2.69
20050102:1730,0.0,,0.19,2.48
20050102:1830,0.0,,-0.18,2.34
20050102:1930,0.0,,-0.02,2.48
20050102:2030,0.0,,-0.3,2.21
20050102:2130,0.0,,-0.51,1.93
20050102:2230,0.0,,-0.84,1.79
20050102:2330,130.09,,-1.47,1.79
20050103:0030,370.01,,-0.24,1.31
20050103:0130,558.07,,3.6,0.97
20050103:0230,681.35,,6.08,1.45
20050103:0330,715.89,,8.34,2.07
20050103:0430,622.43,,9.81,1.59
20050103:0530,594.25,,10.63,1.86
20050103:0630,402.57,,10.97,2.14
20050103:0730,243.84,,9.63,2.28
20050103:0830,71.43,,8.95,1.93
20050103:0930,0.0,,7.41,2.14
20050103:1030,0.0,,6.02,2.34
20050103:1130,0.0,,5.15,2.76
20050103:1230,0.0,,4.72,2.97
20050103:1330,0.0,,4.36,2.9
20050103:1430,0.0,,4.17,2.69
20050103:1530,0.0,,3.64,2.83
20050103:1630,0.0,,3.27,3.03
20050103:1730,0.0,,2.87,3.1
20050103:1830,0.0,,2.36,2.97
20050103:1930,0.0,,1.86,2.97
20050103:2030,0.0,,1.34,3.1
20050103:2130,0.0,,0.88,3.17
20050103:2230,0.0,,0.52,3.31
20050103:2330,122.7,,0.25,3.38
20050104:0030,365.5,,0.84,3.24
20050104:0130,574.35,,2.59,3.93
20050104:0230,709.08,,4.23,4.21
20050104:0330,774.29,,5.48,4.07
20050104:0430,771.27,,6.42,3.66
20050104:0530,695.47,,7.05,3.31
20050104:0630,567.45,,7.39,3.24
20050104:0730,350.07,,7.33,3.31
20050104:0830,126.17,,6.91,3.24
20050104:0930,0.0,,5.73,2.83
20050104:1030,0.0,,4.52,2.97
20050104:1130,0.0,,3.73,3.45
20050104:1230,0.0,,3.29,3.59
20050104:1330,0.0,,2.78,3.45
20050104:1430,0.0,,2.42,3.31
20050104:1530,0.0,,1.86,3.1
20050104:1630,0.0,,1.5,3.03
20050104:1730,0.0,,1.57,2.83
20050104:1830,0.0,,1.47,2.76
20050104:1930,0.0,,1.46,2.76
20050104:2030,0.0,,1.31,2.62
20050104:2130,0.0,,1.43,2.55
20050104:2230,0.0,,1.39,2.55
20050104:2330,69.73,,1.56,2.55
20050105:0030,205.11,,2.33,2.34
20050105:0130,391.03,,3.91,2.62
20050105:0230,452.66,,5.92,2.97
20050105:0330,407.69,,7.22,3.31
20050105:0430,250.53,,7.76,3.38
20050105:0530,151.08,,7.98,3.45
20050105:0630,46.12,,7.92,3.24
20050105:0730,35.39,,7.19,2.0
20050105:0830,9.42,,6.78,1.79
20050105:0930,0.0,,6.22,1.72
20050105:1030,0.0,,5.86,1.66
20050105:1130,0.0,,5.4,1.59
20050105:1230,0.0,,5.22,1.31
20050105:1330,0.0,,4.98,1.03
20050105:1430,0.0,,4.73,0.83
20050105:1530,0.0,,4.64,0.62
20050105:1630,0.0,,4.21,1.31
20050105:1730,0.0,,3.8,1.79
20050105:1830,0.0,,3.28,2.21
20050105:1930,0.0,,1.93,2.62
20050105:2030,0.0,,1.42,2.62
20050105:2130,0.0,,0.95,2.62
20050105:2230,0.0,,0.59,2.55
20050105:2330,79.11,,0.48,2.62
20050106:0030,208.37,,0.99,3.1
20050106:0130,341.76,,1.97,2.55
20050106:0230,476.06,,3.1,2.14
20050106:0330,409.64,,4.31,2.0
20050106:0430,668.04,,5.03,2.14
20050106:0530,657.12,,6.25,2.14
20050106:0630,547.77,,6.94,2.14
20050106:0730,370.35,,7.15,2.55
20050106:0830,137.83,,6.81,2.14
20050106:0930,0.0,,5.92,1.59
20050106:1030,0.0,,4.56,1.93
20050106:1130,0.0,,3.39,1.72
20050106:1230,0.0,,2.19,1.45
20050106:1330,0.0,,1.05,1.52
20050106:1430,0.0,,0.34,1.79
20050106:1530,0.0,,-0.04,1.86
20050106:1630,0.0,,-0.3,1.66
20050106:1730,0.0,,-0.03,1.24
20050106:1830,0.0,,-0.55,1.31
20050106:1930,0.0,,-1.73,1.79
20050106:2030,0.0,,-1.88,1.86
20050106:2130,0.0,,-1.95,2.0
20050106:2230,0.0,,-1.86,2.07
20050106:2330,116.73,,-1.68,2.21
20050107:0030,334.66,,-0.14,2.0
20050107:0130,485.18,,3.19,2.41
20050107:0230,577.42,,5.26,2.9
20050107:0330,339.96,,6.55,3.72
20050107:0430,369.76,,6.88,3.38
20050107:0530,290.73,,7.39,3.17
20050107:0630,209.04,,7.61,3.31
20050107:0730,79.02,,7.52,3.72
20050107:0830,24.29,,7.09,3.66
20050107:0930,0.0,,6.45,3.45
20050107:1030,0.0,,5.69,3.86
20050107:1130,0.0,,4.89,4.07
20050107:1230,0.0,,4.14,3.93
20050107:1330,0.0,,3.4,3.52
20050107:1430,0.0,,2.81,3.24
20050107:1530,0.0,,2.06,3.1
20050107:1630,0.0,,1.66,3.1
20050107:1730,0.0,,1.58,3.17
20050107:1830,0.0,,1.58,3.24
20050107:1930,0.0,,1.32,3.45
20050107:2030,0.0,,1.1,3.38
20050107:2130,0.0,,1.14,3.24
20050107:2230,0.0,,1.01,3.17
20050107:2330,85.72,,0.79,3.03
20050108:0030,238.38,,1.18,2.76
20050108:0130,397.27,,2.63,3.31
20050108:0230,495.41,,3.95,3.52
20050108:0330,682.21,,4.89,2.97
20050108:0430,651.77,,5.69,2.34
20050108:0530,617.24,,6.11,2.41
20050108:0630,583.91,,6.33,2.48
20050108:0730,386.7,,6.41,2.69
20050108:0830,142.2,,5.97,2.69
20050108:0930,0.0,,4.86,2.34
20050108:1030,0.0,,3.51,2.55
