source_load_level,source_load_value,penetration_level,t_rev_hours,interconnection_level,interconnection_value,pv_kwp_eff,best_cap_load_ratio,recommended_range,best_annual_cost_wan,reliability_wan,r_min_bare,n_feasible_R,gate_scheme,voltage_exceed_flag,tech_scheme,basis,score_base,score_mean_perturb,score_std_perturb,score_cv_perturb,robust_flag
低,0.6,低,1000,弱,0.15,2229.0,2.0,"[1.8, 2.2]",919.87,10.52,1.5,5,纯主变,False,维持刚性2.0,IEEE33参数扫描·经反向承载力校核,0.42602731496315316,0.42398598417188915,0.02426924902422698,0.057240687027830355,True
低,0.6,低,1000,中,0.45,2229.0,1.5,"[1.5, 1.7]",867.1,0.0,1.5,5,纯主变,False,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核,0.6807692307680373,0.6819311637308771,0.022193097117693284,0.03254448293027301,True
低,0.6,低,1000,强,0.8,2229.0,1.5,"[1.5, 1.7]",867.1,0.0,1.5,5,纯主变,False,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核,0.5999999999989308,0.6034462929945671,0.02538981826080587,0.04207469422799551,True
低,0.6,中,1362,弱,0.15,2229.0,2.0,"[1.8, 2.2]",920.19,10.52,1.5,5,纯主变,False,维持刚性2.0,IEEE33参数扫描·经反向承载力校核,0.5060231852326535,0.5043484660616616,0.021322046123914477,0.042276417117654855,True
低,0.6,中,1362,中,0.45,2229.0,1.5,"[1.5, 1.7]",867.41,0.0,1.5,5,纯主变,False,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核,0.7607791189805047,0.762307775343218,0.015289601695647694,0.020056992976024306,True
低,0.6,中,1362,强,0.8,2229.0,1.5,"[1.5, 1.7]",867.41,0.0,1.5,5,纯主变,False,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核,0.6800098882113982,0.6838229046069085,0.020162034749401744,0.029484292809645336,True
低,0.6,高,1900,弱,0.15,2229.0,2.0,"[1.8, 2.2]",920.65,10.52,1.5,5,纯主变,False,维持刚性2.0,IEEE33参数扫描·经反向承载力校核,0.6249339154117272,0.623804224128585,0.022273699023942578,0.03570623308141559,True
低,0.6,高,1900,中,0.45,2229.0,1.5,"[1.5, 1.7]",867.89,0.0,1.5,5,纯主变,False,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核,0.8796618132736442,0.8817352739650046,0.00950277612900749,0.010777357342487208,True
低,0.6,高,1900,强,0.8,2229.0,1.5,"[1.5, 1.7]",867.89,0.0,1.5,5,纯主变,False,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核,0.7988925825045378,0.8032504032286945,0.01713713998080883,0.021334741833809397,True
中,1.8,低,1000,弱,0.15,6687.0,2.0,"[1.8, 2.2]",937.76,10.52,1.8,4,纯主变,True,维持刚性2.0,IEEE33参数扫描·经反向承载力校核,0.4009492149951942,0.398707910497423,0.022706398104261817,0.05694995636248263,True
