source_load_level,source_load_value,penetration_level,t_rev_hours,interconnection_level,interconnection_value,pv_kwp_eff,best_cap_load_ratio,recommended_range,best_annual_cost_wan,reliability_wan,r_min_bare,n_feasible_R,gate_scheme,voltage_exceed_flag,tech_scheme,basis
低,0.6,低,1000,弱,0.15,2229.0,2.0,"[1.8, 2.2]",919.87,10.52,1.5,5,纯主变,False,维持刚性2.0,IEEE33参数扫描·经反向承载力校核
低,0.6,低,1000,中,0.45,2229.0,1.5,"[1.5, 1.7]",867.1,0.0,1.5,5,纯主变,False,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
低,0.6,低,1000,强,0.8,2229.0,1.5,"[1.5, 1.7]",867.1,0.0,1.5,5,纯主变,False,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
低,0.6,中,1362,弱,0.15,2229.0,2.0,"[1.8, 2.2]",920.19,10.52,1.5,5,纯主变,False,维持刚性2.0,IEEE33参数扫描·经反向承载力校核
低,0.6,中,1362,中,0.45,2229.0,1.5,"[1.5, 1.7]",867.41,0.0,1.5,5,纯主变,False,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
低,0.6,中,1362,强,0.8,2229.0,1.5,"[1.5, 1.7]",867.41,0.0,1.5,5,纯主变,False,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
低,0.6,高,1900,弱,0.15,2229.0,2.0,"[1.8, 2.2]",920.65,10.52,1.5,5,纯主变,False,维持刚性2.0,IEEE33参数扫描·经反向承载力校核
低,0.6,高,1900,中,0.45,2229.0,1.5,"[1.5, 1.7]",867.89,0.0,1.5,5,纯主变,False,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
低,0.6,高,1900,强,0.8,2229.0,1.5,"[1.5, 1.7]",867.89,0.0,1.5,5,纯主变,False,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
中,1.8,低,1000,弱,0.15,6687.0,2.0,"[1.8, 2.2]",937.76,10.52,1.8,4,纯主变,True,维持刚性2.0,IEEE33参数扫描·经反向承载力校核
中,1.8,低,1000,中,0.45,6687.0,1.8,"[1.6, 2.0]",910.38,0.0,1.8,4,纯主变,True,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
中,1.8,低,1000,强,0.8,6687.0,1.8,"[1.6, 2.0]",910.38,0.0,1.8,4,纯主变,True,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
中,1.8,中,1362,弱,0.15,6687.0,2.0,"[1.8, 2.2]",944.55,10.52,1.8,4,纯主变,True,维持刚性2.0,IEEE33参数扫描·经反向承载力校核
中,1.8,中,1362,中,0.45,6687.0,1.8,"[1.6, 2.0]",917.21,0.0,1.8,4,纯主变,True,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
中,1.8,中,1362,强,0.8,6687.0,1.8,"[1.6, 2.0]",917.21,0.0,1.8,4,纯主变,True,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
中,1.8,高,1900,弱,0.15,6687.0,2.0,"[1.8, 2.2]",954.63,10.52,1.8,4,纯主变,True,维持刚性2.0,IEEE33参数扫描·经反向承载力校核
中,1.8,高,1900,中,0.45,6687.0,1.8,"[1.6, 2.0]",927.36,0.0,1.8,4,纯主变,True,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
中,1.8,高,1900,强,0.8,6687.0,1.8,"[1.6, 2.0]",927.36,0.0,1.8,4,纯主变,True,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
高,3.2,低,1000,弱,0.15,11888.0,2.0,"[1.8, 2.2]",1089.2,10.52,,0,配储(方案A),True,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核
高,3.2,低,1000,中,0.45,11888.0,2.0,"[1.8, 2.2]",1069.9,0.0,,0,配储(方案A),True,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核
高,3.2,低,1000,强,0.8,11888.0,2.0,"[1.8, 2.2]",1059.38,0.0,,0,配储(方案A),True,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核
高,3.2,中,1362,弱,0.15,11888.0,2.0,"[1.8, 2.2]",1100.29,10.52,,0,配储(方案A),True,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核
高,3.2,中,1362,中,0.45,11888.0,2.0,"[1.8, 2.2]",1081.0,0.0,,0,配储(方案A),True,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核
高,3.2,中,1362,强,0.8,11888.0,2.0,"[1.8, 2.2]",1070.47,0.0,,0,配储(方案A),True,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核
高,3.2,高,1900,弱,0.15,11888.0,2.0,"[1.8, 2.2]",1116.78,10.52,,0,配储(方案A),True,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核
高,3.2,高,1900,中,0.45,11888.0,2.0,"[1.8, 2.2]",1097.49,0.0,,0,配储(方案A),True,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核
高,3.2,高,1900,强,0.8,11888.0,2.0,"[1.8, 2.2]",1086.96,0.0,,0,配储(方案A),True,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核
