t_rev,elastic_R,elastic_annual_wan,storage_annual_wan,winner
1000,2.6,980.89,995.47,升容载比增容
1200,2.6,989.22,1001.6,升容载比增容
1400,2.6,997.55,1007.73,升容载比增容
1600,2.6,1005.88,1013.86,升容载比增容
1800,2.6,1014.21,1019.99,升容载比增容
2000,2.6,1022.54,1026.12,升容载比增容
2200,2.6,1030.87,1032.25,升容载比增容
2400,2.6,1039.2,1038.38,刚性2.0+配储
2600,2.6,1047.53,1044.51,刚性2.0+配储
2800,2.6,1055.85,1050.63,刚性2.0+配储
3000,2.6,1064.18,1056.76,刚性2.0+配储
3200,2.6,1072.51,1062.89,刚性2.0+配储
3400,2.6,1080.84,1069.02,刚性2.0+配储
3600,2.6,1089.17,1075.15,刚性2.0+配储
