pv_kwp,source_load_ratio,cap_load_ratio,reverse_overload_kw,reverse_check_passed,max_reverse_voltage_pu,voltage_exceed
1000,0.27,1.5,0.0,True,1.0023,False
1000,0.27,1.8,0.0,True,1.0023,False
1000,0.27,2.0,0.0,True,1.0023,False
1000,0.27,2.3,0.0,True,1.0023,False
1000,0.27,2.6,0.0,True,1.0023,False
2000,0.54,1.5,0.0,True,1.014,False
2000,0.54,1.8,0.0,True,1.014,False
2000,0.54,2.0,0.0,True,1.014,False
2000,0.54,2.3,0.0,True,1.014,False
2000,0.54,2.6,0.0,True,1.014,False
3000,0.81,1.5,0.0,True,1.0295,False
3000,0.81,1.8,0.0,True,1.0295,False
3000,0.81,2.0,0.0,True,1.0295,False
3000,0.81,2.3,0.0,True,1.0295,False
3000,0.81,2.6,0.0,True,1.0295,False
4000,1.08,1.5,0.0,True,1.0451,False
4000,1.08,1.8,0.0,True,1.0451,False
4000,1.08,2.0,0.0,True,1.0451,False
4000,1.08,2.3,0.0,True,1.0451,False
4000,1.08,2.6,0.0,True,1.0451,False
5000,1.35,1.5,0.0,True,1.0607,True
5000,1.35,1.8,0.0,True,1.0607,True
5000,1.35,2.0,0.0,True,1.0607,True
5000,1.35,2.3,0.0,True,1.0607,True
5000,1.35,2.6,0.0,True,1.0607,True
6000,1.62,1.5,0.0,True,1.0762,True
6000,1.62,1.8,0.0,True,1.0762,True
6000,1.62,2.0,0.0,True,1.0762,True
6000,1.62,2.3,0.0,True,1.0762,True
6000,1.62,2.6,0.0,True,1.0762,True
8000,2.15,1.5,1348.9,False,1.084,True
8000,2.15,1.8,401.6,False,1.1004,True
8000,2.15,2.0,0.0,True,1.1073,True
8000,2.15,2.3,0.0,True,1.1073,True
8000,2.15,2.6,0.0,True,1.1073,True
10000,2.69,1.5,3148.9,False,1.084,True
10000,2.69,1.8,2201.6,False,1.1004,True
10000,2.69,2.0,1570.0,False,1.1113,True
10000,2.69,2.3,622.7,False,1.1277,True
10000,2.69,2.6,0.0,True,1.1385,True
12000,3.23,1.5,4948.9,False,1.084,True
12000,3.23,1.8,4001.6,False,1.1004,True
12000,3.23,2.0,3370.0,False,1.1113,True
12000,3.23,2.3,2422.7,False,1.1277,True
12000,3.23,2.6,1475.4,False,1.1441,True
14000,3.77,1.5,6748.9,False,1.084,True
14000,3.77,1.8,5801.6,False,1.1004,True
14000,3.77,2.0,5170.0,False,1.1113,True
14000,3.77,2.3,4222.7,False,1.1277,True
14000,3.77,2.6,3275.4,False,1.1441,True
