discount_rate,storage_cost_factor,pv_kwp,energy_penetration_pct,rigid_annual_wan,adaptive_R,adaptive_annual_wan,saving_wan_year,elastic_active
0.04,1.0,9000,75.1,857.9,2.3,844.45,13.45,True
0.04,1.0,9500,79.3,871.44,2.6,863.79,7.65,True
0.04,1.0,10000,83.5,884.98,2.6,870.71,14.27,True
0.04,0.7,9000,75.1,851.86,2.3,844.45,7.4,True
0.04,0.7,9500,79.3,861.33,2.0,861.33,0.0,False
0.04,0.7,10000,83.5,870.81,2.6,870.71,0.1,True
0.04,0.5,9000,75.1,847.82,2.3,844.45,3.37,True
0.04,0.5,9500,79.3,854.59,2.0,854.59,0.0,False
0.04,0.5,10000,83.5,861.36,2.0,861.36,0.0,False
0.05,1.0,9000,75.1,923.0,2.3,907.98,15.03,True
0.05,1.0,9500,79.3,937.54,2.6,928.46,9.09,True
0.05,1.0,10000,83.5,952.08,2.6,935.37,16.71,True
0.05,0.7,9000,75.1,916.51,2.3,907.98,8.54,True
0.05,0.7,9500,79.3,926.69,2.0,926.69,0.0,False
0.05,0.7,10000,83.5,936.86,2.6,935.37,1.49,True
0.05,0.5,9000,75.1,912.18,2.3,907.98,4.21,True
0.05,0.5,9500,79.3,919.45,2.0,919.45,0.0,False
0.05,0.5,10000,83.5,926.72,2.0,926.72,0.0,False
0.06,1.0,9000,75.1,990.98,2.3,974.3,16.68,True
0.06,1.0,9500,79.3,1006.57,2.6,995.97,10.6,True
0.06,1.0,10000,83.5,1022.15,2.6,1002.88,19.27,True
0.06,0.7,9000,75.1,984.02,2.3,974.3,9.72,True
0.06,0.7,9500,79.3,994.93,2.0,994.93,0.0,False
0.06,0.7,10000,83.5,1005.84,2.6,1002.88,2.95,True
0.06,0.5,9000,75.1,979.38,2.3,974.3,5.08,True
0.06,0.5,9500,79.3,987.17,2.0,987.17,0.0,False
0.06,0.5,10000,83.5,994.96,2.0,994.96,0.0,False
0.07,1.0,9000,75.1,1061.62,2.3,1043.22,18.4,True
0.07,1.0,9500,79.3,1078.3,2.6,1066.13,12.17,True
0.07,1.0,10000,83.5,1094.98,2.6,1073.04,21.94,True
0.07,0.7,9000,75.1,1054.17,2.3,1043.22,10.95,True
0.07,0.7,9500,79.3,1065.85,2.0,1065.85,0.0,False
0.07,0.7,10000,83.5,1077.52,2.6,1073.04,4.48,True
0.07,0.5,9000,75.1,1049.21,2.3,1043.22,5.99,True
0.07,0.5,9500,79.3,1057.55,2.0,1057.55,0.0,False
0.07,0.5,10000,83.5,1065.89,2.0,1065.89,0.0,False
0.08,1.0,9000,75.1,1134.71,2.3,1114.53,20.19,True
0.08,1.0,9500,79.3,1152.52,2.6,1138.71,13.81,True
0.08,1.0,10000,83.5,1170.33,2.6,1145.63,24.71,True
0.08,0.7,9000,75.1,1126.76,2.3,1114.53,12.23,True
0.08,0.7,9500,79.3,1139.23,2.6,1138.71,0.51,True
0.08,0.7,10000,83.5,1151.69,2.6,1145.63,6.07,True
0.08,0.5,9000,75.1,1121.46,2.3,1114.53,6.93,True
0.08,0.5,9500,79.3,1130.36,2.0,1130.36,0.0,False
0.08,0.5,10000,83.5,1139.27,2.0,1139.27,0.0,False
