load_growth_pct,horizon_years,reliab_cutoff_R,low_pen_floor,mid_pen_floor,x3_weak_cd15,x3_med_cd45,x3_strong_cd80,high_pen_R
2,3,1.106,1.5,1.5,1.8,1.5,1.5,2.6
2,5,1.184,1.5,1.5,1.8,1.5,1.5,2.6
2,10,1.391,1.5,1.5,2.0,1.5,1.5,2.6
3,3,1.163,1.5,1.5,1.8,1.5,1.5,2.6
3,5,1.283,1.5,1.5,1.8,1.5,1.5,2.6
3,10,1.617,1.8,1.8,2.3,1.8,1.5,2.6
5,3,1.28,1.5,1.5,1.8,1.5,1.5,2.6
5,5,1.495,1.5,1.5,2.0,1.5,1.5,2.6
5,10,2.133,2.3,2.3,2.6,2.3,1.5,2.6
7,3,1.402,1.5,1.5,2.0,1.5,1.5,2.6
7,5,1.724,1.8,1.8,2.3,1.8,1.5,2.6
7,10,2.745,2.6,2.6,2.6,2.6,2.3,2.6
8,3,1.465,1.5,1.5,2.0,1.5,1.5,2.6
8,5,1.844,1.8,1.8,2.6,1.8,1.5,2.6
8,10,3.092,2.6,2.6,2.6,2.6,2.6,2.6
