pv_kwp,cap_load_ratio,source_load_ratio,energy_penetration_pct,reverse_check_passed,reverse_overload_kw,max_reverse_voltage_pu,Z1_wan,Z4_transformer_wan,Z4_rev_share_pct,reliability_wan,annual_cost_wan_year
2000,1.5,0.538,16.7,True,0.0,1.014,2937.4,5.31,2.08,0.0,867.02
2000,1.8,0.538,16.7,True,0.0,1.014,3204.88,5.11,2.07,0.0,892.32
2000,2.0,0.538,16.7,True,0.0,1.014,3383.2,5.08,2.07,0.0,909.28
2000,2.3,0.538,16.7,True,0.0,1.014,3543.69,5.12,2.06,0.0,924.62
2000,2.6,0.538,16.7,True,0.0,1.014,3704.18,5.24,2.04,0.0,940.04
4000,1.5,1.077,33.4,True,0.0,1.0451,2937.4,5.72,15.85,0.0,873.35
4000,1.8,1.077,33.4,True,0.0,1.0451,3204.88,5.46,15.78,0.0,898.58
4000,2.0,1.077,33.4,True,0.0,1.0451,3383.2,5.39,15.72,0.0,915.51
4000,2.3,1.077,33.4,True,0.0,1.0451,3543.69,5.39,15.62,0.0,930.8
4000,2.6,1.077,33.4,True,0.0,1.0451,3704.18,5.48,15.51,0.0,946.19
6000,1.5,1.615,50.1,True,0.0,1.0762,2937.4,6.61,34.61,0.0,886.25
6000,1.8,1.615,50.1,True,0.0,1.0762,3204.88,6.2,34.47,0.0,911.33
6000,2.0,1.615,50.1,True,0.0,1.0762,3383.2,6.05,34.36,0.0,928.19
6000,2.3,1.615,50.1,True,0.0,1.0762,3543.69,5.97,34.18,0.0,943.4
6000,2.6,1.615,50.1,True,0.0,1.0762,3704.18,5.99,34.0,0.0,958.71
8000,1.5,2.153,61.3,False,1348.9,1.084,2937.4,6.9,39.09,0.0,927.26
8000,1.8,2.153,65.2,False,401.6,1.1004,3204.88,7.04,47.59,0.0,936.66
8000,2.0,2.153,66.8,True,0.0,1.1073,3383.2,7.07,50.79,0.0,947.32
8000,2.3,2.153,66.8,True,0.0,1.1073,3543.69,6.85,50.59,0.0,962.4
8000,2.6,2.153,66.8,True,0.0,1.1073,3704.18,6.77,50.38,0.0,977.61
10000,1.5,2.692,70.7,False,3148.9,1.084,2937.4,6.9,39.09,0.0,976.29
10000,1.8,2.692,74.5,False,2201.6,1.1004,3204.88,7.04,47.59,0.0,985.69
10000,2.0,2.692,77.1,False,1570.0,1.1113,3383.2,7.22,52.59,0.0,993.0
10000,2.3,2.692,81.0,False,622.7,1.1277,3543.69,7.59,59.11,0.0,995.25
10000,2.6,2.692,83.5,True,0.0,1.1385,3704.18,7.82,62.74,0.0,1002.88
12000,1.5,3.23,80.0,False,4948.9,1.084,2937.4,6.9,39.09,0.0,1025.32
12000,1.8,3.23,83.9,False,4001.6,1.1004,3204.88,7.04,47.59,0.0,1034.72
12000,2.0,3.23,86.5,False,3370.0,1.1113,3383.2,7.22,52.59,0.0,1042.03
12000,2.3,3.23,90.3,False,2422.7,1.1277,3543.69,7.59,59.11,0.0,1044.29
12000,2.6,3.23,94.2,False,1475.4,1.1441,3704.18,8.04,64.57,0.0,1048.31
14000,1.5,3.769,89.4,False,6748.9,1.084,2937.4,6.9,39.09,0.0,1074.35
14000,1.8,3.769,93.3,False,5801.6,1.1004,3204.88,7.04,47.59,0.0,1083.76
14000,2.0,3.769,95.9,False,5170.0,1.1113,3383.2,7.22,52.59,0.0,1091.06
14000,2.3,3.769,99.7,False,4222.7,1.1277,3543.69,7.59,59.11,0.0,1093.32
14000,2.6,3.769,103.6,False,3275.4,1.1441,3704.18,8.04,64.57,0.0,1097.34
