PV装机(kWp),源荷比,电量渗透率(%),刚性2.0年成本(万),自适应R,自适应年成本(万),节省(万/年),节省占比(%),容载比方向
500,0.135,4.2,908.49,1.5,866.22,42.27,4.65,降容载比
1000,0.269,8.3,908.53,1.5,866.26,42.27,4.65,降容载比
2000,0.538,16.7,909.28,1.5,867.02,42.26,4.65,降容载比
3000,0.808,25.1,911.59,1.5,869.37,42.22,4.63,降容载比
4000,1.077,33.4,915.51,1.5,873.35,42.16,4.6,降容载比
5000,1.346,41.8,921.04,1.5,878.98,42.06,4.57,降容载比
6000,1.615,50.1,928.19,1.5,886.25,41.94,4.52,降容载比
7000,1.884,58.5,936.95,1.8,920.14,16.8,1.79,降容载比
8000,2.153,66.8,947.32,2.0,947.32,0.0,0.0,维持2.0
9000,2.423,75.1,990.98,2.3,974.3,16.68,1.68,升容载比
10000,2.692,83.5,1022.15,2.6,1002.88,19.27,1.88,升容载比
11000,2.961,91.9,1053.32,2.0,1053.32,0.0,0.0,刚性2.0+配储
12000,3.23,100.2,1084.49,2.0,1084.49,0.0,0.0,刚性2.0+配储
13000,3.499,108.6,1115.66,2.0,1115.66,0.0,0.0,刚性2.0+配储
14000,3.769,116.9,1146.83,2.0,1146.83,0.0,0.0,刚性2.0+配储
