源荷比,电量渗透率,联络度,推荐R,推荐区间,最优年成本(万),技术方案组合,数据基础
低,低,弱,2.0,"[1.8, 2.2]",919.87,维持刚性2.0,IEEE33参数扫描·经反向承载力校核
低,低,中,1.5,"[1.5, 1.7]",867.1,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
低,低,强,1.5,"[1.5, 1.7]",867.1,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
低,中,弱,2.0,"[1.8, 2.2]",920.19,维持刚性2.0,IEEE33参数扫描·经反向承载力校核
低,中,中,1.5,"[1.5, 1.7]",867.41,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
低,中,强,1.5,"[1.5, 1.7]",867.41,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
低,高,弱,2.0,"[1.8, 2.2]",920.65,维持刚性2.0,IEEE33参数扫描·经反向承载力校核
低,高,中,1.5,"[1.5, 1.7]",867.89,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
低,高,强,1.5,"[1.5, 1.7]",867.89,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
中,低,弱,2.0,"[1.8, 2.2]",937.76,维持刚性2.0,IEEE33参数扫描·经反向承载力校核
中,低,中,1.8,"[1.6, 2.0]",910.38,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
中,低,强,1.8,"[1.6, 2.0]",910.38,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
中,中,弱,2.0,"[1.8, 2.2]",944.55,维持刚性2.0,IEEE33参数扫描·经反向承载力校核
中,中,中,1.8,"[1.6, 2.0]",917.21,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
中,中,强,1.8,"[1.6, 2.0]",917.21,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
中,高,弱,2.0,"[1.8, 2.2]",954.63,维持刚性2.0,IEEE33参数扫描·经反向承载力校核
中,高,中,1.8,"[1.6, 2.0]",927.36,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
中,高,强,1.8,"[1.6, 2.0]",927.36,降容载比（强联络互济支撑）,IEEE33参数扫描·经反向承载力校核
高,低,弱,2.0,"[1.8, 2.2]",1089.2,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核
高,低,中,2.0,"[1.8, 2.2]",1069.9,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核
高,低,强,2.0,"[1.8, 2.2]",1059.38,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核
高,中,弱,2.0,"[1.8, 2.2]",1100.29,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核
高,中,中,2.0,"[1.8, 2.2]",1081.0,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核
高,中,强,2.0,"[1.8, 2.2]",1070.47,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核
高,高,弱,2.0,"[1.8, 2.2]",1116.78,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核
高,高,中,2.0,"[1.8, 2.2]",1097.49,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核
高,高,强,2.0,"[1.8, 2.2]",1086.96,刚性2.0+配储治反送（纯主变越限→方案A）,IEEE33参数扫描·经反向承载力校核
