source_load_level,source_load_value,penetration_level,t_rev_hours,interconnection_level,interconnection_value,pv_kwp_eff,best_cap_load_ratio,recommended_range,best_annual_cost_wan,reliability_wan,best_curtailed_wan_kwh,tech_scheme,basis,score_base,score_mean_perturb,score_std_perturb,score_cv_perturb,robust_flag
低,0.6,低,1000,弱,0.15,2229.0,2.3,"[2.1, 2.5]",957.38,0.0,0.0,主变弹性增容,IEEE33参数扫描,0.3978479331644005,0.3955449722128357,0.021345566030035564,0.05396495349331841,True
低,0.6,低,1000,中,0.45,2229.0,1.8,"[1.6, 2.0]",919.31,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描,0.5981784819983202,0.59862373479999,0.015365572198046809,0.025668163998133205,True
低,0.6,低,1000,强,0.8,2229.0,1.5,"[1.5, 1.7]",889.37,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描,0.6609501853731643,0.6643226004451073,0.023216453333743496,0.03494755908974516,True
低,0.6,中,1362,弱,0.15,2229.0,2.3,"[2.1, 2.5]",957.69,0.0,0.0,主变弹性增容,IEEE33参数扫描,0.473372432319752,0.47141528085405804,0.019064353043680694,0.04044067686796569,True
低,0.6,中,1362,中,0.45,2229.0,1.8,"[1.6, 2.0]",919.62,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描,0.6737029811536718,0.6744940434412121,0.009174503627762037,0.01360205285274409,True
低,0.6,中,1362,强,0.8,2229.0,1.5,"[1.5, 1.7]",889.68,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描,0.7364746845285159,0.7401929090863301,0.018547139483212606,0.0250571699019402,True
低,0.6,高,1900,弱,0.15,2229.0,2.3,"[2.1, 2.5]",958.15,0.0,0.0,主变弹性增容,IEEE33参数扫描,0.5856172194241189,0.5841740153376023,0.021026147639327048,0.035992952591600215,True
低,0.6,高,1900,中,0.45,2229.0,1.8,"[1.6, 2.0]",920.08,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描,0.7859477682580386,0.7872527779247568,0.008603890766145043,0.01092900654960464,True
低,0.6,高,1900,强,0.8,2229.0,1.5,"[1.5, 1.7]",890.15,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描,0.8487028413943576,0.8529348807212055,0.016426107930444935,0.01925833765472982,True
中,1.8,低,1000,弱,0.15,6687.0,2.3,"[2.1, 2.5]",975.03,0.0,0.0,主变弹性增容,IEEE33参数扫描,0.36849556216753665,0.36595854431251756,0.019726838768405423,0.05390457218428925,True
中,1.8,低,1000,中,0.45,6687.0,1.8,"[1.6, 2.0]",937.14,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描,0.5685267667080038,0.5687355756236346,0.01359224772641602,0.023899063657988752,True
中,1.8,低,1000,强,0.8,6687.0,1.5,"[1.5, 1.7]",907.38,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描,0.6309991257893955,0.634132709992715,0.02192498008558609,0.034574750269235274,True
中,1.8,中,1362,弱,0.15,6687.0,2.3,"[2.1, 2.5]",981.72,0.0,0.0,主变弹性增容,IEEE33参数扫描,0.43340996914385177,0.43113415550308676,0.017264455858583688,0.040044277722320325,True
