source_load_level,source_load_value,penetration_level,t_rev_hours,interconnection_level,interconnection_value,pv_kwp_eff,best_cap_load_ratio,recommended_range,best_annual_cost_wan,reliability_wan,best_curtailed_wan_kwh,tech_scheme,basis
低,0.6,低,1000,弱,0.15,2229.0,2.3,"[2.1, 2.5]",957.38,0.0,0.0,主变弹性增容,IEEE33参数扫描
低,0.6,低,1000,中,0.45,2229.0,1.8,"[1.6, 2.0]",919.31,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描
低,0.6,低,1000,强,0.8,2229.0,1.5,"[1.5, 1.7]",889.37,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描
低,0.6,中,1362,弱,0.15,2229.0,2.3,"[2.1, 2.5]",957.69,0.0,0.0,主变弹性增容,IEEE33参数扫描
低,0.6,中,1362,中,0.45,2229.0,1.8,"[1.6, 2.0]",919.62,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描
低,0.6,中,1362,强,0.8,2229.0,1.5,"[1.5, 1.7]",889.68,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描
低,0.6,高,1900,弱,0.15,2229.0,2.3,"[2.1, 2.5]",958.15,0.0,0.0,主变弹性增容,IEEE33参数扫描
低,0.6,高,1900,中,0.45,2229.0,1.8,"[1.6, 2.0]",920.08,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描
低,0.6,高,1900,强,0.8,2229.0,1.5,"[1.5, 1.7]",890.15,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描
中,1.8,低,1000,弱,0.15,6687.0,2.3,"[2.1, 2.5]",975.03,0.0,0.0,主变弹性增容,IEEE33参数扫描
中,1.8,低,1000,中,0.45,6687.0,1.8,"[1.6, 2.0]",937.14,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描
中,1.8,低,1000,强,0.8,6687.0,1.5,"[1.5, 1.7]",907.38,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描
中,1.8,中,1362,弱,0.15,6687.0,2.3,"[2.1, 2.5]",981.72,0.0,0.0,主变弹性增容,IEEE33参数扫描
中,1.8,中,1362,中,0.45,6687.0,1.8,"[1.6, 2.0]",943.91,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描
中,1.8,中,1362,强,0.8,6687.0,1.5,"[1.5, 1.7]",914.21,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描
中,1.8,高,1900,弱,0.15,6687.0,2.3,"[2.1, 2.5]",991.68,0.0,0.0,主变弹性增容,IEEE33参数扫描
中,1.8,高,1900,中,0.45,6687.0,1.8,"[1.6, 2.0]",953.97,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描
中,1.8,高,1900,强,0.8,6687.0,1.5,"[1.5, 1.7]",924.37,0.0,0.0,降容载比（强联络互济支撑）,IEEE33参数扫描
高,3.2,低,1000,弱,0.15,11888.0,2.3,"[2.1, 2.5]",1031.95,0.0,52.13,主变弹性增容（近弃光边界）,IEEE33参数扫描
高,3.2,低,1000,中,0.45,11888.0,2.3,"[2.1, 2.5]",1031.95,0.0,52.13,主变弹性增容（近弃光边界）,IEEE33参数扫描
高,3.2,低,1000,强,0.8,11888.0,2.3,"[2.1, 2.5]",1031.95,0.0,52.13,主变弹性增容（近弃光边界）,IEEE33参数扫描
高,3.2,中,1362,弱,0.15,11888.0,2.3,"[2.1, 2.5]",1059.25,0.0,71.0,主变弹性增容（近弃光边界）,IEEE33参数扫描
高,3.2,中,1362,中,0.45,11888.0,2.3,"[2.1, 2.5]",1059.25,0.0,71.0,主变弹性增容（近弃光边界）,IEEE33参数扫描
高,3.2,中,1362,强,0.8,11888.0,2.3,"[2.1, 2.5]",1059.25,0.0,71.0,主变弹性增容（近弃光边界）,IEEE33参数扫描
高,3.2,高,1900,弱,0.15,11888.0,2.3,"[2.1, 2.5]",1099.83,0.0,99.05,主变弹性增容（近弃光边界）,IEEE33参数扫描
高,3.2,高,1900,中,0.45,11888.0,2.3,"[2.1, 2.5]",1099.83,0.0,99.05,主变弹性增容（近弃光边界）,IEEE33参数扫描
高,3.2,高,1900,强,0.8,11888.0,1.5,"[1.5, 1.7]",1080.46,0.0,0.0,刚性+配储治反送,IEEE33参数扫描
