discount_rate,storage_cost_factor,pv_kwp,energy_penetration_pct,rigid_annual_wan,adaptive_R,adaptive_annual_wan,saving_wan_year,elastic_active
0.04,1.0,9000,75.1,856.83,2.0,856.83,0.0,False
0.04,1.0,11000,91.9,919.14,2.3,902.68,16.46,True
0.04,1.0,13000,108.6,973.29,2.3,951.71,21.58,True
0.04,0.7,9000,75.1,856.83,2.0,856.83,0.0,False
0.04,0.7,11000,91.9,906.89,1.8,895.18,11.71,True
0.04,0.7,13000,108.6,944.79,1.8,933.08,11.71,True
0.04,0.5,9000,75.1,856.83,1.8,855.47,1.36,True
0.04,0.5,11000,91.9,898.72,1.8,882.54,16.18,True
0.04,0.5,13000,108.6,925.8,1.8,909.62,16.18,True
0.05,1.0,9000,75.1,921.44,2.0,921.44,0.0,False
0.05,1.0,11000,91.9,988.0,2.3,968.63,19.37,True
0.05,1.0,13000,108.6,1046.15,2.3,1017.66,28.49,True
0.05,0.7,9000,75.1,921.44,2.0,921.44,0.0,False
0.05,0.7,11000,91.9,974.84,1.8,962.8,12.04,True
0.05,0.7,13000,108.6,1015.55,1.8,1003.5,12.04,True
0.05,0.5,9000,75.1,921.44,1.8,920.15,1.29,True
0.05,0.5,11000,91.9,966.07,1.8,949.23,16.84,True
0.05,0.5,13000,108.6,995.15,1.8,978.3,16.84,True
0.06,1.0,9000,75.1,988.91,2.0,988.91,0.0,False
0.06,1.0,11000,91.9,1059.9,2.3,1037.48,22.43,True
0.06,1.0,13000,108.6,1122.24,2.3,1086.51,35.73,True
0.06,0.7,9000,75.1,988.91,2.0,988.91,0.0,False
0.06,0.7,11000,91.9,1045.8,1.8,1033.41,12.39,True
0.06,0.7,13000,108.6,1089.44,1.8,1077.05,12.39,True
0.06,0.5,9000,75.1,988.91,1.8,987.69,1.21,True
0.06,0.5,11000,91.9,1036.4,1.8,1018.86,17.53,True
0.06,0.5,13000,108.6,1067.56,1.8,1050.03,17.53,True
0.07,1.0,9000,75.1,1059.01,2.0,1059.01,0.0,False
0.07,1.0,11000,91.9,1134.63,2.3,1109.03,25.61,True
0.07,1.0,13000,108.6,1201.34,2.3,1158.06,43.28,True
0.07,0.7,9000,75.1,1059.01,2.0,1059.01,0.0,False
0.07,0.7,11000,91.9,1119.54,1.8,1106.8,12.74,True
0.07,0.7,13000,108.6,1166.24,1.8,1153.5,12.74,True
0.07,0.5,9000,75.1,1059.01,1.8,1057.88,1.13,True
0.07,0.5,11000,91.9,1109.48,1.8,1091.23,18.25,True
0.07,0.5,13000,108.6,1142.83,1.8,1124.59,18.25,True
0.08,1.0,9000,75.1,1131.54,2.0,1131.54,0.0,False
0.08,1.0,11000,91.9,1211.96,2.3,1183.06,28.91,True
0.08,1.0,13000,108.6,1283.2,2.3,1232.09,51.11,True
0.08,0.7,9000,75.1,1131.54,2.0,1131.54,0.0,False
0.08,0.7,11000,91.9,1195.84,1.8,1182.74,13.1,True
0.08,0.7,13000,108.6,1245.71,2.3,1232.09,13.62,True
0.08,0.5,9000,75.1,1131.54,1.8,1130.49,1.05,True
0.08,0.5,11000,91.9,1185.1,1.8,1166.11,18.98,True
0.08,0.5,13000,108.6,1220.72,1.8,1201.73,18.98,True
