load_growth_pct,horizon_years,reliab_cutoff_R,low_pen_floor,mid_pen_floor,x3_weak_cd15,x3_med_cd45,x3_strong_cd80,high_pen_R
2,3,1.222,1.5,1.5,1.8,1.5,1.5,2.3
2,5,1.308,1.5,1.5,2.0,1.5,1.5,2.3
2,10,1.538,1.5,1.5,2.3,1.5,1.5,2.3
3,3,1.285,1.5,1.5,2.0,1.5,1.5,2.3
3,5,1.419,1.5,1.5,2.0,1.5,1.5,2.3
3,10,1.788,1.8,1.8,2.6,1.8,1.5,2.3
5,3,1.415,1.5,1.5,2.0,1.5,1.5,2.3
5,5,1.653,1.8,1.8,2.3,1.8,1.5,2.3
5,10,2.358,2.3,2.3,2.6,2.3,1.8,2.6
7,3,1.55,1.5,1.5,2.3,1.5,1.5,2.3
7,5,1.905,2.0,2.0,2.6,2.0,1.5,2.3
7,10,3.034,2.6,2.6,2.6,2.6,2.3,2.6
8,3,1.619,1.8,1.8,2.3,1.8,1.5,2.3
8,5,2.039,2.0,2.0,2.6,2.0,1.5,2.3
8,10,3.418,2.6,2.6,2.6,2.6,2.6,2.6
