pv_kwp,source_load_ratio,energy_penetration_pct,rigid_R,rigid_annual_wan,adaptive_R,adaptive_annual_wan,saving_wan_year,saving_pct,adapt_reliability_wan,adapt_curtail_wan,adapt_storage_capex_wan,direction
500,0.135,4.2,2.0,938.49,1.8,918.45,20.04,2.14,0.0,0.0,0.0,降容载比
1000,0.269,8.3,2.0,938.53,1.8,918.49,20.04,2.14,0.0,0.0,0.0,降容载比
2000,0.538,16.7,2.0,939.28,1.8,919.24,20.04,2.13,0.0,0.0,0.0,降容载比
3000,0.808,25.1,2.0,941.57,1.8,921.53,20.03,2.13,0.0,0.0,0.0,降容载比
4000,1.077,33.4,2.0,945.45,1.8,925.44,20.01,2.12,0.0,0.0,0.0,降容载比
5000,1.346,41.8,2.0,950.94,1.8,930.96,19.99,2.1,0.0,0.0,0.0,降容载比
6000,1.615,50.1,2.0,958.03,1.8,938.08,19.95,2.08,0.0,0.0,0.0,降容载比
7000,1.884,58.5,2.0,966.72,1.8,946.82,19.91,2.06,0.0,0.0,0.0,降容载比
8000,2.153,66.8,2.0,977.01,1.8,957.16,19.85,2.03,0.0,0.0,0.0,降容载比
9000,2.423,75.1,2.0,988.91,2.0,988.91,0.0,0.0,0.0,0.0,0.0,维持2.0
10000,2.692,83.5,2.0,1028.73,2.3,1020.06,8.67,0.84,0.0,0.0,0.0,升容载比
11000,2.961,91.9,2.0,1059.9,2.3,1037.48,22.43,2.12,0.0,6.63,0.0,升容载比
12000,3.23,100.2,2.0,1091.07,2.3,1061.99,29.08,2.67,0.0,31.15,0.0,升容载比
13000,3.499,108.6,2.0,1122.24,2.3,1086.51,35.73,3.18,0.0,55.66,0.0,升容载比
14000,3.769,116.9,2.0,1153.41,2.3,1111.03,42.39,3.67,0.0,80.18,0.0,升容载比
