pv_kwp,cap_load_ratio,source_load_ratio,energy_penetration_pct,Z1_wan,Z4_transformer_wan,Z4_rev_share_pct,reliability_wan,curtail_wan,storage_capex_wan,annual_cost_wan_year
2000,1.5,0.538,16.7,3172.97,5.13,2.07,38.26,0.0,0.0,927.55
2000,1.8,0.538,16.7,3487.56,5.08,2.06,0.0,0.0,0.0,919.24
2000,2.0,0.538,16.7,3697.29,5.13,2.05,0.0,0.0,0.0,939.28
2000,2.3,0.538,16.7,3884.86,5.29,2.04,0.0,0.0,0.0,957.31
2000,2.6,0.538,16.7,4042.15,5.51,2.02,0.0,0.0,0.0,972.53
4000,1.5,1.077,33.4,3172.97,5.48,15.79,38.26,0.0,0.0,933.82
4000,1.8,1.077,33.4,3487.56,5.38,15.68,0.0,0.0,0.0,925.44
4000,2.0,1.077,33.4,3697.29,5.4,15.6,0.0,0.0,0.0,945.45
4000,2.3,1.077,33.4,3884.86,5.52,15.48,0.0,0.0,0.0,963.45
4000,2.6,1.077,33.4,4042.15,5.72,15.34,0.0,0.0,0.0,978.64
6000,1.5,1.615,50.1,3172.97,6.23,34.49,38.26,0.0,0.0,946.58
6000,1.8,1.615,50.1,3487.56,6.0,34.29,0.0,0.0,0.0,938.08
6000,2.0,1.615,50.1,3697.29,5.96,34.15,0.0,0.0,0.0,958.03
6000,2.3,1.615,50.1,3884.86,6.01,33.93,0.0,0.0,0.0,975.96
6000,2.6,1.615,50.1,4042.15,6.15,33.7,0.0,0.0,0.0,991.09
8000,1.5,2.153,66.8,3172.97,7.01,46.64,38.26,0.0,164.66,995.05
8000,1.8,2.153,66.8,3487.56,6.96,50.71,0.0,0.0,0.0,957.16
8000,2.0,2.153,66.8,3697.29,6.83,50.55,0.0,0.0,0.0,977.01
8000,2.3,2.153,66.8,3884.86,6.76,50.3,0.0,0.0,0.0,994.83
8000,2.6,2.153,66.8,4042.15,6.82,50.04,0.0,0.0,0.0,1009.87
10000,1.5,2.692,83.5,3172.97,7.01,46.64,38.26,0.0,740.66,1057.39
10000,1.8,2.692,83.5,3487.56,7.36,55.27,0.0,0.0,384.13,1024.07
10000,2.0,2.692,83.5,3697.29,7.67,60.14,0.0,0.0,146.43,1028.73
10000,2.3,2.692,83.5,3884.86,7.78,62.67,0.0,0.0,0.0,1020.06
10000,2.6,2.692,83.5,4042.15,7.71,62.42,0.0,0.0,0.0,1034.99
12000,1.5,3.23,100.2,3172.97,7.01,46.64,38.26,0.0,1316.66,1119.73
12000,1.8,3.23,100.2,3487.56,7.36,55.27,0.0,0.0,960.13,1086.4
12000,2.0,3.23,100.2,3697.29,7.67,60.14,0.0,0.0,722.43,1091.07
12000,2.3,3.23,95.5,3884.86,8.21,66.26,0.0,31.15,0.0,1061.99
12000,2.6,3.23,100.1,4042.15,8.82,71.2,0.0,0.8,0.0,1066.67
14000,1.5,3.769,116.9,3172.97,7.01,46.64,38.26,0.0,1892.66,1182.07
14000,1.8,3.769,116.9,3487.56,7.36,55.27,0.0,0.0,1536.13,1148.74
14000,2.0,3.769,116.9,3697.29,7.67,60.14,0.0,0.0,1298.43,1153.41
14000,2.3,3.769,104.9,3884.86,8.21,66.26,0.0,80.18,0.0,1111.03
14000,2.6,3.769,109.5,4042.15,8.82,71.2,0.0,49.83,0.0,1115.7
