PV装机(kWp),源荷比,电量渗透率(%),刚性2.0年成本(万),自适应R,自适应年成本(万),节省(万/年),节省占比(%),容载比方向
500,0.135,4.2,938.49,1.8,918.45,20.04,2.14,降容载比
1000,0.269,8.3,938.53,1.8,918.49,20.04,2.14,降容载比
2000,0.538,16.7,939.28,1.8,919.24,20.04,2.13,降容载比
3000,0.808,25.1,941.57,1.8,921.53,20.03,2.13,降容载比
4000,1.077,33.4,945.45,1.8,925.44,20.01,2.12,降容载比
5000,1.346,41.8,950.94,1.8,930.96,19.99,2.1,降容载比
6000,1.615,50.1,958.03,1.8,938.08,19.95,2.08,降容载比
7000,1.884,58.5,966.72,1.8,946.82,19.91,2.06,降容载比
8000,2.153,66.8,977.01,1.8,957.16,19.85,2.03,降容载比
9000,2.423,75.1,988.91,2.0,988.91,0.0,0.0,维持2.0
10000,2.692,83.5,1028.73,2.3,1020.06,8.67,0.84,升容载比
11000,2.961,91.9,1059.9,2.3,1037.48,22.43,2.12,升容载比
12000,3.23,100.2,1091.07,2.3,1061.99,29.08,2.67,升容载比
13000,3.499,108.6,1122.24,2.3,1086.51,35.73,3.18,升容载比
14000,3.769,116.9,1153.41,2.3,1111.03,42.39,3.67,升容载比
