源荷比,电量渗透率,联络度,推荐R,推荐区间,最优年成本(万),技术方案组合,数据基础
低,低,弱,2.3,"[2.1, 2.5]",957.38,主变弹性增容,IEEE33参数扫描
低,低,中,1.8,"[1.6, 2.0]",919.31,降容载比（强联络互济支撑）,IEEE33参数扫描
低,低,强,1.5,"[1.5, 1.7]",889.37,降容载比（强联络互济支撑）,IEEE33参数扫描
低,中,弱,2.3,"[2.1, 2.5]",957.69,主变弹性增容,IEEE33参数扫描
低,中,中,1.8,"[1.6, 2.0]",919.62,降容载比（强联络互济支撑）,IEEE33参数扫描
低,中,强,1.5,"[1.5, 1.7]",889.68,降容载比（强联络互济支撑）,IEEE33参数扫描
低,高,弱,2.3,"[2.1, 2.5]",958.15,主变弹性增容,IEEE33参数扫描
低,高,中,1.8,"[1.6, 2.0]",920.08,降容载比（强联络互济支撑）,IEEE33参数扫描
低,高,强,1.5,"[1.5, 1.7]",890.15,降容载比（强联络互济支撑）,IEEE33参数扫描
中,低,弱,2.3,"[2.1, 2.5]",975.03,主变弹性增容,IEEE33参数扫描
中,低,中,1.8,"[1.6, 2.0]",937.14,降容载比（强联络互济支撑）,IEEE33参数扫描
中,低,强,1.5,"[1.5, 1.7]",907.38,降容载比（强联络互济支撑）,IEEE33参数扫描
中,中,弱,2.3,"[2.1, 2.5]",981.72,主变弹性增容,IEEE33参数扫描
中,中,中,1.8,"[1.6, 2.0]",943.91,降容载比（强联络互济支撑）,IEEE33参数扫描
中,中,强,1.5,"[1.5, 1.7]",914.21,降容载比（强联络互济支撑）,IEEE33参数扫描
中,高,弱,2.3,"[2.1, 2.5]",991.68,主变弹性增容,IEEE33参数扫描
中,高,中,1.8,"[1.6, 2.0]",953.97,降容载比（强联络互济支撑）,IEEE33参数扫描
中,高,强,1.5,"[1.5, 1.7]",924.37,降容载比（强联络互济支撑）,IEEE33参数扫描
高,低,弱,2.3,"[2.1, 2.5]",1031.95,主变弹性增容（近弃光边界）,IEEE33参数扫描
高,低,中,2.3,"[2.1, 2.5]",1031.95,主变弹性增容（近弃光边界）,IEEE33参数扫描
高,低,强,2.3,"[2.1, 2.5]",1031.95,主变弹性增容（近弃光边界）,IEEE33参数扫描
高,中,弱,2.3,"[2.1, 2.5]",1059.25,主变弹性增容（近弃光边界）,IEEE33参数扫描
高,中,中,2.3,"[2.1, 2.5]",1059.25,主变弹性增容（近弃光边界）,IEEE33参数扫描
高,中,强,2.3,"[2.1, 2.5]",1059.25,主变弹性增容（近弃光边界）,IEEE33参数扫描
高,高,弱,2.3,"[2.1, 2.5]",1099.83,主变弹性增容（近弃光边界）,IEEE33参数扫描
高,高,中,2.3,"[2.1, 2.5]",1099.83,主变弹性增容（近弃光边界）,IEEE33参数扫描
高,高,强,1.5,"[1.5, 1.7]",1080.46,刚性+配储治反送,IEEE33参数扫描
