from_bus,to_bus,r_ohm,x_ohm,length_km_est
1,2,0.0922,0.0470,0.3
2,3,0.4930,0.2511,1.5
3,4,0.3660,0.1864,1.1
4,5,0.3811,0.1941,1.2
5,6,0.8190,0.7070,2.5
6,7,0.1872,0.6188,0.6
7,8,0.7114,0.2351,2.2
8,9,1.0300,0.7400,3.1
9,10,1.0440,0.7400,3.2
10,11,0.1966,0.0650,0.6
11,12,0.3744,0.1238,1.1
12,13,1.4680,1.1550,4.5
13,14,0.5416,0.7129,1.6
14,15,0.5910,0.5260,1.8
15,16,0.7463,0.5450,2.3
16,17,1.2890,1.7210,3.9
17,18,0.7320,0.5740,2.2
2,19,0.1640,0.1565,0.5
19,20,1.5042,1.3554,4.6
20,21,0.4095,0.4784,1.2
21,22,0.7089,0.9373,2.2
3,23,0.4512,0.3083,1.4
23,24,0.8980,0.7091,2.7
24,25,0.8960,0.7011,2.7
6,26,0.2030,0.1034,0.6
26,27,0.2842,0.1447,0.9
27,28,1.0590,0.9337,3.2
28,29,0.8042,0.7006,2.4
29,30,0.5075,0.2585,1.5
30,31,0.9744,0.9630,3.0
31,32,0.3105,0.3619,0.9
32,33,0.3410,0.5302,1.0
