time,P,G_i,T2m,WS10m
20050101:0030,289.68,,-11.53,1.17
20050101:0130,521.84,,-8.29,1.17
20050101:0230,679.53,,-5.4,1.86
20050101:0330,765.83,,-3.25,2.62
20050101:0430,781.88,,-1.75,3.24
20050101:0530,725.43,,-0.83,3.45
20050101:0630,603.71,,-0.39,3.52
20050101:0730,401.52,,-1.02,3.59
20050101:0830,140.27,,-1.81,2.83
20050101:0930,0.0,,-3.66,2.55
20050101:1030,0.0,,-4.93,2.07
20050101:1130,0.0,,-5.76,2.14
20050101:1230,0.0,,-6.26,2.21
20050101:1330,0.0,,-6.33,2.21
20050101:1430,0.0,,-6.32,2.34
20050101:1530,0.0,,-6.58,2.48
20050101:1630,0.0,,-6.81,2.48
20050101:1730,0.0,,-7.49,2.28
20050101:1830,0.0,,-7.96,2.21
20050101:1930,0.0,,-8.31,2.28
20050101:2030,0.0,,-8.6,2.34
20050101:2130,0.0,,-8.76,2.41
20050101:2230,0.0,,-8.87,2.48
20050101:2330,2.37,,-8.93,2.62
20050102:0030,277.33,,-8.58,2.55
20050102:0130,511.56,,-6.36,2.83
20050102:0230,675.63,,-4.27,4.07
20050102:0330,763.66,,-2.41,4.9
20050102:0430,774.7,,-0.82,5.1
20050102:0530,714.52,,0.33,5.17
20050102:0630,579.05,,1.0,5.03
20050102:0730,377.77,,0.98,4.97
20050102:0830,130.0,,0.46,4.0
20050102:0930,0.0,,-1.09,3.45
20050102:1030,0.0,,-2.25,3.24
20050102:1130,0.0,,-2.64,3.59
20050102:1230,0.0,,-2.66,3.66
20050102:1330,0.0,,-2.59,3.79
20050102:1430,0.0,,-2.53,3.72
20050102:1530,0.0,,-2.36,3.52
20050102:1630,0.0,,-2.19,3.24
20050102:1730,0.0,,-2.18,2.83
20050102:1830,0.0,,-2.55,2.62
20050102:1930,0.0,,-3.13,2.07
20050102:2030,0.0,,-4.12,1.38
20050102:2130,0.0,,-3.4,0.69
20050102:2230,0.0,,-3.5,0.21
20050102:2330,2.06,,-4.7,1.03
20050103:0030,257.02,,-5.82,1.52
20050103:0130,480.78,,-1.9,1.79
20050103:0230,646.38,,0.69,3.79
20050103:0330,728.87,,1.82,5.1
20050103:0430,746.48,,2.5,5.38
20050103:0530,697.52,,3.02,5.24
20050103:0630,577.36,,3.12,5.03
20050103:0730,380.45,,3.43,4.55
20050103:0830,135.54,,2.57,3.66
20050103:0930,0.0,,0.51,3.03
20050103:1030,0.0,,-1.22,2.76
20050103:1130,0.0,,-2.28,2.97
20050103:1230,0.0,,-2.88,3.38
20050103:1330,0.0,,-3.21,3.72
20050103:1430,0.0,,-3.38,3.93
20050103:1530,0.0,,-3.67,4.07
20050103:1630,0.0,,-4.09,3.86
20050103:1730,0.0,,-4.56,3.59
20050103:1830,0.0,,-5.0,3.31
20050103:1930,0.0,,-5.68,2.62
20050103:2030,0.0,,-6.21,2.34
20050103:2130,0.0,,-6.71,2.21
20050103:2230,0.0,,-7.15,2.07
20050103:2330,2.13,,-7.65,1.79
20050104:0030,277.23,,-7.68,1.45
20050104:0130,508.56,,-5.12,1.93
20050104:0230,668.98,,-3.64,2.41
20050104:0330,753.66,,-2.23,2.55
20050104:0430,767.27,,-1.06,2.55
20050104:0530,712.68,,-0.24,2.55
20050104:0630,587.62,,0.11,2.55
20050104:0730,392.45,,-0.17,2.48
20050104:0830,134.79,,-0.8,2.41
20050104:0930,0.0,,-2.34,2.0
20050104:1030,0.0,,-3.78,1.86
20050104:1130,0.0,,-4.83,1.72
20050104:1230,0.0,,-5.69,1.52
20050104:1330,0.0,,-5.96,1.31
20050104:1430,0.0,,-6.07,1.24
20050104:1530,0.0,,-6.24,1.24
20050104:1630,0.0,,-6.59,1.38
20050104:1730,0.0,,-6.93,1.52
20050104:1830,0.0,,-7.03,1.45
20050104:1930,0.0,,-6.89,1.66
20050104:2030,0.0,,-7.28,1.59
20050104:2130,0.0,,-7.61,1.52
20050104:2230,0.0,,-7.91,1.38
20050104:2330,3.03,,-8.16,1.38
20050105:0030,185.62,,-7.68,1.31
20050105:0130,293.5,,-5.12,1.45
20050105:0230,294.77,,-2.9,2.21
20050105:0330,350.69,,-1.57,2.9
20050105:0430,163.06,,-0.33,3.45
20050105:0530,130.49,,-0.37,3.31
20050105:0630,161.13,,-0.47,3.24
20050105:0730,93.42,,-0.41,3.1
20050105:0830,9.78,,-0.71,2.76
20050105:0930,0.0,,-1.53,2.48
20050105:1030,0.0,,-2.08,2.21
20050105:1130,0.0,,-2.37,2.07
20050105:1230,0.0,,-2.75,1.93
20050105:1330,0.0,,-2.82,2.07
20050105:1430,0.0,,-3.4,2.07
20050105:1530,0.0,,-4.21,2.0
20050105:1630,0.0,,-4.83,2.0
20050105:1730,0.0,,-5.09,2.0
20050105:1830,0.0,,-5.13,2.0
20050105:1930,0.0,,-5.56,1.72
20050105:2030,0.0,,-5.73,1.59
20050105:2130,0.0,,-5.8,1.45
20050105:2230,0.0,,-5.46,1.31
20050105:2330,1.97,,-5.51,1.31
20050106:0030,208.27,,-5.46,1.31
20050106:0130,413.23,,-2.35,1.24
20050106:0230,584.35,,-0.51,2.0
20050106:0330,688.11,,0.96,2.48
20050106:0430,608.81,,2.31,2.69
20050106:0530,550.33,,3.03,2.21
20050106:0630,530.8,,3.53,1.93
20050106:0730,356.86,,3.93,2.07
20050106:0830,138.66,,3.3,2.0
20050106:0930,0.0,,1.28,2.41
20050106:1030,0.0,,-0.88,2.62
20050106:1130,0.0,,-2.14,2.62
20050106:1230,0.0,,-2.87,2.76
20050106:1330,0.0,,-3.17,3.1
20050106:1430,0.0,,-3.42,3.17
20050106:1530,0.0,,-3.69,2.97
20050106:1630,0.0,,-3.94,2.69
20050106:1730,0.0,,-3.85,2.76
20050106:1830,0.0,,-3.64,2.97
20050106:1930,0.0,,-4.3,2.76
20050106:2030,0.0,,-4.82,2.69
20050106:2130,0.0,,-5.63,2.48
20050106:2230,0.0,,-6.44,2.21
20050106:2330,2.84,,-7.02,2.14
20050107:0030,174.76,,-7.07,1.66
20050107:0130,461.78,,-4.75,1.52
20050107:0230,661.7,,-2.84,2.34
20050107:0330,751.93,,-1.32,2.69
20050107:0430,767.48,,-0.16,2.97
20050107:0530,723.71,,0.54,3.1
20050107:0630,556.91,,0.85,3.03
20050107:0730,367.75,,0.56,2.83
20050107:0830,134.26,,-0.1,2.28
20050107:0930,0.0,,-1.68,2.0
20050107:1030,0.0,,-3.22,1.86
20050107:1130,0.0,,-4.77,1.45
20050107:1230,0.0,,-4.59,1.03
