time,P,G_i,T2m,WS10m
20050101:0030,294.22,,-9.65,1.52
20050101:0130,531.33,,-8.82,1.79
20050101:0230,697.43,,-8.89,2.14
20050101:0330,771.86,,-3.06,2.76
20050101:0430,783.99,,-1.02,2.97
20050101:0530,730.13,,-0.11,3.1
20050101:0630,612.92,,0.38,3.17
20050101:0730,325.44,,0.16,3.24
20050101:0830,59.86,,-0.57,2.48
20050101:0930,0.0,,-2.25,2.34
20050101:1030,0.0,,-3.83,2.34
20050101:1130,0.0,,-5.09,2.34
20050101:1230,0.0,,-6.18,2.41
20050101:1330,0.0,,-7.04,2.55
20050101:1430,0.0,,-7.65,2.62
20050101:1530,0.0,,-7.96,2.69
20050101:1630,0.0,,-8.14,2.76
20050101:1730,0.0,,-8.62,2.83
20050101:1830,0.0,,-9.31,2.9
20050101:1930,0.0,,-9.69,2.97
20050101:2030,0.0,,-9.59,3.1
20050101:2130,0.0,,-9.16,3.31
20050101:2230,0.0,,-8.67,3.31
20050101:2330,3.2,,-8.19,3.31
20050102:0030,279.69,,-7.29,3.45
20050102:0130,511.77,,-4.79,3.66
20050102:0230,670.01,,-2.06,4.21
20050102:0330,754.72,,0.0,4.55
20050102:0430,768.14,,1.52,4.69
20050102:0530,710.98,,2.62,4.62
20050102:0630,580.74,,3.24,4.48
20050102:0730,388.63,,3.32,4.21
20050102:0830,151.44,,2.9,3.66
20050102:0930,0.0,,1.34,3.31
20050102:1030,0.0,,-0.52,3.17
20050102:1130,0.0,,-1.41,3.24
20050102:1230,0.0,,-1.65,3.45
20050102:1330,0.0,,-1.8,3.38
20050102:1430,0.0,,-2.01,3.24
20050102:1530,0.0,,-2.49,3.03
20050102:1630,0.0,,-2.92,2.9
20050102:1730,0.0,,-2.85,2.83
20050102:1830,0.0,,-2.95,3.1
20050102:1930,0.0,,-3.33,2.62
20050102:2030,0.0,,-4.15,2.41
20050102:2130,0.0,,-4.65,2.34
20050102:2230,0.0,,-5.34,2.34
20050102:2330,3.07,,-6.15,2.14
20050103:0030,248.43,,-4.27,1.72
20050103:0130,430.13,,-1.27,1.45
20050103:0230,519.2,,-0.39,2.0
20050103:0330,522.79,,2.92,2.48
20050103:0430,465.14,,4.35,2.76
20050103:0530,450.38,,4.86,3.45
20050103:0630,436.71,,5.27,4.0
20050103:0730,297.48,,5.58,3.17
20050103:0830,114.3,,5.23,2.62
20050103:0930,0.0,,3.26,2.62
20050103:1030,0.0,,1.23,2.76
20050103:1130,0.0,,0.22,2.97
20050103:1230,0.0,,-0.4,3.1
20050103:1330,0.0,,-0.97,2.97
20050103:1430,0.0,,-1.62,2.76
20050103:1530,0.0,,-2.14,2.69
20050103:1630,0.0,,-2.42,2.76
20050103:1730,0.0,,-2.54,2.83
20050103:1830,0.0,,-2.86,2.62
20050103:1930,0.0,,-3.07,2.62
20050103:2030,0.0,,-3.5,2.48
20050103:2130,0.0,,-3.92,2.41
20050103:2230,0.0,,-4.29,2.28
20050103:2330,2.85,,-4.65,2.21
20050104:0030,274.99,,-4.54,1.86
20050104:0130,499.75,,-1.94,1.93
20050104:0230,655.93,,0.0,2.48
20050104:0330,736.5,,1.29,2.28
20050104:0430,748.53,,2.33,2.0
20050104:0530,702.16,,3.1,2.21
20050104:0630,521.56,,3.49,2.76
20050104:0730,323.15,,2.96,2.62
20050104:0830,110.25,,2.35,2.21
20050104:0930,0.0,,0.91,2.07
20050104:1030,0.0,,-0.55,2.07
20050104:1130,0.0,,-1.51,2.07
20050104:1230,0.0,,-1.77,2.0
20050104:1330,0.0,,-2.0,2.14
20050104:1430,0.0,,-2.29,2.28
20050104:1530,0.0,,-2.51,2.34
20050104:1630,0.0,,-2.67,2.28
20050104:1730,0.0,,-2.99,2.14
20050104:1830,0.0,,-2.94,2.0
20050104:1930,0.0,,-2.98,2.21
20050104:2030,0.0,,-3.35,2.21
20050104:2130,0.0,,-3.38,2.14
20050104:2230,0.0,,-3.44,2.14
20050104:2330,3.4,,-3.39,2.14
20050105:0030,124.29,,-2.93,1.93
20050105:0130,340.16,,-1.43,2.28
20050105:0230,407.79,,0.48,2.62
20050105:0330,471.11,,2.09,2.9
20050105:0430,473.19,,3.2,3.03
20050105:0530,342.49,,4.02,3.17
20050105:0630,168.39,,4.12,2.83
20050105:0730,172.33,,2.95,2.28
20050105:0830,26.87,,2.79,1.52
20050105:0930,0.0,,1.68,1.93
20050105:1030,0.0,,0.82,1.72
20050105:1130,0.0,,-0.08,1.93
20050105:1230,0.0,,-1.02,2.0
20050105:1330,0.0,,-1.85,1.72
20050105:1430,0.0,,-2.62,1.86
20050105:1530,0.0,,-3.15,1.86
20050105:1630,0.0,,-3.54,1.79
20050105:1730,0.0,,-3.61,1.72
20050105:1830,0.0,,-3.63,1.72
20050105:1930,0.0,,-4.19,1.72
20050105:2030,0.0,,-4.41,1.72
20050105:2130,0.0,,-4.61,1.72
20050105:2230,0.0,,-4.82,1.66
20050105:2330,2.83,,-4.96,1.66
20050106:0030,258.83,,-4.55,1.45
20050106:0130,477.71,,-0.89,1.52
20050106:0230,628.59,,1.78,1.86
20050106:0330,708.79,,3.82,2.07
20050106:0430,715.07,,5.25,1.66
20050106:0530,607.68,,6.22,1.31
20050106:0630,302.76,,6.85,1.03
20050106:0730,164.82,,6.63,1.31
20050106:0830,97.3,,6.26,1.03
20050106:0930,0.0,,5.1,1.72
20050106:1030,0.0,,2.8,2.34
20050106:1130,0.0,,1.36,2.41
20050106:1230,0.0,,0.53,2.41
20050106:1330,0.0,,-0.15,2.48
20050106:1430,0.0,,-0.6,2.48
20050106:1530,0.0,,-0.49,2.55
20050106:1630,0.0,,-0.69,2.83
20050106:1730,0.0,,-0.43,2.97
20050106:1830,0.0,,-0.15,3.1
20050106:1930,0.0,,-0.79,3.17
20050106:2030,0.0,,-1.1,2.9
20050106:2130,0.0,,-1.49,2.62
20050106:2230,0.0,,-1.86,2.48
20050106:2330,3.0,,-2.86,2.34
20050107:0030,207.88,,-3.01,2.07
20050107:0130,437.42,,-0.98,2.07
20050107:0230,504.1,,0.96,2.55
20050107:0330,644.54,,2.12,2.55
20050107:0430,716.28,,3.15,2.55
20050107:0530,624.95,,3.98,2.48
20050107:0630,544.58,,4.25,2.62
20050107:0730,395.83,,4.03,3.03
20050107:0830,151.72,,3.5,2.69
20050107:0930,0.0,,1.96,2.21
20050107:1030,0.0,,-0.17,2.41
20050107:1130,0.0,,-1.25,2.34
20050107:1230,0.0,,-1.63,2.21
20050107:1330,0.0,,-1.56,2.0
20050107:1430,0.0,,-1.85,1.86
20050107:1530,0.0,,-2.09,1.66
20050107:1630,0.0,,-2.15,1.52
20050107:1730,0.0,,-2.43,1.52
20050107:1830,0.0,,-2.59,1.45
20050107:1930,0.0,,-2.79,1.38
20050107:2030,0.0,,-3.18,1.45
20050107:2130,0.0,,-3.76,1.45
20050107:2230,0.0,,-4.14,1.45
20050107:2330,3.02,,-4.97,1.52
20050108:0030,267.69,,-4.82,1.31
20050108:0130,474.15,,-1.3,1.03
20050108:0230,629.74,,1.11,0.97
20050108:0330,705.08,,2.73,0.55
20050108:0430,700.69,,3.54,0.21
20050108:0530,666.07,,4.13,0.83
20050108:0630,461.3,,4.49,1.31
20050108:0730,257.52,,3.9,1.72
20050108:0830,101.26,,3.46,1.93
20050108:0930,0.0,,2.3,1.86
20050108:1030,0.0,,0.67,2.14
20050108:1130,0.0,,-0.79,2.21
20050108:1230,0.0,,-1.88,2.21
20050108:1330,0.0,,-2.56,2.21
20050108:1430,0.0,,-3.13,2.21
20050108:1530,0.0,,-3.46,2.28
20050108:1630,0.0,,-3.45,2.41
20050108:1730,0.0,,-3.45,2.83
20050108:1830,0.0,,-3.79,3.03
20050108:1930,0.0,,-4.3,2.9
20050108:2030,0.0,,-4.68,2.83
20050108:2130,0.0,,-4.97,2.62
20050108:2230,0.0,,-5.23,2.55
20050108:2330,2.81,,-5.47,2.34
20050109:0030,281.1,,-5.25,2.07
20050109:0130,512.66,,-3.34,2.55
20050109:0230,670.85,,-1.56,2.69
20050109:0330,753.09,,-0.12,2.48
20050109:0430,765.39,,0.9,1.93
20050109:0530,712.85,,1.61,1.45
20050109:0630,591.25,,1.92,1.17
20050109:0730,412.7,,1.86,1.17
20050109:0830,179.33,,1.53,1.31
20050109:0930,0.0,,0.55,1.59
20050109:1030,0.0,,-1.22,2.14
20050109:1130,0.0,,-2.55,2.07
20050109:1230,0.0,,-3.37,2.07
20050109:1330,0.0,,-3.92,2.07
20050109:1430,0.0,,-4.3,2.07
20050109:1530,0.0,,-4.63,2.0
20050109:1630,0.0,,-4.91,2.0
20050109:1730,0.0,,-5.12,1.93
20050109:1830,0.0,,-5.26,1.93
20050109:1930,0.0,,-5.27,1.86
20050109:2030,0.0,,-5.4,1.86
20050109:2130,0.0,,-5.48,1.86
20050109:2230,0.0,,-5.54,1.86
20050109:2330,2.76,,-5.57,1.86
20050110:0030,269.84,,-5.14,1.59
20050110:0130,494.02,,-2.0,1.79
20050110:0230,647.06,,0.63,2.0
20050110:0330,731.13,,2.68,2.28
20050110:0430,746.15,,3.96,2.07
20050110:0530,698.11,,4.77,1.86
20050110:0630,587.05,,5.15,1.79
20050110:0730,410.26,,5.14,1.59
20050110:0830,178.85,,4.9,1.31
20050110:0930,0.0,,3.86,0.83
20050110:1030,0.0,,3.06,0.48
20050110:1130,0.0,,2.1,0.55
20050110:1230,0.0,,1.13,0.97
20050110:1330,0.0,,-1.71,1.45
20050110:1430,0.0,,-3.15,1.72
20050110:1530,0.0,,-3.75,1.79
20050110:1630,0.0,,-3.81,1.66
20050110:1730,0.0,,-3.75,1.59
20050110:1830,0.0,,-4.15,1.66
20050110:1930,0.0,,-4.59,1.79
20050110:2030,0.0,,-4.66,1.59
20050110:2130,0.0,,-4.73,1.52
20050110:2230,0.0,,-4.93,1.66
20050110:2330,4.01,,-4.89,1.72
20050111:0030,214.31,,-4.3,1.66
20050111:0130,444.12,,-0.67,1.79
20050111:0230,622.04,,1.54,2.14
20050111:0330,692.29,,3.27,2.14
20050111:0430,711.41,,4.29,1.79
20050111:0530,661.4,,4.91,1.45
20050111:0630,586.77,,5.13,1.45
20050111:0730,417.41,,4.88,1.66
20050111:0830,185.42,,4.51,1.72
20050111:0930,0.0,,3.35,1.72
20050111:1030,0.0,,1.28,2.07
20050111:1130,0.0,,-0.72,2.07
20050111:1230,0.0,,-2.11,1.93
20050111:1330,0.0,,-3.15,1.93
20050111:1430,0.0,,-3.82,1.79
