K,algo,seed,term_gen
10,classic,1,800
10,classic,2,800
10,classic,3,800
10,nsga3,1,800
10,nsga3,2,800
10,nsga3,3,800
10,fg,1,400
10,fg,2,400
10,fg,3,400
10,repair_only,1,400
10,repair_only,2,400
10,repair_only,3,400
10,warmstart_only,1,400
10,warmstart_only,2,400
10,warmstart_only,3,400
20,classic,1,800
20,classic,2,800
20,classic,3,800
20,nsga3,1,800
20,nsga3,2,800
20,nsga3,3,800
20,fg,1,400
20,fg,2,400
20,fg,3,400
20,repair_only,1,400
20,repair_only,2,400
20,repair_only,3,400
20,warmstart_only,1,400
20,warmstart_only,2,400
20,warmstart_only,3,400
30,classic,1,800
30,classic,2,800
30,classic,3,800
30,nsga3,1,800
30,nsga3,2,800
30,nsga3,3,800
30,fg,1,400
30,fg,2,400
30,fg,3,400
30,repair_only,1,400
30,repair_only,2,400
30,repair_only,3,400
30,warmstart_only,1,400
30,warmstart_only,2,400
30,warmstart_only,3,400
40,classic,1,800
40,classic,2,800
40,classic,3,800
40,nsga3,1,800
40,nsga3,2,800
40,nsga3,3,800
40,fg,1,400
40,fg,2,400
40,fg,3,400
40,repair_only,1,400
40,repair_only,2,400
40,repair_only,3,400
40,warmstart_only,1,400
40,warmstart_only,2,400
40,warmstart_only,3,400
