point,f1_wan,f2_eens_mwh,is_knee
0,18790.3,269.1,False
1,18792.3,268.7,False
2,18794.3,266.4,False
3,18795.8,260.0,False
4,18797.3,257.7,False
5,18798.0,256.3,False
6,18799.7,250.2,False
7,18802.4,247.0,False
8,18803.1,245.7,False
9,18803.4,241.7,False
10,18805.3,240.6,False
11,18807.2,234.3,False
12,18809.8,231.9,False
13,18810.3,228.0,False
14,18810.8,225.6,False
15,18813.5,221.4,False
16,18816.0,219.1,False
17,18817.0,213.7,False
18,18819.0,208.0,False
19,18821.6,203.5,False
20,18824.6,201.4,False
21,18826.2,200.3,False
22,18827.8,197.0,False
23,18829.8,193.7,False
24,18831.9,189.7,False
25,18833.8,189.7,False
26,18834.1,185.8,False
27,18835.4,184.5,False
28,18837.5,180.5,False
29,18839.2,180.2,False
30,18840.7,175.9,False
31,18842.9,172.7,False
32,18844.2,168.5,False
33,18848.1,166.2,False
34,18849.6,163.1,False
35,18851.8,160.0,False
36,18854.3,157.0,False
37,18856.5,153.8,False
38,18857.9,148.9,False
39,18859.5,147.9,False
40,18861.7,144.3,False
41,18862.5,142.5,False
42,18864.7,140.1,False
43,18866.7,138.0,False
44,18867.6,135.8,False
45,18869.9,130.9,False
46,18872.9,128.9,False
47,18875.2,128.0,False
48,18876.8,124.7,False
49,18879.1,119.4,False
50,18881.6,114.1,True
51,18885.5,113.0,False
52,18886.0,109.8,False
53,18888.2,107.2,False
54,18890.9,106.8,False
55,18891.8,103.5,False
56,18892.4,102.9,False
57,18894.7,100.8,False
58,18896.0,94.8,False
59,18900.4,90.5,False
60,18901.7,89.2,False
61,18903.1,87.0,False
62,18904.8,85.4,False
63,18906.8,82.2,False
64,18908.6,79.5,False
65,18911.2,77.6,False
66,18912.8,76.2,False
67,18914.6,73.9,False
68,18917.0,71.9,False
69,18919.5,70.7,False
70,18921.2,68.9,False
71,18922.2,65.7,False
72,18923.3,64.0,False
73,18927.3,62.7,False
74,18928.5,59.4,False
75,18931.3,54.0,False
76,18931.8,53.4,False
77,18933.7,50.7,False
78,18937.0,49.8,False
79,18937.6,45.8,False
80,18940.3,43.6,False
81,18941.6,42.6,False
82,18943.4,39.5,False
83,18946.4,38.0,False
84,18947.1,35.5,False
85,18948.9,33.6,False
86,18950.8,30.9,False
87,18952.2,27.3,False
88,18955.6,26.1,False
89,18959.1,20.1,False
90,18962.0,19.8,False
91,18966.1,18.8,False
92,18966.9,13.5,False
93,18969.9,11.7,False
94,18973.7,8.4,False
95,18974.0,8.0,False
96,18977.8,5.9,False
97,18980.9,4.0,False
98,18981.3,1.3,False
99,18985.5,0.0,False
