station,slr,cd,peak_kw,R_star,P_BESS_MW,route
0,2.411,0.262,2366,1.83,0.75,配储为主
1,2.94,0.648,4257,1.53,4.48,配储为主
2,2.688,0.426,5355,1.55,4.32,配储为主
3,0.508,0.614,2341,1.2,0.01,低容载比+强联络
4,2.689,0.205,5115,1.96,2.69,配储为主
5,1.399,0.354,2324,1.35,0.01,低容载比+强联络
6,0.873,0.502,4393,1.41,0.0,低容载比+强联络
7,1.651,0.698,5508,1.22,0.9,配储为主
8,2.557,0.49,4531,1.46,3.47,配储为主
9,0.905,0.533,3986,1.35,0.0,低容载比+强联络
10,1.431,0.392,5203,1.62,0.01,低容载比+强联络
11,1.573,0.443,3305,1.39,0.01,低容载比+强联络
12,2.283,0.303,3538,1.8,0.82,配储为主
13,1.181,0.474,2510,1.41,0.0,低容载比+强联络
14,2.998,0.572,3029,1.26,4.03,配储为主
15,0.676,0.302,2731,1.43,0.0,低容载比+强联络
16,1.851,0.578,3000,1.27,0.87,配储为主
17,1.714,0.219,2532,1.9,0.0,低容载比+强联络
18,2.241,0.279,4476,1.81,0.79,配储为主
19,3.326,0.319,2582,1.72,3.18,配储为主
