station,slr,cd,peak_kw,R_star,P_BESS_MW,route,feasible
0,2.411,0.262,2366,1.84,0.73,storage,True
1,2.94,0.648,4257,1.22,5.59,storage,True
2,2.688,0.426,5355,1.57,4.22,storage,True
3,0.508,0.614,2341,1.2,0.0,tie-line,True
4,2.689,0.205,5115,1.96,3.26,storage,True
5,1.399,0.354,2324,1.28,0.01,tie-line,True
6,0.873,0.502,4393,1.43,0.0,tie-line,True
7,1.651,0.698,5508,1.37,0.44,storage,True
8,2.557,0.49,4531,1.45,3.48,storage,True
9,0.905,0.533,3986,1.38,0.0,tie-line,True
10,1.431,0.392,5203,1.64,0.03,tie-line,True
11,1.573,0.443,3305,1.51,0.01,tie-line,True
12,2.283,0.303,3538,1.79,0.82,storage,True
13,1.181,0.474,2510,1.46,0.01,tie-line,True
14,2.998,0.572,3029,1.25,4.06,storage,True
15,0.676,0.302,2731,1.34,0.0,tie-line,True
16,1.851,0.578,3000,1.26,0.88,storage,True
17,1.714,0.219,2532,1.89,0.0,tie-line,True
18,2.241,0.279,4476,1.83,0.79,storage,True
19,3.326,0.319,2582,1.73,3.15,storage,True
