station,slr,cd,peak_kw,R_star,P_BESS_MW,route,feasible
0,2.863,0.231,2366,2.39,0.58,capacity-expansion,True
1,3.325,0.135,4257,2.21,3.48,capacity-expansion,True
2,3.119,0.178,5355,2.37,2.65,capacity-expansion,True
3,2.183,0.372,2341,1.67,0.58,storage,True
4,2.31,0.346,5115,2.08,0.05,capacity-expansion,True
5,3.285,0.143,2324,2.64,0.97,capacity-expansion,True
6,1.809,0.45,4393,1.55,0.03,tie-line,True
7,3.196,0.162,5508,2.22,3.82,capacity-expansion,True
8,3.155,0.17,4531,2.47,2.0,capacity-expansion,True
9,2.595,0.287,3986,2.37,0.09,capacity-expansion,True
10,2.315,0.345,5203,1.91,0.85,storage,True
11,2.273,0.354,3305,1.86,0.54,storage,True
12,2.233,0.362,3538,1.96,0.16,storage,True
13,2.557,0.294,2510,2.29,0.14,capacity-expansion,True
14,2.658,0.273,3029,2.01,1.17,capacity-expansion,True
15,2.741,0.256,2731,2.21,0.78,capacity-expansion,True
16,3.492,0.1,3000,2.22,2.86,capacity-expansion,True
17,3.148,0.172,2532,2.13,1.84,capacity-expansion,True
18,2.858,0.232,4476,2.29,1.47,capacity-expansion,True
19,3.481,0.102,2582,2.15,2.59,capacity-expansion,True
