station,slr,cd,peak_kw,R_star,P_BESS_MW,route,feasible
0,2.411,0.262,2366,1.56,1.3,storage,True
1,2.94,0.648,4257,1.29,5.43,storage,True
2,2.688,0.426,5355,1.58,4.27,storage,True
3,0.508,0.614,2341,1.22,0.01,tie-line,True
4,2.689,0.205,5115,2.37,3.41,capacity-expansion,True
5,1.399,0.354,2324,1.28,0.04,tie-line,True
6,0.873,0.502,4393,1.48,0.0,tie-line,True
7,1.651,0.698,5508,1.39,0.37,storage,True
8,2.557,0.49,4531,1.52,3.56,storage,True
9,0.905,0.533,3986,1.4,0.01,tie-line,True
10,1.431,0.392,5203,1.63,0.07,storage,True
11,1.573,0.443,3305,1.37,0.0,tie-line,True
12,2.283,0.303,3538,1.78,0.86,storage,True
13,1.181,0.474,2510,1.22,0.01,tie-line,True
14,2.998,0.572,3029,1.25,4.05,storage,True
15,0.676,0.302,2731,1.28,0.0,tie-line,True
16,1.851,0.578,3000,1.29,0.85,storage,True
17,1.714,0.219,2532,1.41,0.11,storage,True
18,2.241,0.279,4476,1.92,0.78,storage,True
19,3.326,0.319,2582,1.5,3.65,storage,False
