station,slr,cd,peak_kw,R_star,P_BESS_MW,route,feasible
0,2.411,0.2,2366,1.53,1.38,storage,True
1,2.94,0.2,4257,2.0,4.26,capacity-expansion,True
2,2.688,0.2,5355,1.98,4.22,storage,True
3,0.508,0.2,2341,1.58,0.0,tie-line,True
4,2.689,0.2,5115,2.01,3.25,capacity-expansion,True
5,1.399,0.2,2324,1.53,0.0,tie-line,True
6,0.873,0.2,4393,1.9,0.04,tie-line,True
7,1.651,0.2,5508,1.94,0.43,storage,True
8,2.557,0.2,4531,1.84,2.74,storage,True
9,0.905,0.2,3986,1.91,0.0,tie-line,True
10,1.431,0.2,5203,1.97,0.0,tie-line,True
11,1.573,0.2,3305,1.92,0.03,tie-line,True
12,2.283,0.2,3538,1.94,0.39,storage,True
13,1.181,0.2,2510,1.52,0.03,tie-line,True
14,2.998,0.2,3029,1.94,2.38,storage,True
15,0.676,0.2,2731,1.52,0.0,tie-line,True
16,1.851,0.2,3000,1.3,0.89,storage,True
17,1.714,0.2,2532,1.2,0.56,storage,True
18,2.241,0.2,4476,1.92,1.87,storage,True
19,3.326,0.2,2582,1.56,4.23,storage,True
