station,slr,cd,peak_kw,R_star,P_BESS_MW,route,feasible
0,2.863,0.15,2366,2.38,0.61,capacity-expansion,True
1,3.325,0.15,4257,2.13,3.76,capacity-expansion,True
2,3.119,0.15,5355,2.4,2.5,capacity-expansion,True
3,2.183,0.15,2341,1.38,1.19,storage,True
4,2.31,0.15,5115,2.0,0.53,capacity-expansion,True
5,3.285,0.15,2324,2.55,1.14,capacity-expansion,True
6,1.809,0.15,4393,1.55,0.06,storage,True
7,3.196,0.15,5508,2.37,3.12,capacity-expansion,True
8,3.155,0.15,4531,2.05,3.63,capacity-expansion,True
9,2.595,0.15,3986,2.37,0.07,capacity-expansion,True
10,2.315,0.15,5203,2.07,0.13,capacity-expansion,True
11,2.273,0.15,3305,2.02,0.1,capacity-expansion,True
12,2.233,0.15,3538,2.02,0.12,capacity-expansion,True
13,2.557,0.15,2510,2.06,0.7,capacity-expansion,True
14,2.658,0.15,3029,2.14,0.83,capacity-expansion,True
15,2.741,0.15,2731,2.12,1.01,capacity-expansion,True
16,3.492,0.15,3000,2.42,2.35,capacity-expansion,True
17,3.148,0.15,2532,2.14,1.96,capacity-expansion,True
18,2.858,0.15,4476,2.08,2.27,capacity-expansion,True
19,3.481,0.15,2582,2.59,1.63,capacity-expansion,True
