f1_unc,f2_unc,f1_con,f2_con
18786.496256,295.3236,18987.15654,0.0
18993.368658000003,0.0,18811.257873,239.8978
18787.304173,274.3252,18843.149583000006,188.75140000000002
18799.230227000004,253.05280000000005,18931.905575999997,55.33749999999999
18799.988216,236.27079999999998,18843.790821000002,180.36370000000002
18815.842790999995,206.17290000000003,18927.457569,57.952299999999994
18834.868914,180.9328,18869.718133000002,140.9364
18813.850389,214.874,18868.492495000002,145.97239999999996
18867.384524999998,131.2196,18934.542696,50.772099999999995
18916.480324,68.11930000000001,18921.413075,66.69650000000001
18802.809951000003,233.1804,18955.342505000004,29.187600000000003
18894.655777000004,95.92590000000001,18916.579285999993,74.6906
18899.526205000002,93.8262,18817.243663,226.2982
18968.486820000006,6.5615,18892.864370999996,107.7647
18913.732378,74.0482,18950.095733000002,30.875300000000003
18825.685161999994,193.35509999999996,18845.391811,175.6734
18926.208287000005,55.15100000000001,18815.953305999996,229.08339999999998
18830.65351,184.78599999999997,18964.907718,12.7484
18791.484593,264.50569999999993,18815.507738000004,236.04609999999997
18822.789192,197.3284,18838.867187000003,191.9147
18930.160077,51.5935,18911.574423999995,82.1439
18872.131594000002,127.8558,18901.395457,94.27849999999998
18855.074249999998,150.4751,18902.858351000003,91.2157
18804.693003,225.11399999999998,18818.196979999993,219.5847
18908.966134000002,78.3171,18905.890860000007,89.37409999999998
18836.858125,176.7817,18890.391617,111.70970000000001
18794.966095,261.4187,18957.291342,21.8224
18821.227349999994,201.4818,18874.604206,131.97820000000002
18965.383389,9.2146,18959.359163,19.429299999999998
18947.191525,32.1104,18935.98879,47.125400000000006
18790.639017,269.8731,18924.256555,62.44199999999999
18957.745706,18.2655,18864.597223,147.778
18865.508532999997,134.5069,18872.058689999998,136.99500000000003
18839.212083,173.7912,18882.84776,125.4862
18845.798089999997,162.2735,18885.485818,116.2267
18960.382976999997,16.6311,18967.983682,10.7054
18857.347615,147.5949,18859.430564000002,158.8423
18982.720391000006,1.1436,18824.719797,213.1167
18891.605912,97.90129999999999,18955.481238000004,25.1296
18818.867592000002,204.8667,18909.083925,85.4853
18918.850514,65.37399999999998,18864.488787000002,150.823
18796.875647,259.05469999999997,18913.546472999995,77.56909999999999
18885.002972,106.8725,18814.809046,239.1467
18944.766875,35.4693,18918.840683000006,72.1157
18843.047783,165.21560000000002,18847.924443,173.777
18811.999184999997,216.80610000000004,18828.000164,208.7435
18924.903259000002,58.88890000000001,18947.106052,35.5364
18862.793885000003,137.54670000000002,18829.165546,205.1763
18949.587766,29.2329,18880.423988,128.0884
18884.066536000002,111.00160000000001,18894.199686,104.444
18911.710092,76.33770000000001,18963.305986,16.1095
18972.128582999998,3.7,18919.543579999998,69.1399
18887.179300000003,103.71910000000001,18900.303507999997,98.7719
18874.446923000003,122.85130000000001,18925.501987000003,61.9553
18827.917703,189.72119999999998,18825.843833000003,210.1379
18806.062896,224.0865,18942.308351999996,41.7672
18939.026930000004,45.4626,18949.351646,33.2543
18881.935387999998,113.6633,18961.403159999998,16.901999999999997
18907.367105,83.5579,18944.081852000003,38.5182
18988.848825000005,0.0325,18884.138751,119.6972
18858.817006,143.1517,18873.839337999998,136.29739999999998
18978.353590000002,1.1756999999999997,18833.243797000006,198.37240000000003
18847.854326,159.2269,18877.193427,129.9835
18901.966062,91.0482,18861.149423000003,152.9568
18986.375921999996,0.1145,18819.858865000002,218.83990000000003
18932.719830999995,50.005399999999995,18854.645348,163.653
18852.483975,154.40919999999997,18973.41457100001,4.5489
18849.247720000003,157.1687,18907.438900999998,86.4621
18798.437069,254.47739999999996,18860.634467999997,153.9844
18841.178388999997,170.08360000000002,18832.193857000002,201.4823
18950.816906,26.051,18984.167194,0.1232
18921.022047999995,62.5886,18849.044697999998,171.10940000000002
18922.198292999998,60.895399999999995,18837.756126,192.61430000000001
18788.601371999997,273.4206,18835.099542,194.80990000000003
18936.441533999998,46.6994,18939.006267999997,46.53540000000001
18955.540091000003,22.619699999999998,18831.365801,203.9705
18829.160363,187.53510000000003,18856.518153,161.753
18952.682155000006,24.378400000000006,18895.507565,102.38560000000001
18808.725296999997,220.3347,18976.608173999997,3.1105
18904.196121000004,86.8396,18850.701846999993,169.51729999999998
18934.968322000004,48.7627,18980.023542,1.205
18962.854601000006,12.709800000000001,18883.517313,122.0724
18976.503253,2.3017,18887.404876999997,114.0199
18876.186451999998,118.98209999999999,18969.218705999996,8.5295
18872.757739000004,125.0174,18913.525564999996,80.3551
18809.136178,219.69550000000004,18971.360203000004,7.9526
18906.100635,84.4527,18897.475613,101.2467
18861.593127999997,140.3549,18945.770036,37.8531
18973.487029000004,2.7234000000000003,18823.218187999995,216.583
18881.006701999995,116.94930000000001,18857.923980999996,160.3547
18841.277282,167.37920000000003,18822.592248999994,217.28209999999999
18890.298502,102.2186,18981.751412000005,0.7335
18902.871453999996,88.577,18977.605877000005,2.6596999999999995
18851.445503000003,154.88619999999997,18888.919527999995,113.38459999999998
18943.131457,37.924,18898.456022,99.15990000000001
18801.367039,236.1281,18878.848530000003,129.31390000000002
18963.257598999997,12.2297,18972.050135999998,5.1414
18940.582374,42.0781,18939.266059999998,43.6457
18879.191879999995,117.36290000000001,18834.727638999997,196.47
18860.940466,142.6414,18941.005497,43.114599999999996
