station,slr,cd,peak_kw,R_star,P_BESS_MW,feasible
0,2.863,0.231,2366,1.4,2.58,True
1,3.325,0.135,4257,1.92,4.56,True
2,3.119,0.178,5355,1.89,5.16,True
3,2.183,0.372,2341,1.37,1.18,True
4,2.31,0.346,5115,1.67,1.83,True
5,3.285,0.143,2324,1.53,3.27,True
6,1.809,0.45,4393,1.47,0.33,True
7,3.196,0.162,5508,1.85,5.54,True
8,3.155,0.17,4531,1.97,3.99,True
9,2.595,0.287,3986,1.72,2.34,True
10,2.315,0.345,5203,1.65,1.98,True
11,2.273,0.354,3305,1.51,1.68,True
12,2.233,0.362,3538,1.63,1.26,True
13,2.557,0.294,2510,1.69,1.51,True
14,2.658,0.273,3029,1.5,2.6,True
15,2.741,0.256,2731,1.45,2.55,True
16,3.492,0.1,3000,1.87,3.8,True
17,3.148,0.172,2532,1.88,2.64,True
18,2.858,0.232,4476,1.88,3.03,True
19,3.481,0.102,2582,1.52,4.03,True
