action_id,year,region_id,voltage_kv,station_id,transformer_uids,action_type,capacity_delta_mva,action_status,capex_wanyuan_2025,eac_wanyuan_per_year,cost_closure_status,action_basis,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
ACT-UNRESOLVED-2022-QX-00001-35,2022,QX-00001,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2022-QX-00001-110,2022,QX-00001,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2022-QX-00003-35,2022,QX-00003,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2022-QX-00003-110,2022,QX-00003,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2022-QX-00004-35,2022,QX-00004,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2022-QX-00004-110,2022,QX-00004,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2022-QX-00005-35,2022,QX-00005,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2022-QX-00005-110,2022,QX-00005,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2022-QX-00007-35,2022,QX-00007,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2022-QX-00007-110,2022,QX-00007,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2022-QX-00008-35,2022,QX-00008,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2022-QX-00008-110,2022,QX-00008,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2022-QX-00009-35,2022,QX-00009,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2022-QX-00009-110,2022,QX-00009,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2022-QX-00010-35,2022,QX-00010,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2022-QX-00010-110,2022,QX-00010,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2023-QX-00001-35,2023,QX-00001,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2023-QX-00001-110,2023,QX-00001,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2023-QX-00003-35,2023,QX-00003,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2023-QX-00003-110,2023,QX-00003,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2023-QX-00004-35,2023,QX-00004,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2023-QX-00004-110,2023,QX-00004,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2023-QX-00005-35,2023,QX-00005,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2023-QX-00005-110,2023,QX-00005,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2023-QX-00007-35,2023,QX-00007,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2023-QX-00007-110,2023,QX-00007,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2023-QX-00008-35,2023,QX-00008,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2023-QX-00008-110,2023,QX-00008,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2023-QX-00009-35,2023,QX-00009,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2023-QX-00009-110,2023,QX-00009,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2023-QX-00010-35,2023,QX-00010,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2023-QX-00010-110,2023,QX-00010,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2024-QX-00001-35,2024,QX-00001,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2024-QX-00001-110,2024,QX-00001,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2024-QX-00003-35,2024,QX-00003,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2024-QX-00003-110,2024,QX-00003,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2024-QX-00004-35,2024,QX-00004,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2024-QX-00004-110,2024,QX-00004,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2024-QX-00005-35,2024,QX-00005,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2024-QX-00005-110,2024,QX-00005,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2024-QX-00007-35,2024,QX-00007,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2024-QX-00007-110,2024,QX-00007,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2024-QX-00008-35,2024,QX-00008,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2024-QX-00008-110,2024,QX-00008,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2024-QX-00009-35,2024,QX-00009,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2024-QX-00009-110,2024,QX-00009,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2024-QX-00010-35,2024,QX-00010,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2024-QX-00010-110,2024,QX-00010,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,historical_device_scope_not_closed,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2025-QX-00001-35,2025,QX-00001,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,scope_difference_documented,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2025-QX-00001-110,2025,QX-00001,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,scope_difference_documented,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2025-QX-00003-35,2025,QX-00003,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,scope_difference_documented,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2025-QX-00003-110,2025,QX-00003,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,must_reconcile,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2025-QX-00004-35,2025,QX-00004,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,scope_difference_documented,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2025-QX-00004-110,2025,QX-00004,110,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,must_reconcile,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-UNRESOLVED-2025-QX-00005-35,2025,QX-00005,35,,,actual_change_not_closed,未识别,not_closed,未识别,未识别,device_action_not_closed,scope_difference_documented,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,record official/device scope discrepancy without converting it to a device action,real_2021_2025,actual_action_not_identified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-2025-QX-00005|110|BDZ-00056|#1,2025,QX-00005,110,BDZ-00056,QX-00005|110|BDZ-00056|#1,new_in_service_scope,50.0,fact_scope_only,未识别,未识别,device_cost_not_closed,year_end_2025_only_equipment_scope,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,record year-end new equipment without inventing historical action cost,real_2021_2025,actual_action_cost_unidentified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
ACT-2025-QX-00005|110|BDZ-00056|#2,2025,QX-00005,110,BDZ-00056,QX-00005|110|BDZ-00056|#2,new_in_service_scope,50.0,fact_scope_only,未识别,未识别,device_cost_not_closed,year_end_2025_only_equipment_scope,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,record year-end new equipment without inventing historical action cost,real_2021_2025,actual_action_cost_unidentified,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
