year,region_id,voltage_kv,official_capacity_mva,official_positive_peak_mw,official_clr,source_row,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256,device_table_capacity_mva,device_table_transformer_count,operating_2025_capacity_mva,operating_2025_transformer_count,capacity_difference_mva,reconciliation_status
2021,QX-00001,35,288.8,105.3,2.74,36,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,276.5,16,276.5,16,-12.3,historical_device_scope_not_closed
2021,QX-00001,110,1235,427.8,2.89,34,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,1425,30,1425,30,190,historical_device_scope_not_closed
2021,QX-00003,35,326,141.58,2.3,16,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,302,20,302,20,-24,historical_device_scope_not_closed
2021,QX-00003,110,699.5,265.65,2.63,14,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,985,20,985,20,285.5,historical_device_scope_not_closed
2021,QX-00004,35,243,134.17,1.81,41,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,250,18,250,18,7,historical_device_scope_not_closed
2021,QX-00004,110,1885.5,647.41,2.91,39,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,2107,40,2107,40,221.5,historical_device_scope_not_closed
2021,QX-00005,35,245,80.76,3.03,21,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,275,16,275,16,30,historical_device_scope_not_closed
2021,QX-00005,110,2027,731.77,2.77,19,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,2239.5,42,2239.5,42,212.5,historical_device_scope_not_closed
2021,QX-00007,35,56,32.43,1.73,11,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,36,2,36,2,-20,historical_device_scope_not_closed
2021,QX-00007,110,3113.5,1449.77,2.15,9,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,3714,61,3714,61,600.5,historical_device_scope_not_closed
