region_id,voltage_kv,operating_2025_capacity_mva,year_end_2025_capacity_mva,year_end_station_count,difference_mva,reconciliation_status,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00001,35,276.5,276.5,8,0.0,matched,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2021_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,1425.0,1425.0,15,0.0,matched,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2021_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,35,302.0,302.0,10,0.0,matched,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2021_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,110,966.5,985.0,10,18.5,scope_difference_documented,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2021_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00004,35,250.0,250.0,9,0.0,matched,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2021_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00004,110,2094.0,2107.0,20,13.0,scope_difference_documented,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2021_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,35,275.0,275.0,8,0.0,matched,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity; reconciled 2026-08-24 (station=transformer=official=275),real_2021_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,2139.5,2239.5,21,100.0,scope_difference_documented,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2021_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,35,36.0,36.0,2,0.0,matched,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2021_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,3701.0,3714.0,31,13.0,scope_difference_documented,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2021_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00008,35,164.3,164.3,6,0.0,matched,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2021_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00008,110,1839.0,1857.5,19,18.5,scope_difference_documented,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2021_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00009,35,274.3,274.3,8,0.0,matched,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2021_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00009,110,1877.0,1977.0,21,100.0,scope_difference_documented,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2021_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00010,35,232.0,192.0,6,-40.0,official_operating_governs_year_end_context_documented,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,"compare year-end equipment sum with official 2025 operating capacity; operating scope uses official 232 MVA anchor, year-end 192 MVA documented as equipment-reality context (2026-08-24)",real_2021_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00010,110,1979.5,1992.5,21,13.0,scope_difference_documented,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2021_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
