cost_case_id,voltage_kv,candidate_type,project_capacity_mva,static_capex_wanyuan,dynamic_capex_wanyuan,price_nature,source_row,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
COST-35-001,35,new_third_transformer,200,3251,3274,local_dynamic_investment_estimate,9,SRC10:Sheet1,电网建模数据_Agent整合版_V1.2,"retain anonymized project type, capacity and investment; discard real project names",real_2021_2025,local_case_scope_requires_type_match,110081ca62981f08a97f5b353bde277cb8ea774c1433e76552ece75994b1537e
COST-35-012,35,replacement_or_uprating,40,723,728,local_dynamic_investment_estimate,39,SRC10:Sheet1,电网建模数据_Agent整合版_V1.2,"retain anonymized project type, capacity and investment; discard real project names",real_2021_2025,local_case_scope_requires_type_match,110081ca62981f08a97f5b353bde277cb8ea774c1433e76552ece75994b1537e
COST-35-013,35,replacement_or_uprating,20,322,324,local_dynamic_investment_estimate,42,SRC10:Sheet1,电网建模数据_Agent整合版_V1.2,"retain anonymized project type, capacity and investment; discard real project names",real_2021_2025,local_case_scope_requires_type_match,110081ca62981f08a97f5b353bde277cb8ea774c1433e76552ece75994b1537e
COST-35-014,35,replacement_or_uprating,20,313,315,local_dynamic_investment_estimate,44,SRC10:Sheet1,电网建模数据_Agent整合版_V1.2,"retain anonymized project type, capacity and investment; discard real project names",real_2021_2025,local_case_scope_requires_type_match,110081ca62981f08a97f5b353bde277cb8ea774c1433e76552ece75994b1537e
COST-35-015,35,replacement_or_uprating,40,549,553,local_dynamic_investment_estimate,47,SRC10:Sheet1,电网建模数据_Agent整合版_V1.2,"retain anonymized project type, capacity and investment; discard real project names",real_2021_2025,local_case_scope_requires_type_match,110081ca62981f08a97f5b353bde277cb8ea774c1433e76552ece75994b1537e
COST-35-016,35,replacement_or_uprating,40,677,682,local_dynamic_investment_estimate,50,SRC10:Sheet1,电网建模数据_Agent整合版_V1.2,"retain anonymized project type, capacity and investment; discard real project names",real_2021_2025,local_case_scope_requires_type_match,110081ca62981f08a97f5b353bde277cb8ea774c1433e76552ece75994b1537e
COST-35-017,35,replacement_or_uprating,20,364,367,local_dynamic_investment_estimate,53,SRC10:Sheet1,电网建模数据_Agent整合版_V1.2,"retain anonymized project type, capacity and investment; discard real project names",real_2021_2025,local_case_scope_requires_type_match,110081ca62981f08a97f5b353bde277cb8ea774c1433e76552ece75994b1537e
COST-35-018,35,replacement_or_uprating,20,303,305,local_dynamic_investment_estimate,55,SRC10:Sheet1,电网建模数据_Agent整合版_V1.2,"retain anonymized project type, capacity and investment; discard real project names",real_2021_2025,local_case_scope_requires_type_match,110081ca62981f08a97f5b353bde277cb8ea774c1433e76552ece75994b1537e
COST-110-002,110,new_third_transformer,50,1206,1215,local_dynamic_investment_estimate,13,SRC10:Sheet1,电网建模数据_Agent整合版_V1.2,"retain anonymized project type, capacity and investment; discard real project names",real_2021_2025,local_case_scope_requires_type_match,110081ca62981f08a97f5b353bde277cb8ea774c1433e76552ece75994b1537e
COST-110-003,110,new_third_transformer,50,1240,1249,local_dynamic_investment_estimate,15,SRC10:Sheet1,电网建模数据_Agent整合版_V1.2,"retain anonymized project type, capacity and investment; discard real project names",real_2021_2025,local_case_scope_requires_type_match,110081ca62981f08a97f5b353bde277cb8ea774c1433e76552ece75994b1537e
COST-110-004,110,new_third_transformer,50,1217,1226,local_dynamic_investment_estimate,18,SRC10:Sheet1,电网建模数据_Agent整合版_V1.2,"retain anonymized project type, capacity and investment; discard real project names",real_2021_2025,local_case_scope_requires_type_match,110081ca62981f08a97f5b353bde277cb8ea774c1433e76552ece75994b1537e
