region_id,voltage_kv,capacity_mva,positive_peak_anchor_mw,official_clr_reference,year,role,source_row,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00001,35,276.5,119.49,2.31,2025,reference_and_positive_peak_center_anchor,36,SRC08:Sheet1:2025,电网建模数据_Agent整合版_V1.2,"convert 10,000 kVA/kW columns to MVA/MW by multiplying by 10",real_2021_2025,official_county_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
QX-00001,110,1425,544.55,2.62,2025,reference_and_positive_peak_center_anchor,34,SRC08:Sheet1:2025,电网建模数据_Agent整合版_V1.2,"convert 10,000 kVA/kW columns to MVA/MW by multiplying by 10",real_2021_2025,official_county_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
QX-00003,35,302,124.78,2.42,2025,reference_and_positive_peak_center_anchor,16,SRC08:Sheet1:2025,电网建模数据_Agent整合版_V1.2,"convert 10,000 kVA/kW columns to MVA/MW by multiplying by 10",real_2021_2025,official_county_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
QX-00003,110,966.5,313.03,3.09,2025,reference_and_positive_peak_center_anchor,14,SRC08:Sheet1:2025,电网建模数据_Agent整合版_V1.2,"convert 10,000 kVA/kW columns to MVA/MW by multiplying by 10",real_2021_2025,official_county_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
QX-00004,35,250,106.61,2.34,2025,reference_and_positive_peak_center_anchor,41,SRC08:Sheet1:2025,电网建模数据_Agent整合版_V1.2,"convert 10,000 kVA/kW columns to MVA/MW by multiplying by 10",real_2021_2025,official_county_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
QX-00004,110,2094,634.28,3.3,2025,reference_and_positive_peak_center_anchor,39,SRC08:Sheet1:2025,电网建模数据_Agent整合版_V1.2,"convert 10,000 kVA/kW columns to MVA/MW by multiplying by 10",real_2021_2025,official_county_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
QX-00005,35,275,147.65,1.86,2025,reference_and_positive_peak_center_anchor,21,SRC08:Sheet1:2025,电网建模数据_Agent整合版_V1.2,"convert 10,000 kVA/kW columns to MVA/MW by multiplying by 10",real_2021_2025,official_county_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
QX-00005,110,2139.5,956.45,2.24,2025,reference_and_positive_peak_center_anchor,19,SRC08:Sheet1:2025,电网建模数据_Agent整合版_V1.2,"convert 10,000 kVA/kW columns to MVA/MW by multiplying by 10",real_2021_2025,official_county_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
QX-00007,35,36,14.68,2.45,2025,reference_and_positive_peak_center_anchor,11,SRC08:Sheet1:2025,电网建模数据_Agent整合版_V1.2,"convert 10,000 kVA/kW columns to MVA/MW by multiplying by 10",real_2021_2025,official_county_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
QX-00007,110,3701,1528.82,2.42,2025,reference_and_positive_peak_center_anchor,9,SRC08:Sheet1:2025,电网建模数据_Agent整合版_V1.2,"convert 10,000 kVA/kW columns to MVA/MW by multiplying by 10",real_2021_2025,official_county_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
QX-00008,35,164.3,82.31,2,2025,reference_and_positive_peak_center_anchor,46,SRC08:Sheet1:2025,电网建模数据_Agent整合版_V1.2,"convert 10,000 kVA/kW columns to MVA/MW by multiplying by 10",real_2021_2025,official_county_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
QX-00008,110,1839,759.56,2.42,2025,reference_and_positive_peak_center_anchor,44,SRC08:Sheet1:2025,电网建模数据_Agent整合版_V1.2,"convert 10,000 kVA/kW columns to MVA/MW by multiplying by 10",real_2021_2025,official_county_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
QX-00009,35,274.3,89,3.08,2025,reference_and_positive_peak_center_anchor,31,SRC08:Sheet1:2025,电网建模数据_Agent整合版_V1.2,"convert 10,000 kVA/kW columns to MVA/MW by multiplying by 10",real_2021_2025,official_county_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
QX-00009,110,1877,813.38,2.31,2025,reference_and_positive_peak_center_anchor,29,SRC08:Sheet1:2025,电网建模数据_Agent整合版_V1.2,"convert 10,000 kVA/kW columns to MVA/MW by multiplying by 10",real_2021_2025,official_county_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
QX-00010,35,232,79.75,2.91,2025,reference_and_positive_peak_center_anchor,26,SRC08:Sheet1:2025,电网建模数据_Agent整合版_V1.2,"convert 10,000 kVA/kW columns to MVA/MW by multiplying by 10",real_2021_2025,official_county_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
QX-00010,110,1979.5,734.91,2.69,2025,reference_and_positive_peak_center_anchor,24,SRC08:Sheet1:2025,电网建模数据_Agent整合版_V1.2,"convert 10,000 kVA/kW columns to MVA/MW by multiplying by 10",real_2021_2025,official_county_anchor,f64be1be4955a268e97edc2678b2a39c3e89f651b7f40cc96e2e700395fe45a1
