region_id,voltage_kv,line_id,from_node,to_node,length_km,current_limit_a,max_loading_pct,average_loading_pct,source_row,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00001,110,XL-00011,BDZ-00193,BDZ-00046,14.9158,660,30.83,12.14,266,SRC04:110千伏线路1,电网建模数据_Agent整合版_V1.2,filter contract regions; preserve anonymous endpoints and current limits,real_2021_2025,capacity_network_only_no_impedance,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208
QX-00001,110,XL-00012,BDZ-00193,BDZ-00015,20.3405,660,11.89,1.79,269,SRC04:110千伏线路1,电网建模数据_Agent整合版_V1.2,filter contract regions; preserve anonymous endpoints and current limits,real_2021_2025,capacity_network_only_no_impedance,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208
QX-00001,110,XL-00013,BDZ-00193,BDZ-00032,2.473,660,23.38,16.74,264,SRC04:110千伏线路1,电网建模数据_Agent整合版_V1.2,filter contract regions; preserve anonymous endpoints and current limits,real_2021_2025,capacity_network_only_no_impedance,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208
QX-00001,110,XL-00014,BDZ-00193,BDZ-00105,11.569,660,31.66,8.78,271,SRC04:110千伏线路1,电网建模数据_Agent整合版_V1.2,filter contract regions; preserve anonymous endpoints and current limits,real_2021_2025,capacity_network_only_no_impedance,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208
QX-00001,110,XL-00015,BDZ-00193,BDZ-00126,8.037,660,41.06,12.63,265,SRC04:110千伏线路1,电网建模数据_Agent整合版_V1.2,filter contract regions; preserve anonymous endpoints and current limits,real_2021_2025,capacity_network_only_no_impedance,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208
QX-00001,110,XL-00016,BDZ-00193,BDZ-00177,13.664,660,15.97,1.21,273,SRC04:110千伏线路1,电网建模数据_Agent整合版_V1.2,filter contract regions; preserve anonymous endpoints and current limits,real_2021_2025,capacity_network_only_no_impedance,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208
QX-00001,110,XL-00020,BDZ-00188,BDZ-00339,4.346,511,0.85,0.83,262,SRC04:110千伏线路1,电网建模数据_Agent整合版_V1.2,filter contract regions; preserve anonymous endpoints and current limits,real_2021_2025,capacity_network_only_no_impedance,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208
QX-00001,110,XL-00021,BDZ-00188,BDZ-00339,4.346,511,33.39,14.5,263,SRC04:110千伏线路1,电网建模数据_Agent整合版_V1.2,filter contract regions; preserve anonymous endpoints and current limits,real_2021_2025,capacity_network_only_no_impedance,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208
QX-00001,110,XL-00022,BDZ-00188,BDZ-00033,11.317,376,57.98,14.71,245,SRC04:110千伏线路1,电网建模数据_Agent整合版_V1.2,filter contract regions; preserve anonymous endpoints and current limits,real_2021_2025,capacity_network_only_no_impedance,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208
QX-00001,110,XL-00023,BDZ-00188,BDZ-00034,11.1115,376,23.2,12.03,255,SRC04:110千伏线路1,电网建模数据_Agent整合版_V1.2,filter contract regions; preserve anonymous endpoints and current limits,real_2021_2025,capacity_network_only_no_impedance,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208
QX-00001,110,XL-00024,BDZ-00188,BDZ-00197,19.901,1060,42.7,2.5,275,SRC04:110千伏线路1,电网建模数据_Agent整合版_V1.2,filter contract regions; preserve anonymous endpoints and current limits,real_2021_2025,capacity_network_only_no_impedance,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208
QX-00001,110,XL-00025,BDZ-00188,BDZ-00058,17.646,660,17.09,4.21,261,SRC04:110千伏线路1,电网建模数据_Agent整合版_V1.2,filter contract regions; preserve anonymous endpoints and current limits,real_2021_2025,capacity_network_only_no_impedance,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208
QX-00001,110,XL-00026,BDZ-00188,BDZ-00105,13.901,660,32.46,8.49,270,SRC04:110千伏线路1,电网建模数据_Agent整合版_V1.2,filter contract regions; preserve anonymous endpoints and current limits,real_2021_2025,capacity_network_only_no_impedance,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208
QX-00001,110,XL-00027,BDZ-00188,BDZ-00116,7.0878,1060,48.22,6.05,251,SRC04:110千伏线路1,电网建模数据_Agent整合版_V1.2,filter contract regions; preserve anonymous endpoints and current limits,real_2021_2025,capacity_network_only_no_impedance,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208
QX-00001,110,XL-00028,BDZ-00188,BDZ-00117,17.9777,445,16.53,4.18,246,SRC04:110千伏线路1,电网建模数据_Agent整合版_V1.2,filter contract regions; preserve anonymous endpoints and current limits,real_2021_2025,capacity_network_only_no_impedance,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208
QX-00001,110,XL-00029,BDZ-00188,BDZ-00123,26.045,376,88.64,27.46,247,SRC04:110千伏线路1,电网建模数据_Agent整合版_V1.2,filter contract regions; preserve anonymous endpoints and current limits,real_2021_2025,capacity_network_only_no_impedance,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208
QX-00001,110,XL-00030,BDZ-00188,BDZ-00126,26.951,376,65.2,9.11,244,SRC04:110千伏线路1,电网建模数据_Agent整合版_V1.2,filter contract regions; preserve anonymous endpoints and current limits,real_2021_2025,capacity_network_only_no_impedance,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208
QX-00001,110,XL-00031,BDZ-00188,BDZ-00174,1.526,1060,33.91,8.47,249,SRC04:110千伏线路1,电网建模数据_Agent整合版_V1.2,filter contract regions; preserve anonymous endpoints and current limits,real_2021_2025,capacity_network_only_no_impedance,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208
