hour_index,timestamp,phi_pv_raw,source_row,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
1,2025-01-01 00:00:00,0.000865209,2,SRC14:光伏8760:E,电网建模数据_Agent整合版_V1.2,preserve raw normalized PV coefficient; ignore 3408 MW converted column,real_2021_2025,raw_night_residual_preserved,e923691ffe6073e8ad0f75729745d6e66261a32e0807c6d8e757689d0a956f5d
2,2025-01-01 01:00:00,0.001730403,3,SRC14:光伏8760:E,电网建模数据_Agent整合版_V1.2,preserve raw normalized PV coefficient; ignore 3408 MW converted column,real_2021_2025,raw_night_residual_preserved,e923691ffe6073e8ad0f75729745d6e66261a32e0807c6d8e757689d0a956f5d
3,2025-01-01 02:00:00,0.001730403,4,SRC14:光伏8760:E,电网建模数据_Agent整合版_V1.2,preserve raw normalized PV coefficient; ignore 3408 MW converted column,real_2021_2025,raw_night_residual_preserved,e923691ffe6073e8ad0f75729745d6e66261a32e0807c6d8e757689d0a956f5d
4,2025-01-01 03:00:00,0.000865209,5,SRC14:光伏8760:E,电网建模数据_Agent整合版_V1.2,preserve raw normalized PV coefficient; ignore 3408 MW converted column,real_2021_2025,raw_night_residual_preserved,e923691ffe6073e8ad0f75729745d6e66261a32e0807c6d8e757689d0a956f5d
5,2025-01-01 04:00:00,0.000865209,6,SRC14:光伏8760:E,电网建模数据_Agent整合版_V1.2,preserve raw normalized PV coefficient; ignore 3408 MW converted column,real_2021_2025,raw_night_residual_preserved,e923691ffe6073e8ad0f75729745d6e66261a32e0807c6d8e757689d0a956f5d
6,2025-01-01 05:00:00,0.002595612,7,SRC14:光伏8760:E,电网建模数据_Agent整合版_V1.2,preserve raw normalized PV coefficient; ignore 3408 MW converted column,real_2021_2025,raw_night_residual_preserved,e923691ffe6073e8ad0f75729745d6e66261a32e0807c6d8e757689d0a956f5d
7,2025-01-01 06:00:00,0.000865209,8,SRC14:光伏8760:E,电网建模数据_Agent整合版_V1.2,preserve raw normalized PV coefficient; ignore 3408 MW converted column,real_2021_2025,raw_night_residual_preserved,e923691ffe6073e8ad0f75729745d6e66261a32e0807c6d8e757689d0a956f5d
8,2025-01-01 07:00:00,0.061429504,9,SRC14:光伏8760:E,电网建模数据_Agent整合版_V1.2,preserve raw normalized PV coefficient; ignore 3408 MW converted column,real_2021_2025,raw_night_residual_preserved,e923691ffe6073e8ad0f75729745d6e66261a32e0807c6d8e757689d0a956f5d
9,2025-01-01 08:00:00,0.136702264,10,SRC14:光伏8760:E,电网建模数据_Agent整合版_V1.2,preserve raw normalized PV coefficient; ignore 3408 MW converted column,real_2021_2025,raw_night_residual_preserved,e923691ffe6073e8ad0f75729745d6e66261a32e0807c6d8e757689d0a956f5d
10,2025-01-01 09:00:00,0.308012667,11,SRC14:光伏8760:E,电网建模数据_Agent整合版_V1.2,preserve raw normalized PV coefficient; ignore 3408 MW converted column,real_2021_2025,raw_night_residual_preserved,e923691ffe6073e8ad0f75729745d6e66261a32e0807c6d8e757689d0a956f5d
11,2025-01-01 10:00:00,0.370307395,12,SRC14:光伏8760:E,电网建模数据_Agent整合版_V1.2,preserve raw normalized PV coefficient; ignore 3408 MW converted column,real_2021_2025,raw_night_residual_preserved,e923691ffe6073e8ad0f75729745d6e66261a32e0807c6d8e757689d0a956f5d
12,2025-01-01 11:00:00,0.277730543,13,SRC14:光伏8760:E,电网建模数据_Agent整合版_V1.2,preserve raw normalized PV coefficient; ignore 3408 MW converted column,real_2021_2025,raw_night_residual_preserved,e923691ffe6073e8ad0f75729745d6e66261a32e0807c6d8e757689d0a956f5d
13,2025-01-01 12:00:00,0.266482868,14,SRC14:光伏8760:E,电网建模数据_Agent整合版_V1.2,preserve raw normalized PV coefficient; ignore 3408 MW converted column,real_2021_2025,raw_night_residual_preserved,e923691ffe6073e8ad0f75729745d6e66261a32e0807c6d8e757689d0a956f5d
