year,source_sheet,series_column_1_based,source_header_station_id,transformer_uid,station_id,unit_id,voltage_kv,candidate_approval_status,confidence,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
2022,Sheet1,1,BDZ-00141,QX-00005|110|BDZ-00141|#1,BDZ-00141,#1,110,approved,high,SRC07:Sheet1+candidate_map,电网建模数据_Agent整合版_V1.2,review cross-year source header and stable candidate target without silent header overwrite,real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
2022,Sheet1,2,BDZ-00096,QX-00005|110|BDZ-00096|#1,BDZ-00096,#1,110,approved,high,SRC07:Sheet1+candidate_map,电网建模数据_Agent整合版_V1.2,review cross-year source header and stable candidate target without silent header overwrite,real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
2022,Sheet1,3,BDZ-00096,QX-00005|110|BDZ-00096|#2,BDZ-00096,#2,110,approved,medium,SRC07:Sheet1+candidate_map,电网建模数据_Agent整合版_V1.2,review cross-year source header and stable candidate target without silent header overwrite,real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
2022,Sheet1,4,BDZ-00028,QX-00005|110|BDZ-00028|#1,BDZ-00028,#1,110,approved,high,SRC07:Sheet1+candidate_map,电网建模数据_Agent整合版_V1.2,review cross-year source header and stable candidate target without silent header overwrite,real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
2022,Sheet1,5,BDZ-00028,QX-00005|110|BDZ-00028|#2,BDZ-00028,#2,110,approved,high,SRC07:Sheet1+candidate_map,电网建模数据_Agent整合版_V1.2,review cross-year source header and stable candidate target without silent header overwrite,real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
2022,Sheet1,6,BDZ-00124,QX-00005|110|BDZ-00124|#1,BDZ-00124,#1,110,approved,low,SRC07:Sheet1+candidate_map,电网建模数据_Agent整合版_V1.2,review cross-year source header and stable candidate target without silent header overwrite,real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
2022,Sheet1,7,BDZ-00124,QX-00005|110|BDZ-00124|#2,BDZ-00124,#2,110,approved,high,SRC07:Sheet1+candidate_map,电网建模数据_Agent整合版_V1.2,review cross-year source header and stable candidate target without silent header overwrite,real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
2022,Sheet1,8,BDZ-00026,QX-00005|110|BDZ-00026|#1,BDZ-00026,#1,110,approved,high,SRC07:Sheet1+candidate_map,电网建模数据_Agent整合版_V1.2,review cross-year source header and stable candidate target without silent header overwrite,real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
2022,Sheet1,9,BDZ-00037,QX-00005|110|BDZ-00037|#1,BDZ-00037,#1,110,approved,low,SRC07:Sheet1+candidate_map,电网建模数据_Agent整合版_V1.2,review cross-year source header and stable candidate target without silent header overwrite,real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
2022,Sheet1,10,BDZ-00255,QX-00005|35|BDZ-00255|#2,BDZ-00255,#2,35,approved,low,SRC07:Sheet1+candidate_map,电网建模数据_Agent整合版_V1.2,review cross-year source header and stable candidate target without silent header overwrite,real_2021_2025,project_owner_approved_context_only,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
