series_column_1_based,source_header_station_id,transformer_uid,candidate_map_sha256,source_sha256,source_ref,source_version,transformation,scenario_id,quality_flag,formal_use_allowed,approval_status,approval_authority,approval_date,approval_basis
1,BDZ-00141,QX-00005|110|BDZ-00141|#1,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,project_owner_approved_2025_operating_110kv,True,approved,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
2,BDZ-00096,QX-00005|110|BDZ-00096|#1,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,project_owner_approved_2025_operating_110kv,True,approved,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
3,BDZ-00096,QX-00005|110|BDZ-00096|#2,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,project_owner_approved_2025_operating_110kv,True,approved,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
4,BDZ-00028,QX-00005|110|BDZ-00028|#1,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,project_owner_approved_2025_operating_110kv,True,approved,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
5,BDZ-00028,QX-00005|110|BDZ-00028|#2,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,project_owner_approved_2025_operating_110kv,True,approved,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
6,BDZ-00124,QX-00005|110|BDZ-00124|#1,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,project_owner_approved_2025_operating_110kv,True,approved,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
7,BDZ-00124,QX-00005|110|BDZ-00124|#2,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,project_owner_approved_2025_operating_110kv,True,approved,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
8,BDZ-00026,QX-00005|110|BDZ-00026|#1,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,project_owner_approved_2025_operating_110kv,True,approved,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
9,BDZ-00037,QX-00005|110|BDZ-00037|#1,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,project_owner_approved_2025_operating_110kv,True,approved,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
10,BDZ-00255,QX-00005|35|BDZ-00255|#2,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,project_owner_approved_context_only,False,approved,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
11,BDZ-00158,QX-00005|35|BDZ-00290|#1,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,SRC07:Sheet3+candidate_map,电网建模数据_Agent整合版_V1.2,preserve source header and candidate target; no self-approval,real_2021_2025,project_owner_approved_context_only,False,approved,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
