transformer_uid,region_id,voltage_kv,station_id,unit_id,capacity_mva,operation_mode,asset_scope_id,parent_supply_id,available_10kv_bays,equipment_source_row,source_row,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00001|35|BDZ-00249|#1,QX-00001,35,BDZ-00249,#1,20,unknown,year_end_2025,BDZ-00126,0,70,413,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,"filter contract regions/35,110 kV; validate composite key and capacity",real_2021_2025,validated_src02_src03,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00249|#2,QX-00001,35,BDZ-00249,#2,20,unknown,year_end_2025,BDZ-00126,,71,414,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,"filter contract regions/35,110 kV; validate composite key and capacity",real_2021_2025,validated_src02_src03,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00252|#1,QX-00001,35,BDZ-00252,#1,20,unknown,year_end_2025,BDZ-00208,0,72,426,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,"filter contract regions/35,110 kV; validate composite key and capacity",real_2021_2025,validated_src02_src03,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00252|#2,QX-00001,35,BDZ-00252,#2,20,unknown,year_end_2025,BDZ-00072,,73,425,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,"filter contract regions/35,110 kV; validate composite key and capacity",real_2021_2025,validated_src02_src03,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00261|#1,QX-00001,35,BDZ-00261,#1,8,unknown,year_end_2025,BDZ-00117,2,74,416,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,"filter contract regions/35,110 kV; validate composite key and capacity",real_2021_2025,validated_src02_src03,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00261|#2,QX-00001,35,BDZ-00261,#2,12.5,unknown,year_end_2025,BDZ-00188,,75,415,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,"filter contract regions/35,110 kV; validate composite key and capacity",real_2021_2025,validated_src02_src03,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00275|#1,QX-00001,35,BDZ-00275,#1,20,unknown,year_end_2025,BDZ-00208,4,76,424,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,"filter contract regions/35,110 kV; validate composite key and capacity",real_2021_2025,validated_src02_src03,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00275|#2,QX-00001,35,BDZ-00275,#2,20,unknown,year_end_2025,BDZ-00072,,77,423,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,"filter contract regions/35,110 kV; validate composite key and capacity",real_2021_2025,validated_src02_src03,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00279|#1,QX-00001,35,BDZ-00279,#1,10,unknown,year_end_2025,BDZ-00126,2,78,412,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,"filter contract regions/35,110 kV; validate composite key and capacity",real_2021_2025,validated_src02_src03,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00279|#2,QX-00001,35,BDZ-00279,#2,20,unknown,year_end_2025,BDZ-00126,,79,411,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,"filter contract regions/35,110 kV; validate composite key and capacity",real_2021_2025,validated_src02_src03,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00298|#1,QX-00001,35,BDZ-00298,#1,20,unknown,year_end_2025,BDZ-00197,0,80,420,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,"filter contract regions/35,110 kV; validate composite key and capacity",real_2021_2025,validated_src02_src03,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00298|#2,QX-00001,35,BDZ-00298,#2,10,unknown,year_end_2025,BDZ-00123,,81,419,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,"filter contract regions/35,110 kV; validate composite key and capacity",real_2021_2025,validated_src02_src03,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
