transformer_uid,region_id,voltage_kv,station_id,unit_id,capacity_mva,annual_max_net_load_mw,annual_max_timestamp,annual_min_net_load_mw,annual_min_timestamp,net_load_interpretation,asset_scope_id,source_row,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00001|35|BDZ-00249|#1,QX-00001,35,BDZ-00249,#1,20,13.11,2025-01-28 21:50:00,-19.24,2025-03-21 12:10:00,net_load_no_pv_resubtraction,operating_2025,413,SRC02:主变1,电网建模数据_Agent整合版_V1.2,select 2025 annual extrema; preserve signed net load,real_2021_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00249|#2,QX-00001,35,BDZ-00249,#2,20,16.98,2025-01-28 21:40:00,-17.43,2025-04-12 12:20:00,net_load_no_pv_resubtraction,operating_2025,414,SRC02:主变1,电网建模数据_Agent整合版_V1.2,select 2025 annual extrema; preserve signed net load,real_2021_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00252|#1,QX-00001,35,BDZ-00252,#1,20,11.27,2025-11-25 17:40:00,-4.6,2025-05-10 11:05:00,net_load_no_pv_resubtraction,operating_2025,426,SRC02:主变1,电网建模数据_Agent整合版_V1.2,select 2025 annual extrema; preserve signed net load,real_2021_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00252|#2,QX-00001,35,BDZ-00252,#2,20,14.46,2025-07-05 21:25:00,-4.44,2025-05-03 13:10:00,net_load_no_pv_resubtraction,operating_2025,425,SRC02:主变1,电网建模数据_Agent整合版_V1.2,select 2025 annual extrema; preserve signed net load,real_2021_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00261|#1,QX-00001,35,BDZ-00261,#1,8,2.18,2025-12-22 21:15:00,0,2025-12-29 23:55:00,net_load_no_pv_resubtraction,operating_2025,416,SRC02:主变1,电网建模数据_Agent整合版_V1.2,select 2025 annual extrema; preserve signed net load,real_2021_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00261|#2,QX-00001,35,BDZ-00261,#2,12.5,11.4,2025-01-28 21:10:00,-9.47,2025-05-03 12:50:00,net_load_no_pv_resubtraction,operating_2025,415,SRC02:主变1,电网建模数据_Agent整合版_V1.2,select 2025 annual extrema; preserve signed net load,real_2021_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00275|#1,QX-00001,35,BDZ-00275,#1,20,12.34,2025-07-05 21:35:00,-3.33,2025-04-02 13:35:00,net_load_no_pv_resubtraction,operating_2025,424,SRC02:主变1,电网建模数据_Agent整合版_V1.2,select 2025 annual extrema; preserve signed net load,real_2021_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00275|#2,QX-00001,35,BDZ-00275,#2,20,11.19,2025-06-14 13:05:00,-7.21,2025-06-26 11:20:00,net_load_no_pv_resubtraction,operating_2025,423,SRC02:主变1,电网建模数据_Agent整合版_V1.2,select 2025 annual extrema; preserve signed net load,real_2021_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00279|#1,QX-00001,35,BDZ-00279,#1,10,7.18,2025-01-28 21:50:00,-7.64,2025-05-16 12:35:00,net_load_no_pv_resubtraction,operating_2025,412,SRC02:主变1,电网建模数据_Agent整合版_V1.2,select 2025 annual extrema; preserve signed net load,real_2021_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00279|#2,QX-00001,35,BDZ-00279,#2,20,4.69,2025-12-27 17:40:00,-7.32,2025-05-16 12:10:00,net_load_no_pv_resubtraction,operating_2025,411,SRC02:主变1,电网建模数据_Agent整合版_V1.2,select 2025 annual extrema; preserve signed net load,real_2021_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001|35|BDZ-00298|#1,QX-00001,35,BDZ-00298,#1,20,13.75,2025-05-30 19:15:00,-12.07,2025-05-24 12:20:00,net_load_no_pv_resubtraction,operating_2025,420,SRC02:主变1,电网建模数据_Agent整合版_V1.2,select 2025 annual extrema; preserve signed net load,real_2021_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
