region_id,voltage_kv,operating_2025_capacity_mva,year_end_2025_capacity_mva,year_end_station_count,difference_mva,reconciliation_status,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00001,35,276.5,276.5,8,0,matched,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,1425,1425,15,0,matched,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,35,302,302,10,0,matched,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,110,966.5,985,10,18.5,scope_difference_documented,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00004,35,250,250,9,0,matched,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00004,110,2094,2107,20,13,scope_difference_documented,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,35,275,275,8,0,must_reconcile,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2025,unresolved_asset_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00005,110,2139.5,2239.5,21,100,scope_difference_documented,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,35,36,36,2,0,matched,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00007,110,3701,3714,31,13,scope_difference_documented,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00008,35,164.3,164.3,6,0,matched,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00008,110,1839,1857.5,19,18.5,scope_difference_documented,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00009,35,274.3,274.3,8,0,matched,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00009,110,1877,1977,21,100,scope_difference_documented,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00010,35,232,192,6,-40,must_reconcile,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2025,unresolved_asset_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00010,110,1979.5,1992.5,21,13,scope_difference_documented,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,compare year-end equipment sum with official 2025 operating capacity,real_2025,scope_comparison,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
