region_id,voltage_kv,station_id,src01_capacity_mva,annual_max_net_load_mw,annual_max_timestamp,annual_min_net_load_mw,annual_min_timestamp,net_load_interpretation,asset_scope_id,source_row,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00001,35,BDZ-00249,40,29.42,2025-01-28 21:50:00,-24.46,2025-05-03 12:15:00,net_load_no_pv_resubtraction,operating_2025,246,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,35,BDZ-00252,40,23.54,2025-07-05 21:55:00,-8.56,2025-05-03 12:55:00,net_load_no_pv_resubtraction,operating_2025,252,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,35,BDZ-00261,20.5,11.4,2025-01-28 21:10:00,-9.46,2025-05-03 12:50:00,net_load_no_pv_resubtraction,operating_2025,249,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,35,BDZ-00275,40,8.58,2025-08-29 22:55:00,0,2025-12-25 23:55:00,net_load_no_pv_resubtraction,operating_2025,253,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,35,BDZ-00279,30,11.82,2025-01-28 21:50:00,-14.52,2025-05-16 12:40:00,net_load_no_pv_resubtraction,operating_2025,247,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,35,BDZ-00298,30,11.82,2025-01-28 21:50:00,-14.52,2025-05-16 12:40:00,net_load_no_pv_resubtraction,operating_2025,248,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,35,BDZ-00299,36,15.42,2025-03-04 09:05:00,-7.74,2025-05-01 11:35:00,net_load_no_pv_resubtraction,operating_2025,251,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,35,BDZ-00321,40,10.46,2025-08-29 22:55:00,-15.37,2025-08-29 10:40:00,net_load_no_pv_resubtraction,operating_2025,250,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00015,100,20.53,2025-08-21 20:27:00,-4.93,2025-04-18 12:03:00,net_load_no_pv_resubtraction,operating_2025,166,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00033,90,67.23,2025-07-04 22:17:00,-13.79,2025-05-03 12:25:00,net_load_no_pv_resubtraction,operating_2025,170,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00034,100,38.96,2025-08-06 09:40:00,-23.06,2025-09-21 11:40:00,net_load_no_pv_resubtraction,operating_2025,129,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00046,130,98.92,2025-07-24 12:30:00,13.41,2025-04-15 03:45:00,net_load_no_pv_resubtraction,operating_2025,133,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00058,70,35.08,2025-01-28 21:32:00,-25.08,2025-03-18 12:26:00,net_load_no_pv_resubtraction,operating_2025,174,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00072,71.5,48.91,2025-01-28 21:35:00,-7.08,2025-10-21 13:05:00,net_load_no_pv_resubtraction,operating_2025,132,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00105,111.5,63.35,2025-11-07 09:45:00,-31.14,2025-11-20 12:05:00,net_load_no_pv_resubtraction,operating_2025,131,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00116,100,29.74,2025-12-22 09:15:00,-48.09,2025-08-01 12:10:00,net_load_no_pv_resubtraction,operating_2025,125,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00117,63,25,2025-01-28 21:15:00,-19.7,2025-11-01 11:40:00,net_load_no_pv_resubtraction,operating_2025,127,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00123,113,38.74,2025-01-28 21:30:00,-21.78,2025-03-16 11:55:00,net_load_no_pv_resubtraction,operating_2025,130,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00126,113,62.02,2025-01-28 21:55:00,-43.97,2025-05-17 12:25:00,net_load_no_pv_resubtraction,operating_2025,126,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00132,100,19.51,2025-08-21 20:55:00,-0.33,2025-09-25 12:52:00,net_load_no_pv_resubtraction,operating_2025,193,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00165,100,60.44,2025-07-25 00:04:00,-4.12,2025-04-25 12:49:00,net_load_no_pv_resubtraction,operating_2025,206,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00174,100,70.02,2025-04-01 16:25:00,-23.61,2025-05-01 11:55:00,net_load_no_pv_resubtraction,operating_2025,128,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00177,63,7.26,2025-12-17 16:10:00,-5.27,2025-05-03 13:00:00,net_load_no_pv_resubtraction,operating_2025,210,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,35,BDZ-00254,30,4.62,2025-08-29 22:55:00,0.2,2025-09-20 12:55:00,net_load_no_pv_resubtraction,operating_2025,221,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,35,BDZ-00258,40,22.1,2025-07-05 21:20:00,-14,2025-04-12 12:50:00,net_load_no_pv_resubtraction,operating_2025,216,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,35,BDZ-00267,16,5.7,2025-07-05 22:20:00,-1.9,2025-11-02 08:20:00,net_load_no_pv_resubtraction,operating_2025,222,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,35,BDZ-00268,36,11.82,2025-07-05 22:25:00,-17.4,2025-09-21 11:05:00,net_load_no_pv_resubtraction,operating_2025,215,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
