series_column_1_based,transformer_uid,region_id,voltage_kv,station_id,unit_id,capacity_mva,capacity_match,candidate_score,candidate_best_margin,max_error_fraction,min_error_fraction,snapshot_2026_error_fraction,snapshot_2026_match_count,nonmissing_hours_2025,missing_hours_2025,observed_max_2025_mw,observed_min_2025_mw,approval_status,confidence,approval_reason,formal_use_allowed,approval_authority,candidate_map_sha256,pv_snapshot_sha256,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
1,QX-00005|110|BDZ-00141|#1,QX-00005,110,BDZ-00141,#1,50,True,0.0381,0.098,0.018,0.0074,0.011202,2,8759,1,21.41,-20.83,conditional,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_high,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
2,QX-00005|110|BDZ-00096|#1,QX-00005,110,BDZ-00096,#1,80,True,0.07669,0.09521,0.0055,0.03013,0.00170125,2,8759,1,39.09,2.41,conditional,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_high,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
3,QX-00005|110|BDZ-00096|#2,QX-00005,110,BDZ-00096,#2,80,True,0.11556,0.14187,0.00088,0.05062,0.004165,2,8759,1,45.69,4.05,conditional,medium,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_medium,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
4,QX-00005|110|BDZ-00028|#1,QX-00005,110,BDZ-00028,#1,63,True,0.04222,0.23338,0.02238,0,7.936507937e-06,1,8759,1,56.8,0,conditional,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_high,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
5,QX-00005|110|BDZ-00028|#2,QX-00005,110,BDZ-00028,#2,100,True,0.0087,0.1923,0.0048,0,0.004087,1,8759,1,67.33,0,conditional,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_high,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
6,QX-00005|110|BDZ-00124|#1,QX-00005,110,BDZ-00124,#1,50,True,0.2652,0.1325,0.0068,0.0688,2.8e-05,1,8759,1,22.16,-24.81,conditional,low,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_low,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
7,QX-00005|110|BDZ-00124|#2,QX-00005,110,BDZ-00124,#2,63,True,0.03476,0.10894,0.01079,0.00794,6.825396825e-05,1,8759,1,44.5,-30.46,conditional,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_high,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
8,QX-00005|110|BDZ-00026|#1,QX-00005,110,BDZ-00026,#1,63,True,0.01238,0.12517,0.00159,0.00667,0.06885555556,1,8759,1,55.54,-2.11,conditional,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_high,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
9,QX-00005|110|BDZ-00037|#1,QX-00005,110,BDZ-00037,#1,50,True,0,0.24562,0,0,0.390186,2,8759,1,10.92,-11.92,conditional,low,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_low,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
10,QX-00005|35|BDZ-00255|#2,QX-00005,35,BDZ-00255,#2,10,True,0.04122,0.07368,0.005,0.01415,,0,8759,1,10.7,-11.84,conditional,low,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_low,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
11,QX-00005|35|BDZ-00290|#1,QX-00005,35,BDZ-00290,#1,20,True,0.29325,0.0094,0.0155,0,,0,8759,1,10.8,-17.9,conditional,low,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_low,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
12,QX-00005|35|BDZ-00290|#2,QX-00005,35,BDZ-00290,#2,10,True,0.00953,0.20017,0.00286,0,,0,8759,1,6.42,-10.49,conditional,low,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_low,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
13,QX-00005|35|BDZ-00248|#1,QX-00005,35,BDZ-00248,#1,20,True,0.03975,0.13675,0.015,0.007,0.259605,2,8759,1,12.02,-3.72,conditional,low,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_low,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
14,QX-00005|35|BDZ-00314|#1,QX-00005,35,BDZ-00314,#1,16,True,0.33609,0.0813,0.11518,0.08447,0.14255625,1,8759,1,12.78,-15.5,conditional,low,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_low,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
15,QX-00005|35|BDZ-00314|#2,QX-00005,35,BDZ-00314,#2,20,True,0.12229,0.16621,0.01462,0.04475,0.03211,1,8759,1,14.46,-21.56,conditional,medium,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_medium,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
16,QX-00005|110|BDZ-00135|#2,QX-00005,110,BDZ-00135,#2,50,True,0.147,0.06081,0.035,0.063,0.000672,1,8759,1,28.55,-22.59,conditional,medium,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_medium,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
17,QX-00005|110|BDZ-00135|#1,QX-00005,110,BDZ-00135,#1,63,True,0.03833,0.38787,0.00714,0.01841,0.04106666667,1,8759,1,56.36,-37.68,conditional,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_high,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
18,QX-00005|35|BDZ-00246|#1,QX-00005,35,BDZ-00246,#1,20,True,0.03603,0.28227,0,0.02402,0.17577,2,8759,1,20.12,-26.41,conditional,low,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_low,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
19,QX-00005|35|BDZ-00246|#2,QX-00005,35,BDZ-00246,#2,20,True,0.076,0.0346,0.012,0.0285,0.17927,2,8759,1,14.19,-14.05,conditional,low,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_low,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
20,QX-00005|110|BDZ-00048|#1,QX-00005,110,BDZ-00048,#1,100,True,0.01605,0.13355,0.004,0.0067,0.002021,1,8759,1,51.51,-1.94,conditional,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_high,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
21,QX-00005|35|BDZ-00325|#1,QX-00005,35,BDZ-00325,#1,20,True,0.03575,0.20675,0.0125,0.0075,0.03142,1,8759,1,11.25,-2.61,conditional,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_high,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
22,QX-00005|35|BDZ-00325|#2,QX-00005,35,BDZ-00325,#2,16,True,0.19094,0.09581,0.00625,0.08625,0.0056625,1,8759,1,10.63,-2.34,conditional,medium,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_medium,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
23,QX-00005|110|BDZ-00141|#2,QX-00005,110,BDZ-00141,#2,50,True,0.0678,0.0865,0.007,0.0318,0.067946,2,8759,1,18.61,-16.66,conditional,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,pending_source_owner,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,88dd63f0d0e3b8aaed07b77bdba235da35967faefa6a9ff64b92e805559a42ec,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional_high,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
