station_id,unit_id,capacity_mva,operation_mode
S01,1,50.0,split
S01,2,50.0,split
S02,1,50.0,split
S02,2,50.0,split
S03,1,50.0,split
S03,2,50.0,split
S04,1,50.0,split
S04,2,50.0,split
S05,1,50.0,parallel
S05,2,50.0,parallel
S05,3,50.0,parallel
S06,1,50.0,split
S06,2,50.0,split
S07,1,50.0,split
S07,2,50.0,split
S08,1,50.0,split
S08,2,50.0,split
S09,1,50.0,split
S09,2,50.0,split
S10,1,50.0,split
S10,2,50.0,split
S11,1,50.0,parallel
S11,2,50.0,parallel
S11,3,50.0,parallel
S12,1,50.0,split
S12,2,50.0,split
