raw_aliases,canonical_alias,canonical_name,PZXL_ID,scope,status,note
dzhen,dzhen,墩振线,PZXL-00099,IN_SCOPE,CONFIRMED,不得与dzheng混淆
dnan,dnan,墩南线,PZXL-00092,IN_SCOPE,CONFIRMED,原记录若出现“敦南线”统一纠正为墩南线
dxi / xi / d西线,dxi,墩西线,PZXL-00097,IN_SCOPE,CONFIRMED,短别名统一dxi
hdong,hdong,河东线,PZXL-00154,IN_SCOPE,CONFIRMED,
hpao,hpao,河炮线,PZXL-00161,IN_SCOPE,CONFIRMED,不得与dpao混淆
hzhen,hzhen,河镇线,PZXL-00173,IN_SCOPE,CONFIRMED_PROJECT_RULE,若旧表出现“河振线”仍映射到河镇线，但保留raw
shui / dshui,dshui,墩水线,PZXL-00095,BOUNDARY_ONLY,CONFIRMED,不展开建模
long / dlong,dlong,墩龙线,PZXL-00090,BOUNDARY_ONLY,CONFIRMED,不展开建模
gong / dgong,dgong,墩工线,PZXL-00083,BOUNDARY_ONLY,CONFIRMED,不展开建模
dyang,dyang,墩阳线,PZXL-00098,BOUNDARY_ONLY,CONFIRMED,不展开建模
dhong,dhong,墩红线,PZXL-00086,BOUNDARY_ONLY,CONFIRMED,不展开建模
dheng,dheng,墩恒线,PZXL-00085,BOUNDARY_ONLY,CONFIRMED,不展开建模
dzheng,dzheng,墩正线,PZXL-00100,BOUNDARY_ONLY,CONFIRMED,与dzhen=PZXL-00099不同
dfan,dfan,墩范线,PZXL-00082,BOUNDARY_ONLY,CONFIRMED,不展开建模
dsong,dsong,墩宋线,PZXL-00096,BOUNDARY_ONLY,CONFIRMED,不展开建模
dpao,dpao,墩炮线,PZXL-00093,BOUNDARY_ONLY,CONFIRMED,与hpao=PZXL-00161不同
mdong,mdong,庙东线,PZXL-00189,BOUNDARY_ONLY,CONFIRMED,不展开建模
mhui,mhui,庙汇线,PZXL-00198,BOUNDARY_ONLY,CONFIRMED,不展开建模
