feeder_id,feeder_alias,raw_locator,asset_type,capacity_kva,mapped_node_id,mapped_node_name,mapping_method,mapping_confidence,observation_confidence,raw_note,source
PZXL-00092,dnan,22,LOAD_TRANSFORMER_KVA,2000,PZXL-00092-N0042,dnan线22杆,PARENT_MAIN_NODE_AGGREGATION,MEDIUM,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,28,LOAD_TRANSFORMER_KVA,2000,PZXL-00092-N0048,dnan线28杆,PARENT_MAIN_NODE_AGGREGATION,MEDIUM,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,28-14,LOAD_TRANSFORMER_KVA,80,PZXL-00092-N0048,dnan线28杆,PARENT_MAIN_NODE_AGGREGATION,MEDIUM,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,28-16,LOAD_TRANSFORMER_KVA,110,PZXL-00092-N0048,dnan线28杆,PARENT_MAIN_NODE_AGGREGATION,MEDIUM,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,28-17,LOAD_TRANSFORMER_KVA,160,PZXL-00092-N0048,dnan线28杆,PARENT_MAIN_NODE_AGGREGATION,MEDIUM,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,28-18,LOAD_TRANSFORMER_KVA,20,PZXL-00092-N0048,dnan线28杆,PARENT_MAIN_NODE_AGGREGATION,MEDIUM,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,42-3,LOAD_TRANSFORMER_KVA,250,PZXL-00092-N0062,dnan线42杆,PARENT_MAIN_NODE_AGGREGATION,MEDIUM,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,46-2,LOAD_TRANSFORMER_KVA,200,PZXL-00092-N0067,dnan线46-2,EXACT_CURRENT_NODE,HIGH,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,49,LOAD_TRANSFORMER_KVA,4100,PZXL-00092-N0071,dnan线49杆,PARENT_MAIN_NODE_AGGREGATION,MEDIUM,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,64-4,LOAD_TRANSFORMER_KVA,3000,PZXL-00092-N0095,dnan线64杆,PARENT_MAIN_NODE_AGGREGATION,MEDIUM,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,73-4,LOAD_TRANSFORMER_KVA,50,PZXL-00092-N0109,dnan线73-4,EXACT_CURRENT_NODE,HIGH,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,73-6,LOAD_TRANSFORMER_KVA,160,PZXL-00092-N0111,dnan线73-6,EXACT_CURRENT_NODE,HIGH,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,73-11,LOAD_TRANSFORMER_KVA,100,PZXL-00092-N0106,dnan线73-11,EXACT_CURRENT_NODE,HIGH,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,73-4,LOAD_TRANSFORMER_KVA,250,PZXL-00092-N0109,dnan线73-4,EXACT_CURRENT_NODE,HIGH,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,73-4,LOAD_TRANSFORMER_KVA,500,PZXL-00092-N0109,dnan线73-4,EXACT_CURRENT_NODE,HIGH,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,83-6,LOAD_TRANSFORMER_KVA,200,PZXL-00092-N0126,dnan线83杆,PARENT_MAIN_NODE_AGGREGATION,MEDIUM,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,83-15,LOAD_TRANSFORMER_KVA,50,PZXL-00092-N0126,dnan线83杆,PARENT_MAIN_NODE_AGGREGATION,MEDIUM,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,90-5,LOAD_TRANSFORMER_KVA,315,PZXL-00092-N0133,dnan线90杆,PARENT_MAIN_NODE_AGGREGATION,MEDIUM,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,90-9-2,LOAD_TRANSFORMER_KVA,80,PZXL-00092-N0133,dnan线90杆,PARENT_MAIN_NODE_AGGREGATION,MEDIUM,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,90-11,LOAD_TRANSFORMER_KVA,80,PZXL-00092-N0133,dnan线90杆,PARENT_MAIN_NODE_AGGREGATION,MEDIUM,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,90-12,LOAD_TRANSFORMER_KVA,100,PZXL-00092-N0133,dnan线90杆,PARENT_MAIN_NODE_AGGREGATION,MEDIUM,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,90-13,LOAD_TRANSFORMER_KVA,50,PZXL-00092-N0133,dnan线90杆,PARENT_MAIN_NODE_AGGREGATION,MEDIUM,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
PZXL-00092,dnan,90-13,LOAD_TRANSFORMER_KVA,80,PZXL-00092-N0133,dnan线90杆,PARENT_MAIN_NODE_AGGREGATION,MEDIUM,HIGH,,prior 01_10kV局部网架标准化输入_V2.xlsx / 05_CAPACITY_OBS or 03_RAW_CELLS
