model_edge_id,edge_type,from_node_id,to_node_id,asset_ref,normal_state,debug_state,active_in_debug_base,length_m,conductor_model,parameter_status,evidence
PZXL-00092-B0001,PHYSICAL_SPAN,PZXL-00092-N0030,PZXL-00092-N0025,PZXL-00092,CLOSED,CLOSED,YES,50,JKLYJ/Q-10-240,R_X_IMAX_PENDING,邳州_10kVdnan线明细.xlsx
PZXL-00092-B0002,PHYSICAL_SPAN,PZXL-00092-N0038,PZXL-00092-N0039,PZXL-00092,CLOSED,CLOSED,YES,50,JKLYJ/Q-10-240,R_X_IMAX_PENDING,邳州_10kVdnan线明细.xlsx
PZXL-00092-B0003,PHYSICAL_SPAN,PZXL-00092-N0061,PZXL-00092-N0062,PZXL-00092,CLOSED,CLOSED,YES,50,JKLYJ/Q-10-240,R_X_IMAX_PENDING,邳州_10kVdnan线明细.xlsx
PZXL-00092-B0004,PHYSICAL_SPAN,PZXL-00092-N0263,PZXL-00092-N0262,PZXL-00092,CLOSED,CLOSED,YES,50,JKLYJ/Q-10-240,R_X_IMAX_PENDING,邳州_10kVdnan线明细.xlsx
PZXL-00092-B0005,PHYSICAL_SPAN,PZXL-00092-N0091,PZXL-00092-N0092,PZXL-00092,CLOSED,CLOSED,YES,50,JKLYJ/Q-10-240,R_X_IMAX_PENDING,邳州_10kVdnan线明细.xlsx
PZXL-00092-B0006,PHYSICAL_SPAN,PZXL-00092-N0263,PZXL-00092-N0264,PZXL-00092,CLOSED,CLOSED,YES,50,JKLYJ/Q-10-240,R_X_IMAX_PENDING,邳州_10kVdnan线明细.xlsx
PZXL-00092-B0007,PHYSICAL_SPAN,PZXL-00092-N0060,PZXL-00092-N0061,PZXL-00092,CLOSED,CLOSED,YES,50,JKLYJ/Q-10-240,R_X_IMAX_PENDING,邳州_10kVdnan线明细.xlsx
PZXL-00092-B0008,PHYSICAL_SPAN,PZXL-00092-N0030,PZXL-00092-N0031,PZXL-00092,CLOSED,CLOSED,YES,50,JKLYJ/Q-10-240,R_X_IMAX_PENDING,邳州_10kVdnan线明细.xlsx
PZXL-00092-B0009,PHYSICAL_SPAN,PZXL-00092-N0034,PZXL-00092-N0035,PZXL-00092,CLOSED,CLOSED,YES,50,JKLYJ/Q-10-240,R_X_IMAX_PENDING,邳州_10kVdnan线明细.xlsx
PZXL-00092-B0010,PHYSICAL_SPAN,PZXL-00092-N0224,PZXL-00092-N0225,PZXL-00092,CLOSED,CLOSED,YES,50,JKLYJ/Q-10-240,R_X_IMAX_PENDING,邳州_10kVdnan线明细.xlsx
PZXL-00092-B0011,PHYSICAL_SPAN,PZXL-00092-N0251,PZXL-00092-N0252,PZXL-00092,CLOSED,CLOSED,YES,50,JKLYJ/Q-10-240,R_X_IMAX_PENDING,邳州_10kVdnan线明细.xlsx
PZXL-00092-B0012,PHYSICAL_SPAN,PZXL-00092-N0135,PZXL-00092-N0136,PZXL-00092,CLOSED,CLOSED,YES,50,JKLYJ/Q-10-240,R_X_IMAX_PENDING,邳州_10kVdnan线明细.xlsx
