feeder_id,feeder_alias,node_id,node_name,observed_capacity_kva_aggregated,weight_within_observed_capacity,p_seed_mw_at_feeder_stress,q_seed_mvar_pf095,allocation_method,usage_status,sensitivity_required
PZXL-00092,dnan,PZXL-00092-N0027,dnan线101杆,50.0,0.00356252,0.02326183,0.00764579,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00092,dnan,PZXL-00092-N0042,dnan线22杆,2000.0,0.14250089,0.93047325,0.30583177,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00092,dnan,PZXL-00092-N0048,dnan线28杆,2370.0,0.16886356,1.1026108,0.36241064,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00092,dnan,PZXL-00092-N0062,dnan线42杆,250.0,0.01781261,0.11630916,0.03822897,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00092,dnan,PZXL-00092-N0067,dnan线46-2,200.0,0.01425009,0.09304732,0.03058318,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00092,dnan,PZXL-00092-N0071,dnan线49杆,4100.0,0.29212683,1.90747015,0.62695512,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00092,dnan,PZXL-00092-N0095,dnan线64杆,3000.0,0.21375134,1.39570987,0.45874765,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00092,dnan,PZXL-00092-N0106,dnan线73-11,100.0,0.00712504,0.04652366,0.01529159,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00092,dnan,PZXL-00092-N0109,dnan线73-4,800.0,0.05700036,0.3721893,0.12233271,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00092,dnan,PZXL-00092-N0111,dnan线73-6,160.0,0.01140007,0.07443786,0.02446654,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00092,dnan,PZXL-00092-N0126,dnan线83杆,250.0,0.01781261,0.11630916,0.03822897,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00092,dnan,PZXL-00092-N0133,dnan线90杆,755.0,0.05379409,0.35125365,0.11545149,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00097,dxi,PZXL-00097-N0044,dxi线01杆,220.0,0.02315789,0.07859336,0.02583239,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00097,dxi,PZXL-00097-N0049,dxi线06杆,200.0,0.02105263,0.07144851,0.02348399,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00097,dxi,PZXL-00097-N0059,dxi线15杆,6480.0,0.68210526,2.31493157,0.76088121,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00097,dxi,PZXL-00097-N0068,dxi线24杆,2600.0,0.27368421,0.92883057,0.30529184,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00099,dzhen,PZXL-00099-N0015,dzhen线15杆,330.0,0.05136187,0.42293416,0.13901174,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00099,dzhen,PZXL-00099-N0019,dzhen线19杆,250.0,0.03891051,0.32040467,0.10531192,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00099,dzhen,PZXL-00099-N0024,dzhen线24杆,5215.0,0.81167315,6.6836414,2.19680669,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00099,dzhen,PZXL-00099-N0034,dzhen线33杆,630.0,0.09805447,0.80741977,0.26538604,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
PZXL-00154,hdong,PZXL-00154-N0016,hdong线1杆,1580.0,0.39012346,3.49574727,1.14899656,NORMALIZE_OBSERVED_FIELD_KVA_TO_FEEDER_BOUNDARY_P,PLANNING_SEED,YES: compare with uniform-leaf allocation if voltage or branch flow binds
