node_id,station_id,station_name,feeder_id,feeder_alias,feeder_name,canonical_name,raw_name,original_component_id,degree_raw,is_leaf_raw,is_branch_raw,node_type,is_source,is_tie_endpoint,data_status,notes
PZXL-00092-N0001,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dji南台支线10杆,dji南台支线10杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0002,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dji南台支线11杆,dji南台支线11杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0003,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dji南台支线12杆,dji南台支线12杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0004,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dji南台支线13杆,dji南台支线13杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0005,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dji南台支线14杆,dji南台支线14杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0006,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dji南台支线15杆,dji南台支线15杆,C01,1,是,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0007,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dji南台支线1杆,dji南台支线1杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0008,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dji南台支线2杆,dji南台支线2杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0009,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dji南台支线3杆,dji南台支线3杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0010,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dji南台支线4杆,dji南台支线4杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0011,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dji南台支线5杆,dji南台支线5杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0012,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dji南台支线6杆,dji南台支线6杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0013,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dji南台支线7杆,dji南台支线7杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0014,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dji南台支线8杆,dji南台支线8杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0015,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dji南台支线9杆,dji南台支线9杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0016,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线01杆,dnan线01杆,C01,1,是,否,SOURCE_PHYSICAL,True,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0017,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线02杆,dnan线02杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0018,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线03杆,dnan线03杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0019,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线04杆,dnan线04杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0020,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线05杆,dnan线05杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0021,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线06杆,dnan线06杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0022,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线07杆,dnan线07杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0023,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线08杆,dnan线08杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0024,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线09杆,dnan线09杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0025,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线10+1,dnan线10+1,C01,1,是,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0026,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线100杆,dnan线100杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0027,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线101杆,dnan线101杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0028,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线102杆,dnan线102杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0029,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线103杆,dnan线103杆,C01,1,是,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0030,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线10杆,dnan线10杆,C01,3,否,是,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0031,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线11杆,dnan线11杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0032,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线12杆,dnan线12杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0033,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线13杆,dnan线13杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0034,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线14杆,dnan线14杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0035,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线15杆,dnan线15杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0036,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线16杆,dnan线16杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0037,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线17杆,dnan线17杆,C01,3,否,是,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0038,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线18杆,dnan线18杆,C01,3,否,是,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0039,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线19杆,dnan线19杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0040,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线20杆,dnan线20杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0041,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线21杆,dnan线21杆,C01,3,否,是,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0042,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线22杆,dnan线22杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0043,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线23杆,dnan线23杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0044,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线24杆,dnan线24杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0045,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线25杆,dnan线25杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0046,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线26杆,dnan线26杆,C01,3,否,是,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0047,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线27杆,dnan线27杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0048,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线28杆,dnan线28杆,C01,3,否,是,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0049,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线29杆,dnan线29杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0050,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线30杆,dnan线30杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0051,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线31杆,dnan线31杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0052,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线32杆,dnan线32杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0053,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线33杆,dnan线33杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0054,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线34杆,dnan线34杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0055,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线35杆,dnan线35杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0056,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线36杆,dnan线36杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0057,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线37杆,dnan线37杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0058,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线38杆,dnan线38杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0059,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线39杆,dnan线39杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0060,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线40杆,dnan线40杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0061,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线41杆,dnan线41杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0062,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线42杆,dnan线42杆,C01,3,否,是,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0063,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线43杆,dnan线43杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0064,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线44杆,dnan线44杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0065,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线45杆,dnan线45杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0066,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线46-1,dnan线46-1,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0067,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线46-2,dnan线46-2,C01,1,是,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0068,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线46杆,dnan线46杆,C01,3,否,是,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0069,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线47杆,dnan线47杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0070,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线48杆,dnan线48杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0071,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线49杆,dnan线49杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
PZXL-00092-N0072,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,dnan线50杆,dnan线50杆,C01,2,否,否,PHYSICAL,False,False,CONFIRMED_FROM_STRUCTURED_TABLE,
