edge_id,edge_type,station_id,station_name,feeder_id,feeder_alias,feeder_name,from_node_id,from_node_raw,to_node_id,to_node_raw,length_m,conductor_model,normalized_model,parameter_grade,r_per_km_used,x_per_km_used,r_ohm,x_ohm,ampacity_base_a,ampacity_upper_ref_a,thermal_base_mva_at_10kv,normal_state,source_row,source_file,data_status,feeder_operating_limit_a,effective_rate_a_base,effective_rate_mva_10kv,effective_limit_rule
PZXL-00092-B0001,PHYSICAL_SPAN,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,PZXL-00092-N0030,dnan线10杆,PZXL-00092-N0025,dnan线10+1,50.0,JKLYJ/Q-10-240,JKLYJ/Q-10-240,B+,0.13,0.356,0.0065,0.0178,500.0,550.0,8.6603,CLOSED,2,邳州_10kVdnan线明细.xlsx,PARAMETERIZED_PLANNING_MODEL,485.0,485.0,8.4004,"min(conductor_Imax_base, SRC06_feeder_max_allowed_current)"
PZXL-00092-B0002,PHYSICAL_SPAN,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,PZXL-00092-N0038,dnan线18杆,PZXL-00092-N0039,dnan线19杆,50.0,JKLYJ/Q-10-240,JKLYJ/Q-10-240,B+,0.13,0.356,0.0065,0.0178,500.0,550.0,8.6603,CLOSED,3,邳州_10kVdnan线明细.xlsx,PARAMETERIZED_PLANNING_MODEL,485.0,485.0,8.4004,"min(conductor_Imax_base, SRC06_feeder_max_allowed_current)"
PZXL-00092-B0003,PHYSICAL_SPAN,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,PZXL-00092-N0061,dnan线41杆,PZXL-00092-N0062,dnan线42杆,50.0,JKLYJ/Q-10-240,JKLYJ/Q-10-240,B+,0.13,0.356,0.0065,0.0178,500.0,550.0,8.6603,CLOSED,4,邳州_10kVdnan线明细.xlsx,PARAMETERIZED_PLANNING_MODEL,485.0,485.0,8.4004,"min(conductor_Imax_base, SRC06_feeder_max_allowed_current)"
PZXL-00092-B0004,PHYSICAL_SPAN,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,PZXL-00092-N0263,波士达支线1杆,PZXL-00092-N0262,波士达支线1-1杆,50.0,JKLYJ/Q-10-240,JKLYJ/Q-10-240,B+,0.13,0.356,0.0065,0.0178,500.0,550.0,8.6603,CLOSED,5,邳州_10kVdnan线明细.xlsx,PARAMETERIZED_PLANNING_MODEL,485.0,485.0,8.4004,"min(conductor_Imax_base, SRC06_feeder_max_allowed_current)"
PZXL-00092-B0005,PHYSICAL_SPAN,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,PZXL-00092-N0091,dnan线60杆,PZXL-00092-N0092,dnan线61杆,50.0,JKLYJ/Q-10-240,JKLYJ/Q-10-240,B+,0.13,0.356,0.0065,0.0178,500.0,550.0,8.6603,CLOSED,6,邳州_10kVdnan线明细.xlsx,PARAMETERIZED_PLANNING_MODEL,485.0,485.0,8.4004,"min(conductor_Imax_base, SRC06_feeder_max_allowed_current)"
PZXL-00092-B0006,PHYSICAL_SPAN,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,PZXL-00092-N0263,波士达支线1杆,PZXL-00092-N0264,波士达支线2杆,50.0,JKLYJ/Q-10-240,JKLYJ/Q-10-240,B+,0.13,0.356,0.0065,0.0178,500.0,550.0,8.6603,CLOSED,7,邳州_10kVdnan线明细.xlsx,PARAMETERIZED_PLANNING_MODEL,485.0,485.0,8.4004,"min(conductor_Imax_base, SRC06_feeder_max_allowed_current)"
PZXL-00092-B0007,PHYSICAL_SPAN,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,PZXL-00092-N0060,dnan线40杆,PZXL-00092-N0061,dnan线41杆,50.0,JKLYJ/Q-10-240,JKLYJ/Q-10-240,B+,0.13,0.356,0.0065,0.0178,500.0,550.0,8.6603,CLOSED,8,邳州_10kVdnan线明细.xlsx,PARAMETERIZED_PLANNING_MODEL,485.0,485.0,8.4004,"min(conductor_Imax_base, SRC06_feeder_max_allowed_current)"
PZXL-00092-B0008,PHYSICAL_SPAN,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,PZXL-00092-N0030,dnan线10杆,PZXL-00092-N0031,dnan线11杆,50.0,JKLYJ/Q-10-240,JKLYJ/Q-10-240,B+,0.13,0.356,0.0065,0.0178,500.0,550.0,8.6603,CLOSED,9,邳州_10kVdnan线明细.xlsx,PARAMETERIZED_PLANNING_MODEL,485.0,485.0,8.4004,"min(conductor_Imax_base, SRC06_feeder_max_allowed_current)"
PZXL-00092-B0009,PHYSICAL_SPAN,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,PZXL-00092-N0034,dnan线14杆,PZXL-00092-N0035,dnan线15杆,50.0,JKLYJ/Q-10-240,JKLYJ/Q-10-240,B+,0.13,0.356,0.0065,0.0178,500.0,550.0,8.6603,CLOSED,10,邳州_10kVdnan线明细.xlsx,PARAMETERIZED_PLANNING_MODEL,485.0,485.0,8.4004,"min(conductor_Imax_base, SRC06_feeder_max_allowed_current)"
PZXL-00092-B0010,PHYSICAL_SPAN,BDZ-00027,墩集变,PZXL-00092,dnan,墩南线,PZXL-00092-N0224,dnan线黄安六支站支线01杆,PZXL-00092-N0225,dnan线黄安六支站支线02杆,50.0,JKLYJ/Q-10-240,JKLYJ/Q-10-240,B+,0.13,0.356,0.0065,0.0178,500.0,550.0,8.6603,CLOSED,11,邳州_10kVdnan线明细.xlsx,PARAMETERIZED_PLANNING_MODEL,485.0,485.0,8.4004,"min(conductor_Imax_base, SRC06_feeder_max_allowed_current)"
