switch_id,repair_id,station_id,station_name,feeder_id,feeder_alias,switch_name,from_node_name,from_node_id,to_node_name,to_node_id,device_type,confirmed_structure,normal_state,debug_state,remote_control,length_m,r_ohm,x_ohm,evidence,confidence,allow_debug_autofix,blocking_final,resolution
PZXL-00099-SW-R004,R004,BDZ-00027,墩集变,PZXL-00099,dzhen,dzhen线07开关,dzhen线07杆,PZXL-00099-N0007,dzhen线08杆,PZXL-00099-N0008,分段开关,YES,NEED_CONFIRM,CLOSED,UNKNOWN,0,0,0,图纸确认开关设备导致结构化表断边,HIGH,YES,YES,EXACT_CANONICAL/EXACT_CANONICAL
PZXL-00097-SW-R009,R009,BDZ-00027,墩集变,PZXL-00097,dxi,墩西线24开关,dxi线23杆,PZXL-00097-N0067,dxi线24杆,PZXL-00097-N0068,分段开关,YES,NEED_CONFIRM,CLOSED,UNKNOWN,0,0,0,图纸确认23/24之间存在开关,HIGH,YES,YES,EXACT_CANONICAL/EXACT_CANONICAL
PZXL-00154-SW-R013,R013,BDZ-00048,河湾变,PZXL-00154,hdong,hdong线41/42间开关,hdong线41杆,PZXL-00154-N0040,hdong线42杆,PZXL-00154-N0192,分段开关,YES,NEED_CONFIRM,CLOSED,UNKNOWN,0,0,0,图纸支持；含raw名称纠正,HIGH,YES,YES,EXACT_CANONICAL/EXACT_CANONICAL
PZXL-00154-SW-R014,R014,BDZ-00048,河湾变,PZXL-00154,hdong,hdong线73/74间开关,hdong线73杆,PZXL-00154-N0074,hdong线74杆,PZXL-00154-N0080,分段开关,YES,NEED_CONFIRM,CLOSED,UNKNOWN,0,0,0,图纸支持主干开关连接,HIGH,YES,YES,EXACT_CANONICAL/EXACT_CANONICAL
PZXL-00161-SW-R016,R016,BDZ-00048,河湾变,PZXL-00161,hpao,hpao线36开关,hpao线36杆,PZXL-00161-N0036,hpao线37杆,PZXL-00161-N0037,分段开关,YES,NEED_CONFIRM,CLOSED,UNKNOWN,0,0,0,图纸确认,HIGH,YES,YES,EXACT_CANONICAL/EXACT_CANONICAL
PZXL-00161-SW-R017,R017,BDZ-00048,河湾变,PZXL-00161,hpao,hpao线42开关,hpao线42杆,PZXL-00161-N0042,hpao线43杆,PZXL-00161-N0043,分段开关,YES,NEED_CONFIRM,CLOSED,UNKNOWN,0,0,0,图纸确认,HIGH,YES,YES,EXACT_CANONICAL/EXACT_CANONICAL
PZXL-00161-SW-R018,R018,BDZ-00048,河湾变,PZXL-00161,hpao,hpao线43开关（三遥）,hpao线43杆,PZXL-00161-N0043,hpao线44杆,PZXL-00161-N0044,分段开关,YES,NEED_CONFIRM,CLOSED,YES,0,0,0,图纸确认三遥开关,HIGH,YES,YES,EXACT_CANONICAL/EXACT_CANONICAL
PZXL-00173-SW-R021,R021,BDZ-00048,河湾变,PZXL-00173,hzhen,hzhen线73开关,10kVhzhen线73#杆,PZXL-00173-N0071,10kVhzhen线74#杆,PZXL-00173-N0072,分段开关,YES,NEED_CONFIRM,CLOSED,UNKNOWN,0,0,0,图纸确认,HIGH,YES,YES,EXACT_CANONICAL/NORMALIZED_UNIQUE
PZXL-00161-SW-R020A,R020,BDZ-00048,河湾变,PZXL-00161,hpao,R020_43杆至2分支箱设备连接,hpao线43杆,PZXL-00161-N0043,VIRTUAL::hpao线2分支箱,PZXL-00161-V001,BRANCH_BOX_LINK,YES,NEED_CONFIRM,CLOSED,NO,0,0,0,图纸：hpao 43附近分支箱链；具体内部设备连接按拓扑等值，不赋予线路长度,MEDIUM_HIGH,YES,YES,EXACT_CANONICAL
PZXL-00161-SW-R020B,R020,BDZ-00048,河湾变,PZXL-00161,hpao,R020_2分支箱至王场湖支线1分支开关,VIRTUAL::hpao线2分支箱,PZXL-00161-V001,VIRTUAL::hpao线王场湖支线1分支开关,PZXL-00161-V002,DEVICE_LINK,YES,NEED_CONFIRM,CLOSED,UNKNOWN,0,0,0,图纸确认王场湖支线分支开关位于分支箱侧；内部长度未知按零长度设备连接,MEDIUM_HIGH,YES,YES,VIRTUAL
PZXL-00161-SW-R020C,R020,BDZ-00048,河湾变,PZXL-00161,hpao,hpao线王场湖支线1分支开关（三遥）,VIRTUAL::hpao线王场湖支线1分支开关,PZXL-00161-V002,hpao线王场湖支线1杆,PZXL-00161-N0072,BRANCH_SWITCH,YES,NEED_CONFIRM,CLOSED,YES,0,0,0,图纸明确标注“hpao线王场湖支线1分支开关（三遥）”,HIGH,YES,YES,EXACT_CANONICAL
