run_id,scenario_id,feeder_id,boundary_p_mw,proxy_i_pf095,umin_pu,umax_pu,voltage_pass_hard,max_loading_pct,served_load_mw,unserved_mw,load_coverage_pct,topology_fragmented,load_factor,pv_factor
20260826-171902,S1_FEEDER_STRESS,PZXL-00099,8.2344,False,1.0,1.0,True,0.0,0.0,8.2344,0.0,True,,
20260826-171902,S1_FEEDER_STRESS,PZXL-00097,3.393804,False,0.99593,1.0,True,30.01,2.465,0.9288,72.63,True,,
20260826-171902,S1_FEEDER_STRESS,PZXL-00092,6.529596,False,0.95863,1.0,True,84.39,6.5296,0.0,100.0,False,,
20260826-171902,S1_FEEDER_STRESS,PZXL-00154,8.960618,True,1.0,1.0,True,0.0,3.4957,5.4649,39.01,True,,
20260826-171902,S1_FEEDER_STRESS,PZXL-00161,1.88759,False,0.99999,1.0,True,1.06,0.0963,1.7913,5.1,True,,
20260826-171902,S1_FEEDER_STRESS,PZXL-00173,6.289937,False,0.98665,1.0,True,54.21,6.2899,0.0,100.0,False,,
20260826-171902,"S2_REVERSE_PV(lf=0.3,pv=1.0)",PZXL-00099,8.2344,False,1.0,1.00033,True,5.89,0.0,2.4703,0.0,True,0.3,1.0
20260826-171902,"S2_REVERSE_PV(lf=0.3,pv=1.0)",PZXL-00097,3.393804,False,1.0,1.00111,True,23.76,0.0236,0.9946,0.69,True,0.3,1.0
20260826-171902,"S2_REVERSE_PV(lf=0.7,pv=0.8)",PZXL-00092,6.529596,False,0.97181,1.0,True,58.49,4.5707,0.0,70.0,False,0.7,0.8
20260826-171902,"S2_REVERSE_PV(lf=0.3,pv=0.8)",PZXL-00154,8.960618,True,1.0,1.0,True,0.0,1.0487,1.6395,11.7,True,0.3,0.8
20260826-171902,"S2_REVERSE_PV(lf=0.5,pv=0.8)",PZXL-00161,1.88759,False,0.99999,1.0,True,0.53,0.0482,0.8956,2.55,True,0.5,0.8
20260826-171902,"S2_REVERSE_PV(lf=0.7,pv=0.8)",PZXL-00173,6.289937,False,0.99394,1.0,True,17.22,2.403,2.0,38.2,True,0.7,0.8
