item,value
model_core,HIGH_PV_REVERSE_POWER_CROSS_STATION_BOUNDARY_RECONFIGURATION
tie_id,TIE-002
donor_station,墩集变
receiver_station,河湾变
donor_feeder,PZXL-00092
receiver_feeder,PZXL-00161
pv_peak_output_anchor_mw,7.34
donor_path_effective_limit_mva,8.4004
receiver_path_effective_limit_mva,9.5263
existing_tie_reverse_capacity_mw,7.621040000000001
receiver_station_n1_screen_headroom_mw,44.78
current_zero_load_export_mw,7.34
current_zero_load_existing_tie_loading_pct,77.0498514638422
current_zero_load_new_tie_required,False
current_s2_lf030_export_mw,5.3811212
future_120pct_zero_load_residual_after_existing_mw,1.1869599999999991
future_120pct_zero_load_new_tie_min_effective_mva,1.483699999999999
future_150pct_lf030_residual_after_existing_mw,1.4300812
future_150pct_lf030_new_tie_min_effective_mva,1.7876015
station_anchor_semantics,INDEPENDENT_STRESS_ANCHORS_NOT_SYNCHRONOUS_DUAL_STATION_FLOW
