load_factor,pv_scale,gross_pv_anchor_scaled_mw,local_load_proxy_mw,net_export_surplus_mw,existing_tie_reverse_capacity_mw,existing_tie_transfer_mw,existing_tie_receiver_path_loading_pct,existing_tie_client_reverse_80_pass,receiver_station_reverse_headroom_mw,residual_after_existing_tie_mw,new_tie_transfer_required_mw,new_tie_min_effective_capacity_mva,unresolved_after_receiver_station_screen_mw,new_tie_required,donor_station_2025_min_anchor_mw,receiver_station_2025_min_anchor_mw,donor_station_after_existing_screen_mw,receiver_station_after_existing_screen_mw,donor_station_after_all_screen_mw,receiver_station_after_all_screen_mw,donor_reverse_relief_pct_of_2025_min_anchor,scenario_evidence,synchronization_status
0.0,0.8,5.872,0.0,5.872,7.621040000000001,5.872,61.63988117107376,True,44.78,0.0,0.0,0.0,0.0,False,-37.27,-5.22,-31.398000000000003,-11.091999999999999,-31.398000000000003,-11.091999999999999,15.75529916823182,ZERO_LOCAL_LOAD_CONSERVATIVE_UPPER_BOUND,PLANNING_ENVELOPE_NOT_HISTORICAL_SYNCHRONOUS
0.0,0.9,6.606,0.0,6.606,7.621040000000001,6.606,69.34486631745797,True,44.78,0.0,0.0,0.0,0.0,False,-37.27,-5.22,-30.664,-11.826,-30.664,-11.826,17.724711564260797,ZERO_LOCAL_LOAD_CONSERVATIVE_UPPER_BOUND,PLANNING_ENVELOPE_NOT_HISTORICAL_SYNCHRONOUS
0.0,1.0,7.34,0.0,7.34,7.621040000000001,7.34,77.0498514638422,True,44.78,0.0,0.0,0.0,0.0,False,-37.27,-5.22,-29.930000000000003,-12.559999999999999,-29.930000000000003,-12.559999999999999,19.694123960289776,ZERO_LOCAL_LOAD_CONSERVATIVE_UPPER_BOUND,PLANNING_ENVELOPE_NOT_HISTORICAL_SYNCHRONOUS
0.0,1.2,8.808,0.0,8.808,7.621040000000001,7.621040000000001,80.0,True,44.78,1.1869599999999991,1.1869599999999991,1.483699999999999,0.0,True,-37.27,-5.22,-29.648960000000002,-12.84104,-28.462000000000003,-14.027999999999999,23.63294875234773,ZERO_LOCAL_LOAD_CONSERVATIVE_UPPER_BOUND,PLANNING_ENVELOPE_NOT_HISTORICAL_SYNCHRONOUS
0.0,1.5,11.01,0.0,11.01,7.621040000000001,7.621040000000001,80.0,True,44.78,3.388959999999999,3.388959999999999,4.236199999999998,0.0,True,-37.27,-5.22,-29.648960000000002,-12.84104,-26.260000000000005,-16.23,29.541185940434662,ZERO_LOCAL_LOAD_CONSERVATIVE_UPPER_BOUND,PLANNING_ENVELOPE_NOT_HISTORICAL_SYNCHRONOUS
0.3,0.8,5.872,1.9588788,3.9131212,7.621040000000001,3.9131212,41.0770309564049,True,44.78,0.0,0.0,0.0,0.0,False,-37.27,-5.22,-33.356878800000004,-9.1331212,-33.356878800000004,-9.1331212,10.499386101422054,S2_PLANNING_LOAD_FACTOR_WITH_REAL_PV_OUTPUT_ANCHOR,PLANNING_ENVELOPE_NOT_HISTORICAL_SYNCHRONOUS
0.3,0.9,6.606,1.9588788,4.6471212,7.621040000000001,4.6471212,48.782016102789115,True,44.78,0.0,0.0,0.0,0.0,False,-37.27,-5.22,-32.6228788,-9.8671212,-32.6228788,-9.8671212,12.468798497451033,S2_PLANNING_LOAD_FACTOR_WITH_REAL_PV_OUTPUT_ANCHOR,PLANNING_ENVELOPE_NOT_HISTORICAL_SYNCHRONOUS
0.3,1.0,7.34,1.9588788,5.3811212,7.621040000000001,5.3811212,56.48700124917333,True,44.78,0.0,0.0,0.0,0.0,False,-37.27,-5.22,-31.888878800000004,-10.6011212,-31.888878800000004,-10.6011212,14.438210893480008,S2_PLANNING_LOAD_FACTOR_WITH_REAL_PV_OUTPUT_ANCHOR,PLANNING_ENVELOPE_NOT_HISTORICAL_SYNCHRONOUS
0.3,1.2,8.808,1.9588788,6.8491212,7.621040000000001,6.8491212,71.89697154194178,True,44.78,0.0,0.0,0.0,0.0,False,-37.27,-5.22,-30.420878800000004,-12.0691212,-30.420878800000004,-12.0691212,18.377035685537965,S2_PLANNING_LOAD_FACTOR_WITH_REAL_PV_OUTPUT_ANCHOR,PLANNING_ENVELOPE_NOT_HISTORICAL_SYNCHRONOUS
0.3,1.5,11.01,1.9588788,9.0511212,7.621040000000001,7.621040000000001,80.0,True,44.78,1.4300812,1.4300812,1.7876015,0.0,True,-37.27,-5.22,-29.648960000000002,-12.84104,-28.218878800000002,-14.2711212,24.2852728736249,S2_PLANNING_LOAD_FACTOR_WITH_REAL_PV_OUTPUT_ANCHOR,PLANNING_ENVELOPE_NOT_HISTORICAL_SYNCHRONOUS
