station_id,capacity_mva,annual_max_mw,annual_min_mw,static_bidirectional_clr,pv_online_mw,pv_pipeline_mw,feeder_count
BDZ-00005,81.5,37.24,-19.36,2.1885,66.2681,17.2341,8
BDZ-00016,150.0,70.26,-33.5,2.1349,108.8329,26.7341,21
BDZ-00021,100.0,31.28,-24.82,3.1969,52.8346,9.4115,15
BDZ-00022,81.5,30.76,-47.8,1.705,111.3674,18.3275,11
BDZ-00026,113.0,92.67,-19.31,1.2194,34.2047,5.2208,34
BDZ-00027,100.0,59.21,-37.27,1.6889,91.437,7.678,23
BDZ-00028,163.0,103.04,0.0,1.5819,4.1951,0.1227,38
BDZ-00031,113.0,40.58,-30.62,2.7846,76.4907,20.1585,20
BDZ-00037,100.0,28.0,-27.6,3.5714,67.7256,23.7573,11
BDZ-00048,150.0,73.74,-5.22,2.0342,38.2698,2.191,24
BDZ-00056,100.0,,,,46.7159,5.4557,0
BDZ-00095,100.0,22.87,-31.72,3.1526,71.2506,9.9667,10
BDZ-00096,160.0,69.44,0.0,2.3041,13.1422,1.95,21
BDZ-00124,113.0,61.93,-30.96,1.8246,88.9002,13.3841,13
BDZ-00135,113.0,84.4,-59.9,1.3389,163.9895,19.388,10
BDZ-00141,100.0,40.34,-37.96,2.4789,100.8137,27.6006,14
BDZ-00146,80.0,25.9,-29.1,2.7491,71.3756,16.2057,13
BDZ-00147,100.0,51.19,0.95,1.9535,25.1524,4.2441,19
BDZ-00162,40.0,19.4,-39.5,1.0127,75.1229,10.5661,8
BDZ-00164,63.0,39.34,-31.95,1.6014,85.9068,9.9696,13
BDZ-00172,100.0,34.83,-23.24,2.8711,66.9316,10.8396,16
