series_column_1_based,header_unit,candidate,score,independent_best_margin,max_error_fraction,min_error_fraction
1,#1,BDZ-00141/#1/110kV,0.0381,0.098,0.018,0.0074
2,#1,BDZ-00096/#1/110kV,0.07669,0.09521,0.0055,0.03013
3,,BDZ-00096/#2/110kV,0.11556,0.14187,0.00088,0.05062
4,#1,BDZ-00028/#1/110kV,0.04222,0.23338,0.02238,0.0
5,,BDZ-00028/#2/110kV,0.0087,0.1923,0.0048,0.0
6,#1,BDZ-00124/#1/110kV,0.2652,0.1325,0.0068,0.0688
7,,BDZ-00124/#2/110kV,0.03476,0.10894,0.01079,0.00794
8,#1,BDZ-00026/#1/110kV,0.01238,0.12517,0.00159,0.00667
9,#1,BDZ-00037/#1/110kV,0.0,0.24562,0.0,0.0
10,,BDZ-00255/#2/35kV,0.04122,0.07368,0.005,0.01415
11,,BDZ-00290/#1/35kV,0.29325,0.0094,0.0155,0.0
12,,BDZ-00290/#2/35kV,0.00953,0.20017,0.00286,0.0
13,,BDZ-00248/#1/35kV,0.03975,0.13675,0.015,0.007
14,,BDZ-00314/#1/35kV,0.33609,0.0813,0.11518,0.08447
15,,BDZ-00314/#2/35kV,0.12229,0.16621,0.01462,0.04475
16,,BDZ-00135/#2/110kV,0.147,0.06081,0.035,0.063
17,#1,BDZ-00135/#1/110kV,0.03833,0.38787,0.00714,0.01841
18,,BDZ-00246/#1/35kV,0.03603,0.28227,0.0,0.02402
19,,BDZ-00246/#2/35kV,0.076,0.0346,0.012,0.0285
20,#1,BDZ-00048/#1/110kV,0.01605,0.13355,0.004,0.0067
21,,BDZ-00325/#1/35kV,0.03575,0.20675,0.0125,0.0075
22,,BDZ-00325/#2/35kV,0.19094,0.09581,0.00625,0.08625
23,,BDZ-00141/#2/110kV,0.0678,0.0865,0.007,0.0318
24,,BDZ-00255/#1/35kV,0.14275,0.03475,0.0215,0.05
25,#1,BDZ-00005/#1/110kV,0.111,0.15225,0.0,0.0146
26,,BDZ-00005/#2/110kV,0.0274,0.2548,0.012,0.004
27,#3,BDZ-00247/#3/35kV,0.0695,0.8362,0.036,0.001
28,#4,BDZ-00247/#4/35kV,0.395,0.6845,0.063,0.0
29,#1,BDZ-00172/#1/110kV,0.0672,0.1436,0.0048,0.0188
30,,BDZ-00172/#2/110kV,0.0129,0.1759,0.004,0.0046
31,#1,BDZ-00021/#1/110kV,0.1467,0.2308,0.0,0.061
32,#3,BDZ-00021/#3/110kV,0.018,0.50668,0.0012,0.0054
33,,BDZ-00280/#2/35kV,0.2265,0.0304,0.0665,0.084
34,,BDZ-00280/#1/35kV,0.129,0.042,0.0704,0.0132
35,#3,BDZ-00037/#3/110kV,0.1049,0.27335,0.0214,0.0106
36,,BDZ-00248/#2/35kV,0.01225,0.04215,0.004,0.0
37,,BDZ-00048/#2/110kV,0.0657,0.14355,0.0162,0.0026
38,#3,BDZ-00031/#3/110kV,0.04381,0.26709,0.00365,0.02365
39,,BDZ-00031/#2/110kV,0.0494,0.14385,0.0114,0.0094
40,,BDZ-00026/#2/110kV,0.1008,0.20436,0.022,0.0186
41,#3,BDZ-00027/#3/110kV,0.1812,0.1592,0.067,0.0518
42,#1,BDZ-00016/#1/110kV,0.0437,0.199,0.0085,0.0192
43,#2,BDZ-00016/#2/110kV,0.0654,0.3103,0.0084,0.0352
44,,BDZ-00027/#2/110kV,0.0708,0.29164,0.023,0.0242
45,#1,BDZ-00164/#1/110kV,0.10063,0.07517,0.00349,0.02571
46,,BDZ-00164/#2/110kV,0.24206,0.0852,0.04952,0.0927
47,#1,BDZ-00147/#1/110kV,0.0374,0.21022,0.0086,0.0094
48,,BDZ-00147/#2/110kV,0.0447,0.28436,0.0156,0.0068
49,#1,BDZ-00162/#1/110kV,0.07333,0.12792,0.00889,0.04
50,,BDZ-00162/#2/110kV,0.27404,0.02505,0.00481,0.13942
51,#1,BDZ-00146/#1/110kV,0.01125,0.07635,0.0025,0.005
52,,BDZ-00146/#2/110kV,0.0175,0.1193,0.0025,0.005
53,#1,BDZ-00095/#1/110kV,0.0285,0.157,0.0016,0.0108
54,,BDZ-00095/#2/110kV,0.0348,0.12908,0.0016,0.0216
55,#1,BDZ-00022/#1/110kV,0.08889,0.13321,0.0219,0.01556
56,,BDZ-00022/#2/110kV,0.018,0.5605,0.0048,0.0072
57,#1,BDZ-00056/#1/110kV,1000.0,0.0296,,
58,,BDZ-00056/#2/110kV,1000.0,0.0296,,
