year,region_id,voltage_kv,evidence_grade,quality_notes,quality_flag,source_ref,source_sha256
2021,QX-00001,35,EVIDENCE_C,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",historical_static_reference_only,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00003,35,EVIDENCE_C,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",historical_static_reference_only,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00004,35,EVIDENCE_C,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",historical_static_reference_only,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00005,35,EVIDENCE_C,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",historical_static_reference_only,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00007,35,EVIDENCE_C,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",historical_static_reference_only,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00008,35,EVIDENCE_C,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",historical_static_reference_only,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00009,35,EVIDENCE_C,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",historical_static_reference_only,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00010,35,EVIDENCE_C,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",historical_static_reference_only,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00001,110,EVIDENCE_C,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",historical_static_reference_only,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00003,110,EVIDENCE_C,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",historical_static_reference_only,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00004,110,EVIDENCE_C,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",historical_static_reference_only,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00005,110,EVIDENCE_C,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",historical_static_reference_only,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00007,110,EVIDENCE_C,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",historical_static_reference_only,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00008,110,EVIDENCE_C,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",historical_static_reference_only,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00009,110,EVIDENCE_C,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",historical_static_reference_only,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00010,110,EVIDENCE_C,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",historical_static_reference_only,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
