year,region_id,voltage_kv,capacity_base_mva,capacity_mva,positive_peak_base_mw,positive_peak_static_upper_bound_mw,reverse_peak_base_mw,reverse_peak_static_lower_bound_mw,reverse_peak_static_upper_bound_mw,clr_model_base,clr_official_reference,pv_capacity_snapshot_mw,pv_pipeline_mw,pv_capacity_snapshot_year,evidence_grade,asset_scope_id,quality_notes,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
2021,QX-00001,35,288.8,288.8,105.3,105.3,,24.46,94.63,2.7426400759734095,2.74,,,,EVIDENCE_C,historical_2021_reference_static,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2021_reference_baseline,historical_static_reference_only,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00003,35,326.0,326.0,141.57999999999998,141.57999999999998,,17.4,69.74,2.302585110891369,2.3,,,,EVIDENCE_C,historical_2021_reference_static,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2021_reference_baseline,historical_static_reference_only,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00004,35,243.0,243.0,134.17,134.17,,27.57,100.83,1.8111351270775884,1.81,,,,EVIDENCE_C,historical_2021_reference_static,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2021_reference_baseline,historical_static_reference_only,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00005,35,245.0,245.0,80.76,80.76,,27.2,106.59,3.033680039623576,3.03,,,,EVIDENCE_C,historical_2021_reference_static,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2021_reference_baseline,historical_static_reference_only,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00007,35,56.0,56.0,32.43,32.43,,,0.0,1.7267961763798951,1.73,,,,EVIDENCE_C,historical_2021_reference_static,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2021_reference_baseline,historical_static_reference_only,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00008,35,185.6,185.6,85.55,85.55,,19.84,55.4,2.169491525423729,2.17,,,,EVIDENCE_C,historical_2021_reference_static,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2021_reference_baseline,historical_static_reference_only,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00009,35,310.3,310.3,127.59,127.59,,18.82,58.72,2.4320087781174076,2.43,,,,EVIDENCE_C,historical_2021_reference_static,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2021_reference_baseline,historical_static_reference_only,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00010,35,287.5,287.5,122.09,122.09,,29.5,104.87,2.3548202145957897,2.35,,,,EVIDENCE_C,historical_2021_reference_static,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2021_reference_baseline,historical_static_reference_only,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00001,110,1235.0,1235.0,427.8,427.8,,48.09,271.95,2.886863020102852,2.89,,,,EVIDENCE_C,historical_2021_reference_static,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2021_reference_baseline,historical_static_reference_only,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
2021,QX-00003,110,699.5,699.5,265.65000000000003,265.65000000000003,,39.38,155.93,2.6331639375117635,2.63,,,,EVIDENCE_C,historical_2021_reference_static,"official static anchor only; no same-year 8760, annual asset scope, PV snapshot or cost candidate closure",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2021_reference_baseline,historical_static_reference_only,18a02a8bfbe36f0285b944a32a8763eb790626d158ed0f47904fc8062f1a63d7
