region_id,voltage_kv,scheme,status,status_reason,evidence_grade,asset_scope_id,capacity_base_mva,positive_peak_base_mw,expansion_delta_mva,storage_modules,incremental_capex_low_wanyuan,incremental_capex_wanyuan,incremental_capex_high_wanyuan,incremental_eac_low_wanyuan_per_year,incremental_eac_wanyuan_per_year,incremental_eac_high_wanyuan_per_year,clr_after,a_expansion_limit_mva,strict_stock_R_le_2_status,selected_candidate_ids,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00001,35,A,infeasible,BDZ-00249:storage_required_but_no_available_connection_bay,EVIDENCE_C,historical_2022_reference_static,250.5,115.174619,0,0,,,,,,,,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00001,35,B,infeasible,BDZ-00249:storage_required_but_no_available_connection_bay,EVIDENCE_C,historical_2022_reference_static,250.5,115.174619,0,0,,,,,,,,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00001,35,C0,noncompliant,BDZ-00249:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00261:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00279:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00298:empirical_central:storage_power_insufficient_for_reverse_limit,EVIDENCE_C,historical_2022_reference_static,250.5,115.174619,0,0,0,0,0,0,0,0,2.174958356,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00003,35,A,feasible,feasible,EVIDENCE_C,historical_2022_reference_static,292,120.132439,0,123,2588.70105,2593.398682,3345.55695,314.6622371,430.1617442,732.7263545,2.430650725,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00003,35,B,feasible,feasible,EVIDENCE_C,historical_2022_reference_static,292,120.132439,0,123,2588.70105,2593.398682,3345.55695,314.6622371,430.1617442,732.7263545,2.430650725,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00003,35,C0,noncompliant,BDZ-00268:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00294:empirical_central:storage_power_insufficient_for_reverse_limit,EVIDENCE_C,historical_2022_reference_static,292,120.132439,0,0,0,0,0,0,0,0,2.430650725,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00004,35,A,infeasible,BDZ-00287:storage_required_but_no_available_connection_bay,EVIDENCE_C,historical_2022_reference_static,240,103.91286,0,0,,,,,,,,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00004,35,B,infeasible,BDZ-00287:storage_required_but_no_available_connection_bay,EVIDENCE_C,historical_2022_reference_static,240,103.91286,0,0,,,,,,,,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00004,35,C0,noncompliant,BDZ-00263:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00265:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00287:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00309:empirical_central:storage_power_insufficient_for_reverse_limit,EVIDENCE_C,historical_2022_reference_static,240,103.91286,0,0,0,0,0,0,0,0,2.309627509,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00005,35,A,infeasible,BDZ-00247:missing_three_scenarios,EVIDENCE_C,historical_2022_reference_static,263,124.717665,0,0,,,,,,,,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00005,35,B,infeasible,BDZ-00247:missing_three_scenarios,EVIDENCE_C,historical_2022_reference_static,263,124.717665,0,0,,,,,,,,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00005,35,C0,noncompliant,BDZ-00247:missing_three_scenarios;BDZ-00246:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00255:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00290:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00314:empirical_central:storage_power_insufficient_for_reverse_limit,EVIDENCE_C,historical_2022_reference_static,263,124.717665,0,0,0,0,0,0,0,0,2.108763021,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00007,35,A,infeasible,BDZ-00271:missing_three_scenarios,EVIDENCE_C,historical_2022_reference_static,56,11.017072,0,0,,,,,,,,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00007,35,B,infeasible,BDZ-00271:missing_three_scenarios,EVIDENCE_C,historical_2022_reference_static,56,11.017072,0,0,,,,,,,,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00007,35,C0,noncompliant,BDZ-00271:missing_three_scenarios,EVIDENCE_C,historical_2022_reference_static,56,11.017072,0,0,0,0,0,0,0,0,5.083020243,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00008,35,A,infeasible,BDZ-00293:storage_required_but_no_available_connection_bay,EVIDENCE_C,historical_2022_reference_static,185.6,107.396041,0,0,,,,,,,,29.192082,stock_within_2.0,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00008,35,B,infeasible,BDZ-00293:storage_required_but_no_available_connection_bay,EVIDENCE_C,historical_2022_reference_static,185.6,107.396041,0,0,,,,,,,,29.192082,stock_within_2.0,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00008,35,C0,noncompliant,BDZ-00293:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00301:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00320:empirical_central:storage_power_insufficient_for_reverse_limit,EVIDENCE_C,historical_2022_reference_static,185.6,107.396041,0,0,0,0,0,0,0,0,1.728182885,29.192082,stock_within_2.0,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00009,35,A,feasible,feasible,EVIDENCE_C,historical_2022_reference_static,258.3,87.769699,0,0,0,0,0,0,0,0,2.942929085,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00009,35,B,feasible,feasible,EVIDENCE_C,historical_2022_reference_static,258.3,87.769699,0,0,0,0,0,0,0,0,2.942929085,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00009,35,C0,compliant,physical_constraints_satisfied,EVIDENCE_C,historical_2022_reference_static,258.3,87.769699,0,0,0,0,0,0,0,0,2.942929085,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00010,35,A,infeasible,BDZ-00307:storage_required_but_no_available_connection_bay,EVIDENCE_C,historical_2022_reference_static,234.5,117.616729,0,0,,,,,,,,0.733458,stock_within_2.0,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00010,35,B,infeasible,BDZ-00307:storage_required_but_no_available_connection_bay,EVIDENCE_C,historical_2022_reference_static,234.5,117.616729,0,0,,,,,,,,0.733458,stock_within_2.0,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00010,35,C0,noncompliant,BDZ-00245:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00260:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00295:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00304:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00306:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00307:empirical_central:storage_power_insufficient_for_reverse_limit,EVIDENCE_C,historical_2022_reference_static,234.5,117.616729,0,0,0,0,0,0,0,0,1.993763999,0.733458,stock_within_2.0,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00001,110,A,feasible,feasible,EVIDENCE_C,historical_2022_reference_static,1235,481.402045,0,56,1178.5956,1181.29031,1523.1804,143.2608559,195.9382118,333.5989906,2.565423252,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00001,110,B,feasible,feasible,EVIDENCE_C,historical_2022_reference_static,1235,481.402045,50,0,1170,1343,1516,74.38546717,121.7414881,179.917029,2.669286542,0,infeasible_due_to_inherited_stock,"[""EXP-QX-00001-BDZ-00058-01""]",county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00001,110,C0,noncompliant,BDZ-00058:empirical_central:storage_power_insufficient_for_reverse_limit,EVIDENCE_C,historical_2022_reference_static,1235,481.402045,0,0,0,0,0,0,0,0,2.565423252,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00003,110,A,feasible,feasible,EVIDENCE_C,historical_2022_reference_static,829.5,285.689106,0,94,1978.3569,1982.391758,2556.7671,240.4735795,328.8152733,559.9697343,2.903505883,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00003,110,B,feasible,feasible,EVIDENCE_C,historical_2022_reference_static,829.5,285.689106,0,94,1978.3569,1982.391758,2556.7671,240.4735795,328.8152733,559.9697343,2.903505883,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00003,110,C0,noncompliant,BDZ-00007:empirical_central:storage_power_insufficient_for_reverse_limit,EVIDENCE_C,historical_2022_reference_static,829.5,285.689106,0,0,0,0,0,0,0,0,2.903505883,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00004,110,A,feasible,feasible,EVIDENCE_C,historical_2022_reference_static,1955.5,627.197268,0,105,2209.86675,2213.209758,2855.96325,268.6141048,367.1005837,625.4981075,3.117838836,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00004,110,B,feasible,feasible,EVIDENCE_C,historical_2022_reference_static,1955.5,627.197268,0,105,2209.86675,2213.209758,2855.96325,268.6141048,367.1005837,625.4981075,3.117838836,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00004,110,C0,noncompliant,BDZ-00098:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00149:empirical_central:storage_power_insufficient_for_reverse_limit,EVIDENCE_C,historical_2022_reference_static,1955.5,627.197268,0,0,0,0,0,0,0,0,3.117838836,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
QX-00005,110,A,feasible,feasible,EVIDENCE_C,historical_2022_reference_static,2045.5,825.004193,0,713,15006.04755,15010.31814,19393.35045,1824.017683,2489.730822,4247.430006,2.479381338,0,infeasible_due_to_inherited_stock,[],county_baseline.csv+station_master.csv+transformer_master.csv+expansion_cost_library.csv+empirical_station_scenarios.csv.gz+model_contract.yaml,电网建模数据_Agent整合版_V1.2,enumerate source-backed station candidates; solve minimum integer storage modules; county multiple-choice selection,real_2025_C0_A_B,formal_real_planner_output,fd7bdd472e51fdf42841e584bcc451e78b3e1695d861e0a4bc5d439715e33bde
