year,region_id,voltage_kv,capacity_base_mva,capacity_mva,positive_peak_base_mw,positive_peak_static_upper_bound_mw,reverse_peak_base_mw,reverse_peak_static_lower_bound_mw,reverse_peak_static_upper_bound_mw,clr_model_base,clr_official_reference,pv_capacity_snapshot_mw,pv_pipeline_mw,pv_capacity_snapshot_year,evidence_grade,asset_scope_id,quality_notes,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
2025,QX-00001,35,276.5,276.5,119.49,119.49,,24.46,94.63,2.314001171646163,2.31,134.342,4.2271,2026,EVIDENCE_C,operating_2025,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2025_reference_baseline,formal_2025_baseline_with_current_quality_gate,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
2025,QX-00003,35,302.0,302.0,124.78,124.78,,17.4,69.74,2.4202596569963135,2.42,160.2811,10.6662,2026,EVIDENCE_C,operating_2025,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2025_reference_baseline,formal_2025_baseline_with_current_quality_gate,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
2025,QX-00004,35,250.0,250.0,106.61,106.61,,27.57,100.83,2.344995779007598,2.34,224.891,20.1876,2026,EVIDENCE_C,operating_2025,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2025_reference_baseline,formal_2025_baseline_with_current_quality_gate,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
2025,QX-00005,35,275.0,275.0,147.65,147.65,,27.2,106.59,1.86251269895022,1.86,336.0798,78.5768,2026,EVIDENCE_C,operating_2025,"2025 transformer-hour map is not source-owner approved; reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2025_reference_baseline,formal_2025_baseline_with_current_quality_gate,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
2025,QX-00007,35,36.0,36.0,14.68,14.68,,,0.0,2.452316076294278,2.45,0.0,0.0,2026,EVIDENCE_C,operating_2025,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2025_reference_baseline,formal_2025_baseline_with_current_quality_gate,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
2025,QX-00008,35,164.3,164.3,82.31,82.31,,19.84,55.4,1.9961122585348074,2.0,85.6425,51.046,2026,EVIDENCE_C,operating_2025,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2025_reference_baseline,formal_2025_baseline_with_current_quality_gate,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
2025,QX-00009,35,274.3,274.3,89.0,89.0,,18.82,58.72,3.0820224719101126,3.08,124.5701,7.6196,2026,EVIDENCE_C,operating_2025,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2025_reference_baseline,formal_2025_baseline_with_current_quality_gate,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
2025,QX-00010,35,232.0,232.0,79.75,79.75,,29.5,104.87,2.909090909090909,2.91,235.464,50.716,2026,EVIDENCE_C,operating_2025,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2025_reference_baseline,formal_2025_baseline_with_current_quality_gate,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
2025,QX-00001,110,1425.0,1425.0,544.55,544.55,,48.09,271.95,2.6168395923239376,2.62,529.7203,14.2118,2026,EVIDENCE_B,operating_2025,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2025_reference_baseline,formal_2025_baseline_with_current_quality_gate,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
2025,QX-00003,110,966.5,966.5,313.03000000000003,313.03000000000003,,39.38,155.93,3.08756349231703,3.09,476.8259,40.3713,2026,EVIDENCE_B,operating_2025,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,annual official capacity/peak anchor; no static extrema sum used as synchronous peak,annual_2025_reference_baseline,formal_2025_baseline_with_current_quality_gate,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
