rcap,region_id,cumulative_in_service_eac_wanyuan,clr_2025,storage_modules,expansion_mva,feasible,note
1.5,QX-00001,27455.313167822118,1.4555137269304932,1695.0,-63.0,True,
1.5,QX-00003,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.5,QX-00004,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.5,QX-00005,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.5,QX-00007,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.5,QX-00008,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.5,QX-00009,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.5,QX-00010,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.6,QX-00001,19859.71433144313,1.5712055825911304,1216.0,0.0,True,
1.6,QX-00003,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.6,QX-00004,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.6,QX-00005,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.6,QX-00007,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.6,QX-00008,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.6,QX-00009,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.6,QX-00010,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.7,QX-00001,9929.85714515394,1.5712055825911304,608.0,0.0,True,
1.7,QX-00003,7774.650156070497,1.4960227454237613,530.0,-63.0,True,
1.7,QX-00004,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.7,QX-00005,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.7,QX-00007,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.7,QX-00008,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.7,QX-00009,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.7,QX-00010,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.8,QX-00001,188.18000856976303,1.6630245156551282,19.0,50.0,True,
1.8,QX-00003,7774.650156070497,1.4960227454237613,530.0,-63.0,True,
1.8,QX-00004,17237.588735032925,1.7522143785079145,1087.0,-143.0,True,
1.8,QX-00005,9281.997858260582,1.5301793089027131,760.0,0.0,True,
1.8,QX-00007,36513.893586342325,1.7430043785403122,2280.0,-200.0,True,
1.8,QX-00008,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.8,QX-00009,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.8,QX-00010,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.9,QX-00001,188.18000856976303,1.6630245156551282,19.0,50.0,True,
1.9,QX-00003,604.7015068817583,1.6972814107274063,173.0,0.0,True,
1.9,QX-00004,9641.98989865394,1.851539597654033,608.0,-80.0,True,
1.9,QX-00005,9281.997858260582,1.5301793089027131,760.0,0.0,True,
1.9,QX-00007,24462.54041026155,1.8084143025339807,1520.0,-100.0,True,
1.9,QX-00008,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.9,QX-00009,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
1.9,QX-00010,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
