year,region_id,voltage_kv,path_id,status,reason,complete_path_status,complete_path_reason,installed_capacity_mva,storage_modules,storage_power_mw,p_plus_mw,p_minus_mw,clr,positive_capacity_gap_mw,reverse_hosting_gap_mw,annual_capex_wanyuan,annual_in_service_eac_wanyuan,cumulative_capex_wanyuan,cumulative_in_service_eac_wanyuan,reported_capacity_mva
2021,QX-00001,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,288.8,0,0,105.3,,2.742640076,未识别,未识别,未识别,未识别,未识别,未识别,
2022,QX-00001,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,250.5,0,0,115.174619,,2.174958356,未识别,未识别,未识别,未识别,未识别,未识别,
2023,QX-00001,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,276.5,0,0,93.590778,,2.954350908,未识别,未识别,未识别,未识别,未识别,未识别,
2024,QX-00001,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,276.5,0,0,112.361147,,2.460815036,未识别,未识别,未识别,未识别,未识别,未识别,
2025,QX-00001,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,276.5,0,0,119.49,,2.314001172,未识别,未识别,未识别,未识别,未识别,未识别,
2021,QX-00001,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1235,0,0,427.8,,2.88686302,未识别,未识别,未识别,未识别,未识别,未识别,
2022,QX-00001,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1235,0,0,481.402045,,2.565423252,未识别,未识别,未识别,未识别,未识别,未识别,
2023,QX-00001,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1365,0,0,489.474752,,2.788703594,未识别,未识别,未识别,未识别,未识别,未识别,
2024,QX-00001,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1365,0,0,517.378225,,2.638301989,未识别,未识别,未识别,未识别,未识别,未识别,
2025,QX-00001,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1425,0,0,544.55,,2.616839592,未识别,未识别,未识别,未识别,未识别,未识别,
2021,QX-00003,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,326,0,0,141.58,,2.302585111,未识别,未识别,未识别,未识别,未识别,未识别,
2022,QX-00003,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,292,0,0,120.132439,,2.430650725,未识别,未识别,未识别,未识别,未识别,未识别,
2023,QX-00003,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,302,0,0,95.963958,,3.147014841,未识别,未识别,未识别,未识别,未识别,未识别,
2024,QX-00003,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,302,0,0,111.634771,,2.70525032,未识别,未识别,未识别,未识别,未识别,未识别,
2025,QX-00003,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,302,0,0,124.78,,2.420259657,未识别,未识别,未识别,未识别,未识别,未识别,
2021,QX-00003,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,699.5,0,0,265.65,,2.633163938,未识别,未识别,未识别,未识别,未识别,未识别,
2022,QX-00003,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,829.5,0,0,285.689106,,2.903505883,未识别,未识别,未识别,未识别,未识别,未识别,
2023,QX-00003,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,966.5,0,0,316.006262,,3.058483695,未识别,未识别,未识别,未识别,未识别,未识别,
2024,QX-00003,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,966.5,0,0,291.210068,,3.318909977,未识别,未识别,未识别,未识别,未识别,未识别,
2025,QX-00003,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,966.5,0,0,313.03,,3.087563492,未识别,未识别,未识别,未识别,未识别,未识别,
2021,QX-00004,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,243,0,0,134.17,,1.811135127,未识别,未识别,未识别,未识别,未识别,未识别,
2022,QX-00004,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,240,0,0,103.91286,,2.309627509,未识别,未识别,未识别,未识别,未识别,未识别,
2023,QX-00004,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,250,0,0,92.058809,,2.715655381,未识别,未识别,未识别,未识别,未识别,未识别,
2024,QX-00004,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,250,0,0,99.858544,,2.50354141,未识别,未识别,未识别,未识别,未识别,未识别,
2025,QX-00004,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,250,0,0,106.61,,2.344995779,未识别,未识别,未识别,未识别,未识别,未识别,
2021,QX-00004,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1885.5,0,0,647.41,,2.912373921,未识别,未识别,未识别,未识别,未识别,未识别,
2022,QX-00004,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1955.5,0,0,627.197268,,3.117838836,未识别,未识别,未识别,未识别,未识别,未识别,
